当前实验建议,共识Top20组合,pairs
仍可探索,A和B均在Top20,12
仍可探索,A和B均未进Top20,171
仍可探索,仅A在Top20,23
仍可探索,仅B在Top20,17
先解决具体问题,A和B均在Top20,5
先解决具体问题,A和B均未进Top20,120
先解决具体问题,仅A在Top20,9
先解决具体问题,仅B在Top20,15
有证据支持降低投入,A和B均未进Top20,11
有证据支持降低投入,仅A在Top20,1
