scope,model,direction,known_ap,known_mrr,known_recall_5,known_recall_10,known_recall_20,known_ndcg_20,known_queries,known_pairs,candidate_count,observed_ap,observed_auroc,observed_two_class_queries
project_720x384,production_independent,drug_to_target,0.5125941236322885,0.5546957059296662,0.5933494583306141,0.6908614138513636,0.7616159350141763,0.5813251926805907,398,807,384,0.8626903362948267,0.9162171643659248,150
project_720x384,production_independent,target_to_drug,0.2131989368641748,0.3204951286569621,0.198435575641458,0.2535578751755222,0.3093688606923901,0.26109587703293574,185,807,720,0.7805740452054313,0.8737502134523043,144
project_720x384,v6_directional_full_fit,drug_to_target,0.49603197107270386,0.5167146986690296,0.5775768724575256,0.6462575775703917,0.7002643085557659,0.5494819279297761,398,807,384,0.9577678678478564,0.9804699131317053,150
project_720x384,v6_directional_full_fit,target_to_drug,0.29083269067601575,0.4597108128529486,0.2977454818631289,0.351294057911705,0.4180357996534467,0.35675367188383206,185,807,720,0.9300502775102201,0.9830560340465809,144
project_720x384,v3_support_ensemble,drug_to_target,0.4495121927139534,0.48540726814949914,0.5319103181854438,0.6067114069626632,0.6615725180737745,0.508504394641318,398,807,384,0.9533968444971754,0.9687064407990554,150
project_720x384,v3_support_ensemble,target_to_drug,0.3564281366296743,0.5052115028677064,0.359208135531665,0.4505690763043705,0.5219230142759554,0.4329681357785663,185,807,720,0.8345292250597048,0.9488437734462261,144
project_720x384,morgan_ensemble,drug_to_target,0.20855514133599942,0.23594754008681534,0.27238374411741245,0.3783720188242802,0.48712130276200627,0.27539880190377863,398,807,384,0.9059859759604009,0.9543555815601827,150
project_720x384,morgan_ensemble,target_to_drug,0.10013337380389872,0.19884258270148622,0.09947113079466022,0.1319518257753552,0.19191157544098716,0.138166711821469,185,807,720,0.6720495487082309,0.8828787213923339,144
project_720x384,bermol_ensemble,drug_to_target,0.19345537051666642,0.21487901435748938,0.25669436649336147,0.33360579956057346,0.4550005619729238,0.25413326091277344,398,807,384,0.9071491517451374,0.956991256200746,150
project_720x384,bermol_ensemble,target_to_drug,0.0745064543686516,0.12779535919850676,0.06376119817296289,0.11115552527317234,0.19044388926741865,0.11151251229709348,185,807,720,0.6824686845458101,0.8911688787281403,144
project_720x384,signed_ensemble,drug_to_target,0.2655213739199099,0.3005474754624101,0.3282087747540009,0.4164097000152277,0.5324368505587098,0.3320339751342785,398,807,384,0.9315814597793407,0.9656460666491561,150
project_720x384,signed_ensemble,target_to_drug,0.13491313143754,0.24057710841712263,0.12644674085850557,0.1858557296792591,0.29016018118959297,0.19454740231207562,185,807,720,0.7119907771426872,0.9070551510311008,144
project_720x384,dtiam,drug_to_target,0.1858909113179909,0.21305792035508714,0.20543527522170738,0.30278910787704755,0.38802281610070555,0.23303826852882414,398,807,384,0.6953810578345406,0.7851218815726322,150
project_720x384,dtiam,target_to_drug,0.144832115248725,0.256133183007336,0.13124511065687536,0.17082040023216497,0.22299164710929417,0.18360312055795167,185,807,720,0.5835541173735673,0.7557245079101617,144
project_720x384,conplex,drug_to_target,0.16075440372129063,0.17892506608260975,0.17748364840073383,0.2624417632897532,0.3315906734248443,0.1991630900238341,398,807,384,0.5743912692180093,0.6650425357262854,150
project_720x384,conplex,target_to_drug,0.13194390844754555,0.2277964241279481,0.11259381229969465,0.13249681690858162,0.1909588503706151,0.1621796642400028,185,807,720,0.5193142086947968,0.5748395602842278,144
project_720x384,positive_nearest,drug_to_target,0.6336781033296164,0.6686164050328516,0.7063826981226479,0.7414902796812345,0.770290032413148,0.6757601816396309,398,807,384,0.8217023873988095,0.8766860878387723,150
project_720x384,positive_nearest,target_to_drug,0.5111349737736636,0.6553481057421178,0.49931117284058457,0.5911734763205352,0.6541147158794217,0.5822422116501179,185,807,720,0.6991940241612525,0.7833875636654244,144
project_720x384,pn_logistic,drug_to_target,0.549342141549509,0.5911576305714478,0.6110522852357023,0.6654004147722741,0.7153520579085906,0.598810216095208,398,807,384,0.864856023765015,0.9049744582438223,150
project_720x384,pn_logistic,target_to_drug,0.46488383268348804,0.606390466749581,0.46905872258813436,0.5654802281272869,0.6240024332671391,0.5395442757222491,185,807,720,0.7312530305897017,0.8222940783219054,144
drugclip_common,production_independent,drug_to_target,0.5455008217177963,0.5774989304117331,0.6301960385293718,0.737471170804504,0.8123694207027541,0.6165260802513287,234,424,269,0.834083444807357,0.8913366753468809,89
drugclip_common,production_independent,target_to_drug,0.23285743775876477,0.31211655810987277,0.229915571054968,0.29420540463545897,0.3468397917236276,0.2784934067331218,119,424,548,0.748860719669991,0.8639568223274824,100
drugclip_common,v6_directional_full_fit,drug_to_target,0.5536063190466723,0.567999778721722,0.6375830959164293,0.7171686338353006,0.7813288563288564,0.6112949052751191,234,424,269,0.9523591585146768,0.9822792669849695,89
drugclip_common,v6_directional_full_fit,target_to_drug,0.31550976252892776,0.47658855801158656,0.32283222489599156,0.39009092324712696,0.5063240831777658,0.3947434793100624,119,424,548,0.9468910387493321,0.9823801477670863,100
drugclip_common,v3_support_ensemble,drug_to_target,0.5202364770838191,0.5477520661367018,0.6088793922127256,0.6705467372134039,0.747883597883598,0.5804737225525175,234,424,269,0.938129421772612,0.9648979349595558,89
drugclip_common,v3_support_ensemble,target_to_drug,0.3954449582681837,0.5499343238623412,0.4160179607287862,0.49751671407627907,0.5518384427677556,0.4686097078422209,119,424,548,0.7896497245665458,0.9408165522233738,100
drugclip_common,morgan_ensemble,drug_to_target,0.25981527943090243,0.2869309323884151,0.36698209198209203,0.46379731379731376,0.565238773572107,0.33423338873030295,234,424,269,0.8743168405430439,0.9621317042316843,89
