model,threshold,selected,true_positive,false_positive,precision,fpr,tpr
dtbind,0.5,220,74,146,0.33636363636363636,0.5309090909090909,0.7184466019417476
dtbind,0.9,183,62,121,0.33879781420765026,0.44,0.6019417475728155
dtbind,0.99,120,42,78,0.35,0.28363636363636363,0.4077669902912621
dtiam,0.5,271,85,186,0.31365313653136534,0.6763636363636364,0.8252427184466019
dtiam,0.9,81,32,49,0.3950617283950617,0.1781818181818182,0.3106796116504854
dtiam,0.99,0,0,0,,0.0,0.0
nesso,0.5,154,95,59,0.6168831168831169,0.21454545454545454,0.9223300970873787
nesso,0.9,39,32,7,0.8205128205128205,0.025454545454545455,0.3106796116504854
nesso,0.99,5,5,0,1.0,0.0,0.04854368932038835
probematch,0.5,284,94,190,0.33098591549295775,0.6909090909090909,0.912621359223301
probematch,0.9,231,77,154,0.3333333333333333,0.56,0.7475728155339806
probematch,0.99,155,53,102,0.3419354838709677,0.3709090909090909,0.5145631067961165
