scope,model,pairs,positive,negative,prevalence,ap,auroc,fpr_at_0_5,tpr_at_0_5
COMMON_LABELS,biomaster,378,103,275,0.2724867724867725,0.7068635000676307,0.8575816416593115,,
COMMON_LABELS,drugclip,378,103,275,0.2724867724867725,0.41542543035994095,0.6199470432480141,,
COMMON_LABELS,dtiam,378,103,275,0.2724867724867725,0.4151679921571141,0.6371756398940863,0.6763636363636364,0.8252427184466019
COMMON_LABELS,conplex,378,103,275,0.2724867724867725,0.4659916534426308,0.6366107678729038,,
COMMON_LABELS,nesso,378,103,275,0.2724867724867725,0.7656144360951295,0.8944748455428068,0.21454545454545454,0.9223300970873787
COMMON_LABELS,probematch,378,103,275,0.2724867724867725,0.3170923519638643,0.6098323036187114,0.6909090909090909,0.912621359223301
COMMON_LABELS,dtbind,378,103,275,0.2724867724867725,0.40126759748320984,0.6418358340688437,0.5309090909090909,0.7184466019417476
COMMON_LABELS,nesso_pic50,378,103,275,0.2724867724867725,0.7695620122206202,0.8498852603706972,,
COMMON_LABELS,biomaster_reverse,378,103,275,0.2724867724867725,0.7160850151068557,0.85306266548985,,
AB_UNSEEN_COMMON,biomaster,141,33,108,0.23404255319148937,0.656134713584775,0.8498877665544332,,
AB_UNSEEN_COMMON,drugclip,141,33,108,0.23404255319148937,0.317025152536556,0.55331088664422,,
AB_UNSEEN_COMMON,dtiam,141,33,108,0.23404255319148937,0.4401866784880895,0.6593714927048261,0.6018518518518519,0.7575757575757576
AB_UNSEEN_COMMON,conplex,141,33,108,0.23404255319148937,0.41655024679573094,0.5984848484848484,,
AB_UNSEEN_COMMON,nesso,141,33,108,0.23404255319148937,0.7725987829460681,0.894219977553311,0.37962962962962965,0.9696969696969697
AB_UNSEEN_COMMON,probematch,141,33,108,0.23404255319148937,0.3337304770223676,0.6773288439955106,0.5925925925925926,0.9090909090909091
AB_UNSEEN_COMMON,dtbind,141,33,108,0.23404255319148937,0.3914293689936234,0.5990460157126823,0.6111111111111112,0.7272727272727273
AB_UNSEEN_COMMON,nesso_pic50,141,33,108,0.23404255319148937,0.7585784752597581,0.8692480359147026,,
AB_UNSEEN_COMMON,biomaster_reverse,141,33,108,0.23404255319148937,0.6933245542386741,0.8554994388327721,,
