drug_id,target_id,drug_name,gene,biomaster,biomaster_reverse,drugclip,dtiam,conplex,dtbind,nesso,probematch,biomaster_forward,nesso_pic50,biomaster_rank,drugclip_rank,dtiam_rank,conplex_rank,nesso_rank,probematch_rank,dtbind_rank,nesso_pic50_rank
BFSMGDJOXZAERB-UHFFFAOYSA-N,CHEMBL1871,dabrafenib,AR,-9.952705,-9.952705,0.45321104,0.6193647,0.0,0.0131300976499915,0.0519989058375358,0.999873161315918,-11.492342,5.905298054218292,483.0,47.0,193.0,620.0,521.0,81.0,581.0,262.0
BGDKAVGWHJFAGW-UHFFFAOYSA-N,CHEMBL1871,tropicamide,AR,-9.103046,-9.103046,-0.039676957,0.37369618,0.0,0.5155993103981018,0.1538328528404235,0.9958723187446594,-8.583731,5.410141468048096,436.0,505.0,413.0,620.0,302.0,204.0,360.0,504.0
BISPBXFUKNXOQY-RITPCOANSA-N,CHEMBL1871,durlobactam,AR,-7.2177157,-7.2177157,-0.07119423,0.28498086,0.0290205,0.0035675398539751,0.0204220656305551,3.34631806708785e-08,-6.520238,5.201832413673401,334.0,547.0,496.0,348.0,641.0,717.0,635.0,600.0
BLIJXOOIHRSQRB-PXYINDEMSA-N,CHEMBL1871,darolutamide,AR,5.76267,5.76267,-0.12786639,0.63330483,0.00040836202,0.9844450354576112,0.4685485959053039,0.9999265670776368,6.7419353,6.495701193809509,13.0,620.0,176.0,506.0,151.0,71.5,216.0,104.0
BLJRIMJGRPQVNF-JTQLQIEISA-N,CHEMBL1871,timolol,AR,-5.51059,-5.51059,-0.061447322,0.43945438,0.19923359,0.9822314381599426,0.018466830253601,0.5753966569900513,-5.2252536,5.3314226269721985,240.0,538.0,338.0,90.0,650.0,480.0,223.0,543.0
BMEARIQHWSVDBS-SNVBAGLBSA-N,CHEMBL1871,cipepofol,AR,-3.2569792,-3.2569792,0.31958368,0.5992593,0.0008561908,0.9629743099212646,0.0411435142159462,0.0010055945022031,-3.2800355,5.30283260345459,120.0,105.0,219.0,497.0,570.0,678.0,246.0,556.0
BMGQWWVMWDBQGC-IIFHNQTCSA-N,CHEMBL1871,midostaurin,AR,-0.16683872,-0.16683872,0.3000147,0.52824163,0.1141007,0.1278639584779739,0.3901713192462921,0.9957191348075868,-2.7438056,6.626195788383484,51.0,124.0,269.0,174.0,173.0,208.0,461.0,80.0
BMKDZUISNHGIBY-ZETCQYMHSA-N,CHEMBL1871,dexrazoxane,AR,-10.077985,-10.077985,0.037504952,0.12718366,0.001815945,0.5941804647445679,0.0566447339951992,0.9998494386672974,-8.521361,4.790863037109375,494.0,397.0,691.0,480.0,501.0,84.0,348.0,693.0
BMPDWHIDQYTSHX-AWEZNQCLSA-N,CHEMBL1871,eslicarbazepine,AR,-6.0176063,-6.0176063,0.077039436,0.46667588,0.04246578,0.0551197528839111,0.089833065867424,0.908486306667328,-5.5707774,4.936771512031555,258.0,345.0,315.5,323.5,409.0,368.0,510.0,668.0
BMPDWHIDQYTSHX-UHFFFAOYSA-N,CHEMBL1871,oxcarbazepine,AR,-9.898193,-9.898193,0.06842997,0.46667588,0.04246578,0.0273563005030155,0.0405964963138103,0.9880129098892212,-8.49758,4.862262487411499,478.0,358.0,315.5,323.5,573.0,262.0,541.0,682.0
