,biomaster,drugclip,dtiam,conplex,nesso,probematch,dtbind,nesso_pic50,biomaster_forward
biomaster,1.0,0.26058741184689865,0.03944029184183669,0.29780086798588473,0.26339969110094363,0.1193313962429934,0.1240845297415123,0.12312310247261297,0.9792847798771377
drugclip,0.26058741184689865,1.0,0.14872327025532636,0.4065533336051476,0.41272933365876213,0.34289032549608367,0.5585382313293797,0.35484485312443903,0.236333476676959
dtiam,0.03944029184183669,0.14872327025532636,1.0,0.049729810480294574,0.19515458307909622,0.36174658656505654,0.1615103564857242,0.4884029306380896,-0.020461400411333368
conplex,0.29780086798588473,0.4065533336051476,0.049729810480294574,1.0,0.23924238772641856,0.21439727893479388,0.2643743957047133,0.17699300576842691,0.2960737176735771
nesso,0.26339969110094363,0.41272933365876213,0.19515458307909622,0.23924238772641856,1.0,0.29330519875632793,0.4176379274085888,0.6686528152817219,0.2515866912546183
probematch,0.1193313962429934,0.34289032549608367,0.36174658656505654,0.21439727893479388,0.29330519875632793,1.0,0.32563759187769437,0.43099867489295385,0.08757708911773504
dtbind,0.1240845297415123,0.5585382313293797,0.1615103564857242,0.2643743957047133,0.4176379274085888,0.32563759187769437,1.0,0.37399153394412865,0.12840274060116152
nesso_pic50,0.12312310247261297,0.35484485312443903,0.4884029306380896,0.17699300576842691,0.6686528152817219,0.43099867489295385,0.37399153394412865,1.0,0.07894563015020087
biomaster_forward,0.9792847798771377,0.236333476676959,-0.020461400411333368,0.2960737176735771,0.2515866912546183,0.08757708911773504,0.12840274060116152,0.07894563015020087,1.0
