target_id,gene
CHEMBL1871,AR
CHEMBL1902,FKBP1A
CHEMBL2023,COMT
CHEMBL2085,MIF
CHEMBL2326,CA7
CHEMBL261,CA1
CHEMBL3474,PLA2G2A
CHEMBL4073,MMP7
