scope,kind,model_a,model_b,pairs_mean,pairs_median,pairs_count,spearman_mean,spearman_median,spearman_count,top10_intersection_mean,top10_intersection_median,top10_intersection_count,top10_chance_mean,top10_chance_median,top10_chance_count,top10_expected_under_tie_breaks_mean,top10_expected_under_tie_breaks_median,top10_expected_under_tie_breaks_count,top20_intersection_mean,top20_intersection_median,top20_intersection_count,top20_chance_mean,top20_chance_median,top20_chance_count,top20_expected_under_tie_breaks_mean,top20_expected_under_tie_breaks_median,top20_expected_under_tie_breaks_count,top50_intersection_mean,top50_intersection_median,top50_intersection_count,top50_chance_mean,top50_chance_median,top50_chance_count,top50_expected_under_tie_breaks_mean,top50_expected_under_tie_breaks_median,top50_expected_under_tie_breaks_count
FIVE_ALL_DRUGS,drug,biomaster,conplex,382.0,382.0,720,0.18039501444570585,0.20116056199135168,720,1.1416666666666666,0.0,720,0.2617801047120419,0.2617801047120419,720,1.1409722222222223,0.0,720,2.7777777777777777,2.0,720,1.0471204188481675,1.0471204188481675,720,2.7777777777777777,2.0,720,10.3875,10.0,720,6.544502617801047,6.544502617801047,720,10.388694002497811,10.0,720
FIVE_ALL_DRUGS,drug,biomaster,drugclip,382.0,382.0,720,0.11846184880505521,0.11606113860594844,720,1.0208333333333333,1.0,720,0.2617801047120419,0.2617801047120419,720,1.0208333333333333,1.0,720,2.7125,3.0,720,1.0471204188481675,1.0471204188481675,720,2.7125,3.0,720,10.634722222222223,11.0,720,6.544502617801047,6.544502617801047,720,10.634722222222223,11.0,720
FIVE_ALL_DRUGS,drug,biomaster,dtiam,382.0,382.0,720,0.23780951864359376,0.24153734094790652,720,1.3722222222222222,1.0,720,0.2617801047120419,0.2617801047120419,720,1.3722222222222222,1.0,720,3.602777777777778,3.0,720,1.0471204188481675,1.0471204188481675,720,3.602777777777778,3.0,720,13.911111111111111,14.0,720,6.544502617801047,6.544502617801047,720,13.911111111111111,14.0,720
FIVE_ALL_DRUGS,drug,biomaster,probematch,382.0,382.0,720,0.13287717036728625,0.1377125597736925,720,1.0652777777777778,1.0,720,0.2617801047120419,0.2617801047120419,720,1.0640840840840842,1.0,720,2.7736111111111112,2.0,720,1.0471204188481675,1.0471204188481675,720,2.7732848107848107,2.0,720,11.363888888888889,11.0,720,6.544502617801047,6.544502617801047,720,11.36401515151515,11.0,720
FIVE_ALL_DRUGS,drug,conplex,probematch,382.0,382.0,720,0.000989705204472819,-0.0022997263875026487,720,0.5736111111111111,0.0,720,0.2617801047120419,0.2617801047120419,720,0.5720893905268905,0.0,720,1.6319444444444444,1.0,720,1.0471204188481675,1.0471204188481675,720,1.629600135850136,1.0,720,7.470833333333333,7.0,720,6.544502617801047,6.544502617801047,720,7.485702221192367,7.0,720
FIVE_ALL_DRUGS,drug,drugclip,conplex,382.0,382.0,720,0.06564387406409022,0.06361652814034352,720,0.5986111111111111,0.0,720,0.2617801047120419,0.2617801047120419,720,0.5993055555555555,0.0,720,1.7986111111111112,1.0,720,1.0471204188481675,1.0471204188481675,720,1.7993055555555555,1.0,720,8.494444444444444,8.0,720,6.544502617801047,6.544502617801047,720,8.510318985628562,8.0,720
FIVE_ALL_DRUGS,drug,drugclip,dtiam,382.0,382.0,720,0.09090421238424234,0.09121869588181647,720,0.6333333333333333,0.0,720,0.2617801047120419,0.2617801047120419,720,0.6333333333333333,0.0,720,1.9819444444444445,2.0,720,1.0471204188481675,1.0471204188481675,720,1.9819444444444445,2.0,720,9.075,9.0,720,6.544502617801047,6.544502617801047,720,9.075,9.0,720
FIVE_ALL_DRUGS,drug,drugclip,probematch,382.0,382.0,720,0.048923989608025506,0.044920628547803654,720,0.5777777777777777,0.0,720,0.2617801047120419,0.2617801047120419,720,0.5779088950963951,0.0,720,1.823611111111111,2.0,720,1.0471204188481675,1.0471204188481675,720,1.8241935116935117,2.0,720,8.375,8.0,720,6.544502617801047,6.544502617801047,720,8.374221380471381,8.0,720
FIVE_ALL_DRUGS,drug,dtiam,conplex,382.0,382.0,720,0.11622808137931469,0.11732937840302426,720,1.0333333333333334,1.0,720,0.2617801047120419,0.2617801047120419,720,1.0326388888888889,1.0,720,3.1083333333333334,3.0,720,1.0471204188481675,1.0471204188481675,720,3.1083333333333334,3.0,720,12.14861111111111,12.0,720,6.544502617801047,6.544502617801047,720,12.153606668689912,12.0,720
FIVE_ALL_DRUGS,drug,dtiam,probematch,382.0,382.0,720,0.07085492569512265,0.07495852452916339,720,0.40694444444444444,0.0,720,0.2617801047120419,0.2617801047120419,720,0.40676426426426426,0.0,720,1.6875,2.0,720,1.0471204188481675,1.0471204188481675,720,1.689322358072358,2.0,720,9.213888888888889,9.0,720,6.544502617801047,6.544502617801047,720,9.214015151515152,9.0,720
