direction,model,queries,pairs,mean_prevalence,macro_ap,macro_auc
drug_id,biomaster,18,289,0.30674602384852523,0.9062531744702476,0.938298344767643
drug_id,conplex,18,289,0.30674602384852523,0.6319388198690734,0.6075162759592584
drug_id,drugclip,18,289,0.30674602384852523,0.42647114393427016,0.47040371340809933
drug_id,dtbind,18,289,0.30674602384852523,0.6060982215350434,0.7097436984717687
drug_id,dtiam,18,289,0.30674602384852523,0.7241424096763374,0.6673598453203716
drug_id,nesso,18,289,0.30674602384852523,0.8289877546259412,0.8204464232973004
drug_id,nesso_pic50,18,289,0.30674602384852523,0.8372704211688416,0.8673510902677569
drug_id,probematch,18,289,0.30674602384852523,0.5011378980251494,0.6315205944153313
target_id,biomaster,36,234,0.38145457937124605,0.7847552910052911,0.7992374138207472
target_id,conplex,36,234,0.38145457937124605,0.6062045593295593,0.6227443081609748
target_id,drugclip,36,234,0.38145457937124605,0.7021890532307199,0.6816538399871733
target_id,dtbind,36,234,0.38145457937124605,0.5295187066020399,0.44395542728876064
target_id,dtiam,36,234,0.38145457937124605,0.6510361552028219,0.6763177409010743
target_id,nesso,36,234,0.38145457937124605,0.8243827160493827,0.8050154320987654
target_id,nesso_pic50,36,234,0.38145457937124605,0.9227954144620811,0.9414742664742666
target_id,probematch,36,234,0.38145457937124605,0.5921388989097323,0.5829595558762226
