scope,kind,entity_id,model_a,model_b,pairs,spearman,top10_intersection,top10_chance,top10_expected_under_tie_breaks,top10_boundary_ties_a,top10_boundary_ties_b,top20_intersection,top20_chance,top20_expected_under_tie_breaks,top20_boundary_ties_a,top20_boundary_ties_b,top50_intersection,top50_chance,top50_expected_under_tie_breaks,top50_boundary_ties_a,top50_boundary_ties_b
SEVEN_SAME_TARGETS,target,CHEMBL1871,biomaster,drugclip,719,0.26058741184689865,1,0.13908205841446453,1.0,1,1,8,0.5563282336578581,8.0,1,1,25,3.477051460361613,25.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,biomaster,dtiam,719,0.039440291841836686,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,11,3.477051460361613,11.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,biomaster,conplex,719,0.29780086798588473,1,0.13908205841446453,1.0,1,1,8,0.5563282336578581,8.0,1,1,22,3.477051460361613,22.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,biomaster,nesso,719,0.26339969110094363,2,0.13908205841446453,2.0,1,1,11,0.5563282336578581,11.0,1,1,30,3.477051460361613,30.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,biomaster,probematch,719,0.11933139624299338,3,0.13908205841446453,2.727272727272727,1,11,8,0.5563282336578581,8.0,1,2,25,3.477051460361613,25.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,biomaster,dtbind,719,0.1240845297415123,1,0.13908205841446453,1.0,1,1,2,0.5563282336578581,2.0,1,1,18,3.477051460361613,18.0,1,2
SEVEN_SAME_TARGETS,target,CHEMBL1871,drugclip,dtiam,719,0.14872327025532636,1,0.13908205841446453,1.0,1,1,2,0.5563282336578581,2.0,1,1,8,3.477051460361613,8.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,drugclip,conplex,719,0.40655333360514767,1,0.13908205841446453,1.0,1,1,5,0.5563282336578581,5.0,1,1,26,3.477051460361613,26.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,drugclip,nesso,719,0.41272933365876213,2,0.13908205841446453,2.0,1,1,10,0.5563282336578581,10.0,1,1,29,3.477051460361613,29.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,drugclip,probematch,719,0.3428903254960836,1,0.13908205841446453,0.9090909090909091,1,11,4,0.5563282336578581,4.0,1,2,25,3.477051460361613,25.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,drugclip,dtbind,719,0.5585382313293797,0,0.13908205841446453,0.0,1,1,4,0.5563282336578581,4.0,1,1,20,3.477051460361613,20.0,1,2
SEVEN_SAME_TARGETS,target,CHEMBL1871,dtiam,conplex,719,0.04972981048029457,0,0.13908205841446453,0.0,1,1,2,0.5563282336578581,2.0,1,1,11,3.477051460361613,11.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,dtiam,nesso,719,0.19515458307909625,1,0.13908205841446453,1.0,1,1,3,0.5563282336578581,3.0,1,1,14,3.477051460361613,14.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,dtiam,probematch,719,0.3617465865650565,1,0.13908205841446453,0.9090909090909091,1,11,1,0.5563282336578581,1.0,1,2,12,3.477051460361613,12.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,dtiam,dtbind,719,0.16151035648572423,0,0.13908205841446453,0.0,1,1,1,0.5563282336578581,1.0,1,1,9,3.477051460361613,9.0,1,2
SEVEN_SAME_TARGETS,target,CHEMBL1871,conplex,nesso,719,0.2392423877264186,6,0.13908205841446453,6.0,1,1,12,0.5563282336578581,12.0,1,1,24,3.477051460361613,24.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,conplex,probematch,719,0.21439727893479385,4,0.13908205841446453,3.6363636363636362,1,11,8,0.5563282336578581,7.5,1,2,26,3.477051460361613,26.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,conplex,dtbind,719,0.2643743957047133,0,0.13908205841446453,0.0,1,1,4,0.5563282336578581,4.0,1,1,21,3.477051460361613,21.0,1,2
SEVEN_SAME_TARGETS,target,CHEMBL1871,nesso,probematch,719,0.29330519875632793,4,0.13908205841446453,3.6363636363636362,1,11,7,0.5563282336578581,7.0,1,2,25,3.477051460361613,25.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1871,nesso,dtbind,719,0.4176379274085888,0,0.13908205841446453,0.0,1,1,3,0.5563282336578581,3.0,1,1,17,3.477051460361613,17.0,1,2
SEVEN_SAME_TARGETS,target,CHEMBL1871,probematch,dtbind,719,0.32563759187769437,1,0.13908205841446453,0.9090909090909091,11,1,4,0.5563282336578581,4.0,2,1,19,3.477051460361613,19.0,1,2
SEVEN_SAME_TARGETS,target,CHEMBL1902,biomaster,drugclip,719,0.01975504382311655,1,0.13908205841446453,1.0,1,1,2,0.5563282336578581,2.0,1,1,8,3.477051460361613,8.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,biomaster,dtiam,719,-0.1074372999308008,0,0.13908205841446453,0.0,1,1,1,0.5563282336578581,1.0,1,1,4,3.477051460361613,4.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,biomaster,conplex,719,0.014728825324695756,0,0.13908205841446453,0.0,1,1,1,0.5563282336578581,1.0,1,1,1,3.477051460361613,1.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,biomaster,nesso,719,0.24974992348549713,1,0.13908205841446453,1.0,1,1,1,0.5563282336578581,1.0,1,1,6,3.477051460361613,6.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,biomaster,probematch,719,-0.03917742744017847,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,6,3.477051460361613,6.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,biomaster,dtbind,719,0.20818906353620986,0,0.13908205841446453,0.0,1,1,2,0.5563282336578581,2.0,1,1,4,3.477051460361613,4.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,drugclip,dtiam,719,-0.22375386657559698,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,2,3.477051460361613,2.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,drugclip,conplex,719,-0.026826931812834,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,1,3.477051460361613,1.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,drugclip,nesso,719,0.2892497769134114,2,0.13908205841446453,2.0,1,1,2,0.5563282336578581,2.0,1,1,9,3.477051460361613,9.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,drugclip,probematch,719,-0.11881120449010352,1,0.13908205841446453,1.0,1,1,1,0.5563282336578581,1.0,1,1,5,3.477051460361613,5.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,drugclip,dtbind,719,0.10119769900539385,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,3,3.477051460361613,3.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,dtiam,conplex,719,-0.23447794181650203,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,1,3.477051460361613,1.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,dtiam,nesso,719,-0.6138563789884434,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,0,3.477051460361613,0.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,dtiam,probematch,719,0.23869631284323253,1,0.13908205841446453,1.0,1,1,1,0.5563282336578581,1.0,1,1,4,3.477051460361613,4.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,dtiam,dtbind,719,0.16166596567373306,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,0,3.477051460361613,0.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,conplex,nesso,719,0.2116516897485435,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,4,3.477051460361613,4.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,conplex,probematch,719,-0.09820719627513311,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,3,3.477051460361613,3.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,conplex,dtbind,719,-0.055337776948609294,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,3,3.477051460361613,3.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,nesso,probematch,719,-0.20981371309235558,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,5,3.477051460361613,5.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,nesso,dtbind,719,0.06605427942326214,0,0.13908205841446453,0.0,1,1,2,0.5563282336578581,2.0,1,1,9,3.477051460361613,9.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL1902,probematch,dtbind,719,0.015680260015020583,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,1,3.477051460361613,1.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL2023,biomaster,drugclip,719,0.021613409989888466,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,3,3.477051460361613,3.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL2023,biomaster,dtiam,719,-0.045996229368191546,0,0.13908205841446453,0.0,1,1,0,0.5563282336578581,0.0,1,1,3,3.477051460361613,3.0,1,1
SEVEN_SAME_TARGETS,target,CHEMBL2023,biomaster,conplex,719,-0.06691963716360565,0,0.13908205841446453,0.0,1,1,1,0.5563282336578581,1.0,1,1,5,3.477051460361613,5.0,1,1
