model_id,arm,view,seed,model,panel,scope,pairs,positive,negative,prevalence,random_ap,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,AFFINITY_KD_KI,all,34327,23190,11137,0.6755615113467532,0.6755615113467532,0.9426319282798119,0.973362512415881,0.09127044080049357,0.8998681356076397,0.9122466580422596,0.2113675136930951,0.5165016308787567,0.6875028857002093,344,1.0,1.4802501078050885,1717,0.9994175888177053,1.4793879935897098,3433,0.9997087095834547,1.4798189251345948
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,AFFINITY_KD_KI,document_disjoint,503,331,172,0.658051689860835,0.658051689860835,0.8839580552237758,0.9338053844849495,0.1274544399375643,0.841642228739003,0.8670694864048338,0.313953488372093,0.5165016308787567,0.6525900189908668,6,1.0,1.5196374622356497,26,1.0,1.5196374622356497,51,0.9803921568627451,1.4898406492506369
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,AFFINITY_KD_KI,raw_source_assay_disjoint,3485,2448,1037,0.7024390243902439,0.7024390243902439,0.6934468379122785,0.8479367336459542,0.2659443492049917,0.8474916387959867,0.5175653594771242,0.21986499517839922,0.5165016308787567,0.49517713810529107,35,1.0,1.4236111111111112,175,0.9714285714285714,1.382936507936508,349,0.9570200573065902,1.3624243871378543
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488,324,164,0.6639344262295082,0.6639344262295082,0.8866399427883168,0.9365842391197323,0.12495188913521257,0.8489425981873112,0.8672839506172839,0.3048780487804878,0.5165016308787567,0.653803682944285,5,1.0,1.5061728395061729,25,1.0,1.5061728395061729,49,1.0,1.5061728395061729
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,AFFINITY_KD_KI,spr112_targets,4910,3714,1196,0.7564154786150713,0.7564154786150713,0.9501831855601962,0.9835562789506382,0.0777543653677341,0.9072745901639344,0.9536887452880991,0.30267558528428096,0.5165016308787567,0.7781638794148599,50,1.0,1.3220247711362412,246,1.0,1.3220247711362412,491,1.0,1.3220247711362412
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,AFFINITY_KD_KI,old_parent_pair_unseen,27439,18074,9365,0.6586974743977551,0.6586974743977551,0.9410261816802147,0.9707500527666976,0.09346510138331358,0.898198989677136,0.9050569879384751,0.19797116924719702,0.5165016308787567,0.6703753045006812,275,1.0,1.5181476153590792,1372,0.999271137026239,1.5170410937735406,2744,0.9996355685131195,1.51759435456631
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,AFFINITY_KD_KI,targets_both_arms,33205,22416,10789,0.6750790543592833,0.6750790543592833,0.9551304551275526,0.9785959546847173,0.08089213262661316,0.9002733407363116,0.9403551034975017,0.21642413569376218,0.5165016308787567,0.7012163983599974,333,1.0,1.4813079942897929,1661,0.9993979530403372,1.4804161773155065,3321,0.9996988858777477,1.480861951533307
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,AFFINITY_KD_KI,targets_neither,870,599,271,0.6885057471264368,0.6885057471264368,0.5027690677574556,0.6957916082015823,0.402250161189192,0.7571428571428571,0.08848080133555926,0.06273062730627306,0.5165016308787567,0.28190632283598716,9,0.7777777777777778,1.1296605453533668,44,0.75,1.0893155258764609,87,0.7011494252873564,1.0183639398998332
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,AFFINITY_KD_KI,targets_only_all,252,175,77,0.6944444444444444,0.6944444444444444,0.5875324675324676,0.7822326637180104,0.3851568145129186,0.92,0.13142857142857142,0.025974025974025976,0.5165016308787567,0.2808037659526286,3,1.0,1.44,13,1.0,1.44,26,0.9230769230769231,1.3292307692307694
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,ACTIVITY_IC50,all,85704,65173,20531,0.7604429198170447,0.7604429198170447,0.7111614821448575,0.875661385445612,0.19990080663359408,0.8436317098669743,0.718134810427631,0.4225317812089036,0.5165016308787567,0.6288988575433796,858,0.9778554778554779,1.2859025343950083,4286,0.9524031731217919,1.2524321659157942,8571,0.9329133123322833,1.2268025489102237
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,ACTIVITY_IC50,document_disjoint,995,509,486,0.5115577889447236,0.5115577889447236,0.7170579769903062,0.7344487758611861,0.22415730519679228,0.6551724137931034,0.6345776031434185,0.3497942386831276,0.5165016308787567,0.5261786049575338,10,1.0,1.9548133595284873,50,0.88,1.7202357563850688,100,0.87,1.700687622789784
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,ACTIVITY_IC50,raw_source_assay_disjoint,70620,53437,17183,0.7566836590201076,0.7566836590201076,0.6986125515784702,0.8675527365711859,0.2090891794551397,0.8381637593610716,0.6932649662219061,0.4162835360530757,0.5165016308787567,0.6139650205225037,707,0.9717114568599717,1.284171324802126,3531,0.9416595865193996,1.244456088478021,7062,0.9209855564995751,1.2171341954076762
dtiam__kdki_inactive__native__20260921,kdki_inactive,native,20260921,WeightedEnsemble_L2,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994,508,486,0.5110663983903421,0.5110663983903421,0.7183763487897346,0.7348637042440622,0.22348811875417315,0.6551724137931034,0.6358267716535433,0.3497942386831276,0.5165016308787567,0.5266506581015984,10,1.0,1.9566929133858266,50,0.88,1.7218897637795274,100,0.87,1.7023228346456691
