arm,view,panel,scope,pairs_mean,pairs_std,positive_mean,positive_std,negative_mean,negative_std,ap_mean,ap_std,auroc_mean,auroc_std,false_positive_rate_mean,false_positive_rate_std,top1pct_precision_mean,top1pct_precision_std,top5pct_precision_mean,top5pct_precision_std
all_inactive,native,ACTIVITY_EC50,all,11957.0,0.0,8543.0,0.0,3414.0,0.0,0.9711453600825233,0.00018707706886567373,0.9407515578233255,0.0002960067363280982,0.17555165006834603,0.010003404424208663,1.0,0.0,1.0,0.0
all_inactive,native,ACTIVITY_EC50,document_disjoint,188.0,0.0,166.0,0.0,22.0,0.0,0.971049521708375,0.007299109330733683,0.8551478641840088,0.02591351186050598,0.37878787878787884,0.02624319405407391,1.0,0.0,1.0,0.0
all_inactive,native,ACTIVITY_EC50,old_parent_pair_unseen,11538.0,0.0,8197.0,0.0,3341.0,0.0,0.9714336022373917,0.0002120145449494486,0.9419298709223513,0.0002735153013202282,0.1726030130699391,0.009672597017353173,1.0,0.0,1.0,0.0
all_inactive,native,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,0.0,166.0,0.0,22.0,0.0,0.971049521708375,0.007299109330733683,0.8551478641840088,0.02591351186050598,0.37878787878787884,0.02624319405407391,1.0,0.0,1.0,0.0
all_inactive,native,ACTIVITY_EC50,raw_source_assay_disjoint,535.0,0.0,359.0,0.0,176.0,0.0,0.8708923771101142,0.002373818345365637,0.7934234405334685,0.0036995470940509568,0.3920454545454546,0.029523593310833138,1.0,0.0,0.9753086419753085,0.021383343303319455
all_inactive,native,ACTIVITY_EC50,spr112_targets,1412.0,0.0,1010.0,0.0,402.0,0.0,0.9625660417336057,0.0013496323793514022,0.9213203783064873,0.003384424876146923,0.26285240464344944,0.015199256036337785,1.0,0.0,1.0,0.0
all_inactive,native,ACTIVITY_EC50,targets_both_arms,10895.0,0.0,7950.0,0.0,2945.0,0.0,0.970873883633501,0.00010145551344789402,0.9357337490612307,0.0002877932064141413,0.19083191850594228,0.01089237007290013,1.0,0.0,1.0,0.0
all_inactive,native,ACTIVITY_EC50,targets_neither,2.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
all_inactive,native,ACTIVITY_EC50,targets_only_all,1060.0,0.0,593.0,0.0,467.0,0.0,0.9754922011730911,0.001747383351308893,0.9734145569353618,0.0010030583029304737,0.07994289793004997,0.004457528906779733,1.0,0.0,1.0,0.0
all_inactive,native,ACTIVITY_IC50,all,85704.0,0.0,65173.0,0.0,20531.0,0.0,0.9864274072491884,0.0001873605607166786,0.9609939958085137,0.0004124855884667088,0.16550582046661147,0.008412193309417598,1.0,0.0,0.9993000466635559,0.00023331777881474558
all_inactive,native,ACTIVITY_IC50,document_disjoint,995.0,0.0,509.0,0.0,486.0,0.0,0.873466655263187,0.0031764581496584884,0.8631242571976037,0.005139783007198252,0.17215363511659806,0.011332449685773873,0.9333333333333332,0.05773502691896258,0.98,0.0
all_inactive,native,ACTIVITY_IC50,old_parent_pair_unseen,59008.0,0.0,41208.0,0.0,17800.0,0.0,0.9825548020466274,0.00026015979224278834,0.9620214019295187,0.00042254221824607885,0.15569288389513108,0.00855876950585057,1.0,0.0,0.9992093075793517,0.00039129127020646765
all_inactive,native,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,0.0,508.0,0.0,486.0,0.0,0.8739788424307743,0.0031945178421156836,0.864160402017649,0.005249211915655496,0.17215363511659806,0.011332449685773873,0.9333333333333332,0.05773502691896258,0.98,0.0
all_inactive,native,ACTIVITY_IC50,raw_source_assay_disjoint,4176.0,0.0,2130.0,0.0,2046.0,0.0,0.8222461920107814,0.003224048555669324,0.818248133309469,0.0012329690980966389,0.27940697295536004,0.011995347106028018,0.9603174603174603,0.013746434980705408,0.9617224880382776,0.004784688995215336
all_inactive,native,ACTIVITY_IC50,spr112_targets,18916.0,0.0,15215.0,0.0,3701.0,0.0,0.9839177545684065,5.0476552924552216e-05,0.9420856492410015,0.0002513298649574034,0.2559668558047375,0.00920390864149904,1.0,0.0,0.9985905567300916,0.0006103068384667937
all_inactive,native,ACTIVITY_IC50,targets_both_arms,79864.0,0.0,61668.0,0.0,18196.0,0.0,0.9867150783276669,0.000193590904070646,0.9594160966053794,0.0004625017473117385,0.17692533157470505,0.008919380784576417,1.0,0.0,0.99916541478885,0.00038245499039853766
all_inactive,native,ACTIVITY_IC50,targets_neither,26.0,0.0,10.0,0.0,16.0,0.0,0.6139653783783209,0.010810649930467675,0.6020833333333333,0.02009093908540202,0.22916666666666666,0.1301041249666333,1.0,0.0,1.0,0.0
all_inactive,native,ACTIVITY_IC50,targets_only_all,5814.0,0.0,3495.0,0.0,2319.0,0.0,0.9809261185558601,0.00018722688252891575,0.9718890392093841,0.0003265898851372453,0.07546356188012075,0.005605864596808969,1.0,0.0,1.0,0.0
all_inactive,native,AFFINITY_KD_KI,all,34327.0,0.0,23190.0,0.0,11137.0,0.0,0.9585242156815825,0.0007190036622571741,0.9172446814704404,0.0008712957452645675,0.29205950136182696,0.014088095387619487,1.0,0.0,0.9994175888177054,0.000582411182294712
all_inactive,native,AFFINITY_KD_KI,document_disjoint,503.0,0.0,331.0,0.0,172.0,0.0,0.9240998277057147,0.006133240057024756,0.8850529286400151,0.003715958106741319,0.2441860465116279,0.010070062834702773,1.0,0.0,0.9615384615384616,0.038461538461538464
all_inactive,native,AFFINITY_KD_KI,old_parent_pair_unseen,27439.0,0.0,18074.0,0.0,9365.0,0.0,0.959583087277733,0.0006738981898678317,0.9233543721887809,0.0008288086813438253,0.2621462893753337,0.012733778362780859,1.0,0.0,1.0,0.0
all_inactive,native,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,0.0,324.0,0.0,164.0,0.0,0.931163146891226,0.006777353040739297,0.894312079694871,0.003528183410314479,0.22154471544715446,0.0140817138826738,1.0,0.0,0.96,0.04000000000000002
all_inactive,native,AFFINITY_KD_KI,raw_source_assay_disjoint,3381.0,0.0,2378.0,0.0,1003.0,0.0,0.8632726739923946,0.0028989771167279876,0.7314724595487437,0.004557340246642258,0.28148886673313395,0.027707762508600478,0.9901960784313726,0.01698089027028312,0.9686274509803922,0.008985442539129066
all_inactive,native,AFFINITY_KD_KI,spr112_targets,4910.0,0.0,3714.0,0.0,1196.0,0.0,0.9697000936063639,0.0007257634453090389,0.9156750963091836,0.0013545278612991632,0.37151616499442586,0.011715635204561725,1.0,0.0,1.0,0.0
all_inactive,native,AFFINITY_KD_KI,targets_both_arms,33205.0,0.0,22416.0,0.0,10789.0,0.0,0.9629588529685464,0.000795263435643068,0.9272622445409774,0.0010910484660162044,0.29338523805110145,0.013640217561113643,1.0,0.0,0.9993979530403371,0.0006020469596628442
all_inactive,native,AFFINITY_KD_KI,targets_neither,870.0,0.0,599.0,0.0,271.0,0.0,0.6981984110668472,0.0050270744975857646,0.5142334394963316,0.008187823113529976,0.27060270602706027,0.05170442695444945,0.7777777777777777,0.11111111111111108,0.6893939393939394,0.013121597027037017
all_inactive,native,AFFINITY_KD_KI,targets_only_all,252.0,0.0,175.0,0.0,77.0,0.0,0.8002279851319164,0.00403319867679356,0.6506122448979592,0.002065960802534328,0.1818181818181818,0.02249416633206335,1.0,0.0,0.8974358974358975,0.04441155916843281
all_inactive,native,ALL_ENDPOINT_UNION,all,132331.0,0.0,93249.0,0.0,39082.0,0.0,0.9768254761832641,0.0004129803733096603,0.9478165985053958,0.0006962911954398992,0.2105999351790253,0.010261094766801128,1.0,0.0,0.9992947458566319,0.0001745051440802837
all_inactive,native,ALL_ENDPOINT_UNION,document_disjoint,4371.0,0.0,942.0,0.0,3429.0,0.0,0.6987880293760282,0.00900012709985964,0.8509511107643745,0.0030415350303608043,0.2325264897443375,0.014162343039110991,0.9772727272727272,0.0,0.9467275494672754,0.0205901815197392
all_inactive,native,ALL_ENDPOINT_UNION,old_parent_pair_unseen,98314.0,0.0,64784.0,0.0,33530.0,0.0,0.9733773859877575,0.0004771833319942314,0.9498848153329291,0.0006871021692608992,0.19259369718659905,0.00959065824586572,1.0,0.0,0.9994575535665854,0.00011744309788240155
all_inactive,native,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,0.0,934.0,0.0,996.0,0.0,0.816395623356823,0.012394497571056033,0.8119406605723393,0.010250849298588605,0.37248995983935745,0.019155405650942665,0.9666666666666667,0.028867513459481322,0.979381443298969,0.0
all_inactive,native,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,8290.0,0.0,4677.0,0.0,3613.0,0.0,0.7922208105978418,0.004677829933197868,0.7475039996348286,0.0016857234717147737,0.3414521634837162,0.016886500963988242,0.963855421686747,0.012048192771084376,0.9526104417670682,0.005016062649315986
all_inactive,native,ALL_ENDPOINT_UNION,spr112_targets,24945.0,0.0,19339.0,0.0,5606.0,0.0,0.978502102378255,0.00020911334926160645,0.9342193371287321,0.00045678823104569675,0.290581519800214,0.01041502716874418,1.0,0.0,0.9989316239316239,0.0004626204080045382
