arm,seed,model,model_type,fit_seconds,internal_validation_score,native_parameters,fitted_parameters,stopping_claim
kdki_inactive,20260921,LightGBMXT,LGBModel,802.3845133781433,0.990130080189539,"{""learning_rate"": 0.05, ""extra_trees"": true}","{""num_boost_round"": 9872}",native budget/early stopping; see fitted parameters and RUN.log
kdki_inactive,20260921,LightGBM,LGBModel,808.8841180801392,0.990607237846273,"{""learning_rate"": 0.05}","{""num_boost_round"": 7955}",native budget/early stopping; see fitted parameters and RUN.log
kdki_inactive,20260921,RandomForestGini,RFModel,267.0751464366913,0.9875184384681975,"{""n_estimators"": 300, ""max_leaf_nodes"": 15000, ""n_jobs"": -1, ""random_state"": 0, ""bootstrap"": true, ""criterion"": ""gini""}","{""n_estimators"": 300}",native budget/early stopping; see fitted parameters and RUN.log
kdki_inactive,20260921,RandomForestEntr,RFModel,184.6195387840271,0.9878229579574448,"{""n_estimators"": 300, ""max_leaf_nodes"": 15000, ""n_jobs"": -1, ""random_state"": 0, ""bootstrap"": true, ""criterion"": ""entropy""}","{""n_estimators"": 300}",native budget/early stopping; see fitted parameters and RUN.log
kdki_inactive,20260921,CatBoost,CatBoostModel,928.5010340213776,0.989431340554948,"{""iterations"": 10000, ""learning_rate"": 0.05, ""random_seed"": 0, ""allow_writing_files"": false, ""eval_metric"": ""Logloss""}","{""iterations"": 9991}",native budget/early stopping; see fitted parameters and RUN.log
kdki_inactive,20260921,ExtraTreesGini,XTModel,47.55776524543762,0.9826034120420996,"{""n_estimators"": 300, ""max_leaf_nodes"": 15000, ""n_jobs"": -1, ""random_state"": 0, ""bootstrap"": true, ""criterion"": ""gini""}","{""n_estimators"": 300}",native budget/early stopping; see fitted parameters and RUN.log
kdki_inactive,20260921,ExtraTreesEntr,XTModel,49.763795375823975,0.9841543079096045,"{""n_estimators"": 300, ""max_leaf_nodes"": 15000, ""n_jobs"": -1, ""random_state"": 0, ""bootstrap"": true, ""criterion"": ""entropy""}","{""n_estimators"": 300}",native budget/early stopping; see fitted parameters and RUN.log
kdki_inactive,20260921,XGBoost,XGBoostModel,1089.6005539894104,0.990937386094405,"{""n_estimators"": 10000, ""learning_rate"": 0.1, ""n_jobs"": -1, ""proc.max_category_levels"": 100, ""objective"": ""binary:logistic"", ""booster"": ""gbtree""}","{""n_estimators"": 2503}",native budget/early stopping; see fitted parameters and RUN.log
kdki_inactive,20260921,NeuralNetTorch,TabularNeuralNetTorchModel,5352.395434856415,0.9878334586294879,"{""num_epochs"": 1000, ""epochs_wo_improve"": null, ""activation"": ""relu"", ""embedding_size_factor"": 1.0, ""embed_exponent"": 0.56, ""max_embedding_dim"": 100, ""y_range"": null, ""y_range_extend"": 0.05, ""dropout_prob"": 0.1, ""optimizer"": ""adam"", ""learning_rate"": 0.0003, ""weight_decay"": 1e-06, ""proc.embed_min_categories"": 4, ""proc.impute_strategy"": ""median"", ""proc.max_category_levels"": 100, ""proc.skew_threshold"": 0.99, ""use_ngram_features"": false, ""num_layers"": 4, ""hidden_size"": 128, ""max_batch_size"": 512, ""use_batchnorm"": false, ""loss_function"": ""auto""}","{""batch_size"": 256, ""num_epochs"": 235}",native budget/early stopping; see fitted parameters and RUN.log
kdki_inactive,20260921,LightGBMLarge,LGBModel,716.0368921756744,0.9906899973801714,"{""learning_rate"": 0.03, ""num_leaves"": 128, ""feature_fraction"": 0.9, ""min_data_in_leaf"": 3}","{""num_boost_round"": 3127}",native budget/early stopping; see fitted parameters and RUN.log
