arm,pairs,positive,negative,explicit_inactive,molecules,target_sequences,train_sha256
kdki_inactive,337570,188799,148771,105368,140064,2290,f60de283c892d7621024d3dd576ade268f5ab5d429765ad9169caf2dead930ee
all_inactive,1116270,769395,346875,105368,690439,3647,d0f5a574b63cb9817556409d9bdd2b6b184a3cc63384989bc2bb8e53dd696c7d
