model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.985188130332284,roc_auc,2.236414909362793,32971.50242996216,0.0016257762908935547,0.37147974967956543,2,True,12
XGBoost,0.9845748219047041,roc_auc,0.18877768516540527,8454.245237112045,0.18877768516540527,8454.245237112045,1,True,8
LightGBMLarge,0.9836334752390795,roc_auc,0.7350037097930908,3584.681652545929,0.7350037097930908,3584.681652545929,1,True,10
LightGBM,0.9805270312425185,roc_auc,0.4400186538696289,2521.547178030014,0.4400186538696289,2521.547178030014,1,True,2
LightGBMXT,0.9778004791669962,roc_auc,0.41479945182800293,2426.3237459659576,0.41479945182800293,2426.3237459659576,1,True,1
NeuralNetTorch,0.9748845524955971,roc_auc,1.3110077381134033,20932.204060554504,1.3110077381134033,20932.204060554504,1,True,9
NeuralNetFastAI,0.9733099464730617,roc_auc,0.32022762298583984,1687.0442855358124,0.32022762298583984,1687.0442855358124,1,True,11
RandomForestEntr,0.9712375413471303,roc_auc,0.2212529182434082,900.200968503952,0.2212529182434082,900.200968503952,1,True,4
CatBoost,0.9708141320469024,roc_auc,0.03709268569946289,2625.7849922180176,0.03709268569946289,2625.7849922180176,1,True,5
RandomForestGini,0.968349414843926,roc_auc,0.2472085952758789,935.4426684379578,0.2472085952758789,935.4426684379578,1,True,3
ExtraTreesEntr,0.9621827043539035,roc_auc,0.2477431297302246,217.29969763755798,0.2477431297302246,217.29969763755798,1,True,7
ExtraTreesGini,0.9608597610399452,roc_auc,0.2460935115814209,214.91467833518982,0.2460935115814209,214.91467833518982,1,True,6
