model,arm,pairs,targets,positive_fraction,median_target_pairs,maximum_target_pairs,top10_target_row_fraction,top10pct_target_count,top10pct_target_row_fraction,explicit_inactive_pairs,explicit_inactive_row_fraction,explicit_inactive_bce_coefficient_fraction,numeric_KdKi_pairs,numeric_KdKi_row_fraction,numeric_KdKi_bce_coefficient_fraction,target_class_150_cap_positive,target_class_150_cap_negative,target_class_150_cap_pairs,cap_retained_fraction,target_only_sqrt_sampling_top10pct_mass
A,kdki_inactive,337570,2290,0.5592884438783067,17.0,6425,0.130595135823681,229,0.6241372159848327,105368,0.31213674200906477,0.3541281566972057,286787,0.8495630535888853,0.8293249356393383,62747,100273,163020,0.4829220606096513,0.34583959549573773
B,all_inactive,1116270,3647,0.6892552876992125,33.0,10094,0.0750795058543184,365,0.6989402205559587,105368,0.09439293360925224,0.15188180180180183,284797,0.2551327187866735,0.2623248882633828,161869,176648,338517,0.30325727646537126,0.39739311273477523
