molregno,control_chembl_id,control_name,control_inchikey,fda_identity_tier,exact_fda_structure_match,fda_applications,fda_urls
97,CHEMBL2,PRAZOSIN,IENZQIKPVFGBNW-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA071745; ANDA071994; ANDA071995; ANDA072573; ANDA072574; ANDA072575; ANDA210971; ANDA213052; ANDA213406; ANDA214608; ANDA215697; ANDA216727; ANDA217268; NDA017442,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071745; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071994; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071995
115,CHEMBL3,NICOTINE,SNICXCGAKADSCV-JTQLQIEISA-N,项目FDA注册表完整InChIKey匹配,True,NDA022360,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022360
146,CHEMBL4,OFLOXACIN,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076093; ANDA076128; ANDA076182; ANDA076407; ANDA076513; ANDA076527; ANDA076622; ANDA077098; ANDA078559; ANDA091656; ANDA202692; ANDA211525; ANDA213597; ANDA215038; ANDA215886; ANDA216130; ANDA216328; ANDA217903; ANDA217904; ANDA218557; NDA019921,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076093; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076128; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076182
173,CHEMBL6,INDOMETHACIN,CGIGDMFJXJATDK-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022536,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022536
194,CHEMBL403,SULBACTAM,FKENQMMABCRJMK-RITPCOANSA-N,项目FDA注册表完整InChIKey匹配,True,NDA216974,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216974
207,CHEMBL404,TAZOBACTAM,LPQZKKCYTLCDGQ-WEDXCCLWSA-N,项目FDA注册表完整InChIKey匹配,True,NDA206056; NDA206829,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206056; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206829
241,CHEMBL8,CIPROFLOXACIN,MYSWGUAQZAJSOK-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA021918; NDA208251,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021918; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208251
543,CHEMBL405,AMPHETAMINE,KWTSXDURSIMDCE-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022063; NDA204326; NDA208147; NDA210526,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022063; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204326; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208147
556,CHEMBL6622,ISOSORBIDE DINITRATE,MOYKHGMNXAOIAT-JGWLITMVSA-N,项目FDA注册表完整InChIKey匹配,True,NDA020727,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020727
605,CHEMBL11,IMIPRAMINE,BCGWQEUPMDMJNV-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040751; ANDA040903; ANDA081049; ANDA081050; ANDA083745; ANDA084936; ANDA084937; ANDA088262; ANDA088276; ANDA088292; ANDA090444; ANDA091099,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040751; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040903; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=081049
619,CHEMBL406,INDAPAMIDE,NDDAHWYSQHTHNT-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA074299; ANDA074461; ANDA074722,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074299; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074461; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074722
635,CHEMBL407,FLUMAZENIL,OFBIFZUFASYYRE-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076256; ANDA076755; ANDA076955; ANDA077071; ANDA078527; ANDA078595; ANDA090584,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076256; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076755; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076955
717,CHEMBL409,BICALUTAMIDE,LKJPYSCBVHEWIU-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022310,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022310
721,CHEMBL12,DIAZEPAM,AAOVKJBEBIDNHE-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA211635,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211635
789,CHEMBL13,METOPROLOL,IUBSYMUCCVWXPE-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA210428; NDA218698; NDA219373,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210428; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218698; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=219373
880,CHEMBL267936,MECAMYLAMINE,IMYZQPCYWPFTAG-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA204054,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204054
892,CHEMBL14,CARBACHOL,AIXAANGOTKPUOY-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,NDA016968; NDA220142,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016968; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=220142
921,CHEMBL16,PHENYTOIN,CXOFVDLJLONNDW-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040298; ANDA040521; ANDA040573; ANDA040684; ANDA040765; ANDA040884; ANDA084307; ANDA084349; ANDA084427; ANDA200565; ANDA200691; ANDA204309; NDA008762,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040298; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040521; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040573
923,CHEMBL413,SIROLIMUS,QFJCIRLUMZQUOT-HPLJOQBZSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA201578; ANDA201676; ANDA208691; ANDA211040; ANDA211212; ANDA211406; ANDA214753; ANDA215080; ANDA215116; ANDA216728; NDA021083; NDA021110; NDA213312; NDA213478,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201578; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201676; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208691
996,CHEMBL415,CLOMIPRAMINE,GDLIGKIOYRNHDA-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA074364; ANDA074694; ANDA074953; ANDA208961; ANDA209294; ANDA211364; ANDA211767; ANDA211822; ANDA212218; ANDA212285; ANDA213219; ANDA216440; NDA019906,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074364; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074694; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074953
1063,CHEMBL416,METHOXSALEN,QXKHYNVANLEOEG-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA202687; NDA019600; NDA020969,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202687; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019600; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020969
1085,CHEMBL17,DICHLORPHENAMIDE,GJQPMPFPNINLKP-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA215924; ANDA218783; NDA011366,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215924; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218783; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011366
1114,CHEMBL417,EPIRUBICIN,AOJJSUZBOXZQNB-VTZDEGQISA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA065289; ANDA065331; ANDA065361; ANDA090163; NDA050778,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=065289; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=065331; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=065361
1124,CHEMBL19,METHAZOLAMIDE,FLOSMHQXBMRNHR-QPJJXVBHSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040001; ANDA040036; ANDA040062; ANDA207438; ANDA215615; ANDA217408,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040001; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040036; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040062
1125,CHEMBL20,ACETAZOLAMIDE,BZKPWHYZMXOIDC-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040089; ANDA040195; ANDA040784; ANDA040904; ANDA084840; ANDA090779; ANDA200880; ANDA202693; ANDA203434; ANDA204691; ANDA205301; ANDA205530; ANDA206533; ANDA207401; ANDA207659; ANDA209734; ANDA210423; ANDA210588; ANDA211069; ANDA211372; ANDA211556; ANDA212089; ANDA214282; ANDA215101; ANDA217197; ANDA218023; ANDA219775,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040089; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040195; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040784
1148,CHEMBL419,MAFENIDE,TYMRLRRVMHJFTF-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,NDA016763,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016763
1216,CHEMBL22,TRIMETHOPRIM,IEDVJHCEMCRBQM-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA064120; ANDA064211; ANDA065006; ANDA070049; ANDA071017; ANDA073303; ANDA076817; ANDA076899; ANDA077612; ANDA077785; ANDA078060; ANDA090624; ANDA090828; ANDA091348; ANDA091437; ANDA206607; ANDA211572; ANDA212231; ANDA214330; ANDA216393; NDA017377; NDA018615; NDA018679,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=064120; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=064211; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=065006
1219,CHEMBL6966,VERAPAMIL,SGTNSNPWRIOYBX-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA070737; ANDA070738; ANDA070994; ANDA070995; ANDA071881; ANDA072924; ANDA075072; ANDA075138; ANDA078906; ANDA079135; ANDA090700; ANDA206173; ANDA211015; ANDA211035; ANDA211370; ANDA212965; ANDA213232; ANDA213352; ANDA214215; ANDA214361; ANDA214653; ANDA215829; ANDA216471; ANDA218218; ANDA219252; ANDA220076; NDA018925; NDA019614; NDA020943,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070737; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070738; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070994
1223,CHEMBL421,SULFASALAZINE,NCEXYHBECQHGNR-QZQOTICOSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040349; ANDA075339; ANDA080197; ANDA085828; ANDA219046; NDA007073; NDA020465; NDA021243,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040349; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075339; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=080197
1278,CHEMBL23,DILTIAZEM,HSUGRBWQSSZJOP-RTWAWAEBSA-N,项目FDA注册表完整InChIKey匹配,True,NDA218038,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=218038
1279,CHEMBL24,ATENOLOL,METKIMKYRPQLGS-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA072302; ANDA072304; ANDA073026; ANDA073457; ANDA073665; ANDA074056; ANDA076900; ANDA077443; ANDA077877; ANDA078512; ANDA210028; ANDA213136; ANDA213302; ANDA215560; NDA018240,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=072302; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=072304; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=073026
1280,CHEMBL25,ASPIRIN,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA203697,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203697
1325,CHEMBL422,TRIFLUOPERAZINE,ZEWQUBUPAILYHI-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040209; ANDA085785; ANDA085786; ANDA085788; ANDA085789,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040209; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=085785; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=085786
1354,CHEMBL423,BETAXOLOL,NWIUTZDMDHAVTP-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA075541; ANDA075630; ANDA078694; ANDA078962; NDA019270; NDA019845,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075541; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075630; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078694
1369,CHEMBL425,OLSALAZINE,QQBDLJCYGRGAKP-FOCLMDBBSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,NDA019715,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019715
1370,CHEMBL27,PROPRANOLOL,AQHHHDLHHXJYJD-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA205410,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205410
1470,CHEMBL427,MECHLORETHAMINE,HAWPXGHAZFHHAD-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,NDA202317,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202317
1615,CHEMBL29,PENICILLIN G,JGSARLDLIJGVTE-MBNYWOFBSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA060101; ANDA060657; ANDA065068; ANDA065079; ANDA065149; ANDA065448; ANDA205043; NDA050138; NDA050141; NDA050638,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=060101; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=060657; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=065068
1620,CHEMBL30,CIMETIDINE,AQIXAKUUQRKLND-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA074151; ANDA074246; ANDA074251; ANDA074329; ANDA074463; ANDA074664; ANDA075285; ANDA218220; ANDA218997; NDA020238,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074151; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074246; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074251
1785,CHEMBL429,LABETALOL,SGUAFYQXFOLMHL-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA213330,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213330
1788,CHEMBL32,MOXIFLOXACIN,FABPRXSRWADJSP-MEDUHNTESA-N,项目FDA注册表完整InChIKey匹配,True,NDA205572,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205572
1991,CHEMBL433,VALPROATE SODIUM,AEQFSUDEHCCHBT-UHFFFAOYSA-M,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076295; ANDA076539; ANDA078523,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076295; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076539; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078523
1994,CHEMBL434,ISOPROTERENOL,JWZZKOKVBUJMES-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA206961; ANDA210106; ANDA210576; ANDA210845; ANDA211237; ANDA211590; ANDA211703; ANDA212189; ANDA213305; ANDA215542; ANDA217648; ANDA220299,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206961; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210106; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210576
2045,CHEMBL435,HYDROCHLOROTHIAZIDE,JZUFKLXOESDKRF-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022314; NDA200175; NDA219141,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022314; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=200175; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=219141
2046,CHEMBL35,FUROSEMIDE,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA209988; NDA217294,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209988; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=217294
2080,CHEMBL36,PYRIMETHAMINE,WKSAUQYGYAYLPV-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA207127; ANDA215506; ANDA216983; NDA008578,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207127; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215506; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216983
2131,CHEMBL439,SULFADIAZINE,SEEPANYCNGTZFQ-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040091,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040091
2208,CHEMBL38,TRETINOIN,SHGAZHPCJJPHSC-YCNIQYBTSA-N,项目FDA注册表完整InChIKey匹配,True,NDA022070; NDA050802; NDA050803; NDA209353; NDA214902,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022070; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050802; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050803
2216,CHEMBL7413,METHOHEXITAL,NZXKDOXHBHYTKP-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA215488; NDA011559,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215488; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011559
2223,CHEMBL41,FLUOXETINE,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA075049; ANDA075245; ANDA075292; ANDA075452; ANDA075464; ANDA075465; ANDA075506; ANDA075525; ANDA076001; ANDA076006; ANDA077528; ANDA077742; ANDA077849; ANDA078572; ANDA078619; ANDA078901; ANDA079209; ANDA090223; ANDA201336; ANDA202074; ANDA203836; ANDA204597; ANDA206937; ANDA206993; ANDA208698; ANDA209419; ANDA209695; ANDA210935; ANDA211282; ANDA211477; ANDA211653; ANDA211721; ANDA212683; ANDA212684; ANDA213265; ANDA213286; ANDA216232; ANDA216448; ANDA216953,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075049; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075245; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075292
2247,CHEMBL443,SULFAMETHOXAZOLE,JLKIGFTWXXRPMT-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA071017; ANDA073303; ANDA076817; ANDA076899; ANDA077612; ANDA077785; ANDA078060; ANDA090624; ANDA090828; ANDA091348; ANDA206607; ANDA212231; ANDA214330; NDA017377; NDA018615,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071017; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=073303; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076817
2261,CHEMBL42,CLOZAPINE,QZUDBNBUXVUHMW-UHFFFAOYSA-N,项目FDA注册表完整InChIKey匹配,True,NDA203479,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203479
2262,CHEMBL445,NORTRIPTYLINE,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA073556; ANDA074132; ANDA075520; ANDA075606; ANDA217731,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=073556; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074132; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075520
2431,CHEMBL451,CHLORDIAZEPOXIDE,ANTSCNMPPGJYLG-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA071296; ANDA071297; ANDA083116; ANDA084041; ANDA084678; ANDA084679; ANDA084768; ANDA084769; ANDA085461; ANDA085472; ANDA085475; ANDA210579; ANDA211421; ANDA212344; ANDA213530; ANDA214065; ANDA214698; ANDA215453; ANDA215555; ANDA215835; ANDA216419; ANDA216969; NDA012750,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071296; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071297; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=083116
2465,CHEMBL452,CLONAZEPAM,DGBIGWXXNGSACT-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA074569; ANDA074869; ANDA074925; ANDA074979; ANDA075150; ANDA075468; ANDA077147; ANDA077171; ANDA077194; ANDA077856; ANDA211033; ANDA216988; NDA017533,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074569; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074869; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074925
2524,CHEMBL454,BUTALBITAL,UZVHFVZFNXBMQJ-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040387; ANDA040864; ANDA040885; ANDA074951; ANDA075231; ANDA076528; ANDA076560; ANDA078149; ANDA086996; ANDA088616; ANDA089007; ANDA089175; ANDA089987; ANDA090956; ANDA200243; ANDA203484; ANDA204733; ANDA207118; ANDA207313; ANDA207386; ANDA209587; ANDA210817; ANDA211106; ANDA212082; ANDA212083; ANDA213046; ANDA213115; ANDA213321; ANDA214087; ANDA214088; ANDA214287; ANDA214288; ANDA214291; ANDA214305; ANDA214955; ANDA215047; ANDA215138; ANDA216376; NDA020232,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040387; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040864; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040885
2525,CHEMBL455,SULFACETAMIDE,SKIVFJLNDNKQPD-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040066; ANDA074449; ANDA077015; ANDA078649; ANDA089560; NDA019931,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040066; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074449; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077015
2654,CHEMBL456,ETHACRYNIC ACID,AVOLMBLBETYQHX-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA205609; ANDA208805; ANDA211232; ANDA211719; ANDA211809; ANDA212417; ANDA213240; NDA016092,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205609; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208805; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211232
