molregno,control_chembl_id,control_name,control_inchikey,fda_identity_tier,exact_fda_structure_match,fda_applications,fda_urls
674824,CHEMBL1200873,PHENTOLAMINE MESYLATE,OGIYDFVHFQEFKQ-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040235; ANDA207686; NDA022159; NDA217064,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040235; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207686; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022159
674826,CHEMBL1200875,FLAVOXATE HYDROCHLORIDE,XOEVKNFZUQEERE-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076831; ANDA076835,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076831; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076835
674830,CHEMBL1200879,WARFARIN SODIUM,KYITYFHKDODNCQ-UHFFFAOYSA-M,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA040301; ANDA040416; ANDA040616; ANDA040663; ANDA090935; ANDA202202,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040301; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040416; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040616
674832,CHEMBL1200881,MINOCYCLINE HYDROCHLORIDE,GLMUAFMGXXHGLU-VQAITOIOSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA063009; ANDA063011; ANDA063065; ANDA063181; ANDA065005; ANDA065062; ANDA065131; ANDA065156; ANDA065436; ANDA065470; ANDA090422; ANDA091424; ANDA202261; ANDA204453; ANDA213662; ANDA215466; NDA050444; NDA050649; NDA050781; NDA212379; NDA213690; NDA219015,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=063009; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=063011; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=063065
674834,CHEMBL1200883,THONZONIUM BROMIDE,WBWDWFZTSDZAIG-UHFFFAOYSA-M,FDA成分/活性母体名称匹配；结构身份待复核,False,NDA050356,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050356
674836,CHEMBL1200885,ALOSETRON HYDROCHLORIDE,FNYQZOVOVDSGJH-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA206647; ANDA209180; ANDA211621; ANDA213614; NDA021107,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206647; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209180; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211621
674838,CHEMBL1200887,TRIMETHOBENZAMIDE HYDROCHLORIDE,WIIZEEPFHXAUND-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076546; ANDA205950; ANDA219606; NDA017530,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076546; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205950; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=219606
674846,CHEMBL1200895,PHENELZINE SULFATE,RXBKMJIPNDOHFR-UHFFFAOYSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA200181; NDA011909,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=200181; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011909
674855,CHEMBL1200904,SELEGILINE HYDROCHLORIDE,IYETZZCWLLUHIJ-UTONKHPSSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA074672; ANDA074871; ANDA075321; ANDA075352; ANDA206803; NDA021479,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074672; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074871; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075321
674859,CHEMBL1200908,HALOBETASOL PROPIONATE,BDSYKGHYMJNPAB-LICBFIPMSA-N,FDA成分/活性母体名称匹配；结构身份待复核,False,ANDA076872; ANDA077001; ANDA077109; ANDA077123; ANDA078162; ANDA209978; ANDA213560; ANDA215266; ANDA217190; NDA208183; NDA209354; NDA209355,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076872; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077001; https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077109
