drug_names,ligand_inchikey,chemical_risk_points,rdkit_clogp,rdkit_mw
serdexmethylphenidate,UBZPNQRBUOBBLN-PWRODBHTSA-N,1.0,-0.279899999999998,499.5200000000002
ospemifene,LUMKNAVTFCDUIE-VHXPQNKSSA-N,1.0,5.645700000000005,378.899
vericiguat,QZFHIXARHDBPBY-UHFFFAOYSA-N,1.0,2.557499999999999,426.3870000000001
resmetirom,FDBYIYFVSAHJLY-UHFFFAOYSA-N,1.0,2.0982800000000004,435.2270000000001
calcitriol,GMRQFYUYWCNGIN-NKMMMXOESA-N,1.0,5.704700000000008,416.6460000000002
cefepime,HVFLCNVBZFFHBT-ZKDACBOMSA-N,1.0,-1.2798999999999958,480.5720000000003
tazemetostat,NSQSAUGJQHDYNO-UHFFFAOYSA-N,1.0,4.734660000000003,572.75
