cohort,scope,model,input,pairs,positive,negative,random_ap_reference,ap,auroc,drug_queries_both_classes,drug_macro_ap,drug_macro_auroc,drug_p5,drug_p5_queries,target_queries_both_classes,target_macro_ap,target_macro_auroc,target_p5,target_p5_queries
S5_HISTORICAL_TEST,all_original_members,Palinova_A_binary,original_catalog,2556,354,2202,0.13849765258215962,0.5885814644048297,0.9220033662258759,75,0.8353156251479358,0.8498631560514794,0.5444444444444445,54,102,0.8110795487947327,0.9123102208214121,0.45797101449275357,69
S5_HISTORICAL_TEST,all_original_members,Palinova_B_binary,original_catalog,2556,354,2202,0.13849765258215962,0.5811577671548428,0.9016892706681652,75,0.7901622213978367,0.8609114616434226,0.48888888888888893,54,102,0.7454414029422726,0.888066687957289,0.42318840579710143,69
S5_HISTORICAL_TEST,all_original_members,Palinova_A_joint_reference,original_catalog,2556,354,2202,0.13849765258215962,0.604395262596915,0.9283336412198464,75,0.8538609985631834,0.8584186274488672,0.5518518518518517,54,102,0.8218226215720408,0.9075261418675085,0.4695652173913043,69
S5_HISTORICAL_TEST,both_AB_train_validation_pair_unseen,Palinova_A_binary,original_catalog,620,95,525,0.1532258064516129,0.32138784802120784,0.7570927318295739,21,0.7549349309793569,0.7302167036576769,0.45454545454545453,11,38,0.6853294922087827,0.6163888888888888,0.3714285714285715,14
S5_HISTORICAL_TEST,both_AB_train_validation_pair_unseen,Palinova_B_binary,original_catalog,620,95,525,0.1532258064516129,0.4345292136018779,0.7640701754385965,21,0.7618876025274284,0.8253152112262304,0.5272727272727272,11,38,0.6844314395484836,0.5856140350877194,0.38571428571428573,14
S5_HISTORICAL_TEST,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,original_catalog,620,95,525,0.1532258064516129,0.41797940672181483,0.7966917293233083,21,0.8161857067058798,0.8460019133101269,0.5090909090909091,11,38,0.8081627813553022,0.7857894736842104,0.4142857142857143,14
MERGED_REFRESH_488,all_original_members,Palinova_A_binary,original_catalog,488,133,355,0.2725409836065574,0.8034645481325405,0.931568357513502,19,0.7935369955858679,0.7558238165855894,0.5333333333333333,12,45,0.8653086419753087,0.9325196408529742,0.4451612903225808,31
MERGED_REFRESH_488,all_original_members,Palinova_B_binary,original_catalog,488,133,355,0.2725409836065574,0.6451254544924518,0.8708249496981892,19,0.8084836203909337,0.8228982544079497,0.5,12,45,0.7074074074074075,0.8132273128106462,0.42580645161290326,31
MERGED_REFRESH_488,all_original_members,Palinova_A_joint_reference,original_catalog,488,133,355,0.2725409836065574,0.7169651114851998,0.9252885735465424,19,0.8450470766149669,0.8316814764183186,0.5666666666666668,12,45,0.8287037037037038,0.9045590828924162,0.4451612903225808,31
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_binary,original_catalog,180,45,135,0.25,0.5702405817923328,0.7939094650205761,8,0.5949182216592931,0.6372017797017797,0.4,5,16,0.8385416666666666,0.7760416666666667,0.4,1
