drug_id,name,smiles,native_feature_index,training_feature_index,split_group,feature_source
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,96050,877.0,SG:82a902031424450a63f4ebb9443a95d0e9f8d1a008711cc1dad4dddb99bc1bad,prepared_A_B_cache
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,134986,4322.0,SG:5058f68f57b8e431a547a2dd489ef54f650a16fc1ef20002007920305267274e,preserved_catalog_cache
ACWBQPMHZXGDFX-QFIPXVFZSA-N,valsartan,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,53279,4623.0,SG:441a4752f9f156fb9a01e4cf083ff1503e968a6f19443662cc7479f171b96a14,prepared_A_B_cache
ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,224948,4669.0,SG:8180ddc8a86eae764d07e45c70d2abbddcd367c76c25d91d591ef4c11596f871,prepared_A_B_cache
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,134815,5106.0,SG:58394385693b5d374d440c8f78bc3eb76fdc40d615667cc809db87d93eb21817,prepared_A_B_cache
AEXFXNFMSAAELR-RXVVDRJESA-N,brensocatib,Cn1c(=O)oc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21,219984,7831.0,SG:196eb38e275db26ec64807778747240ac737a695ba037d8f72b932404c1ec5ba,prepared_A_B_cache
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1,164305,8713.0,SG:4d87422363190ac0d7bf419bb44e86bd87290ec9d8ab14f4c2b2f5dad5c2d303,prepared_A_B_cache
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,19716,11760.0,SG:acb3e662e5c45b699e213d7e7f4f4b8f1379ee0f5c810345df2ba3447e1dceba,prepared_A_B_cache
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,229620,12028.0,SG:88955c2afa9f1cbda181814bf3f9144ff82f2a03f2bba8bb7c9a24be828529f7,prepared_A_B_cache
AHYMHWXQRWRBKT-UHFFFAOYSA-N,tepotinib,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,97453,12619.0,SG:d3f1f53b1ac3cf55088839d73794ea13e037102385a317297967ef878e52cd95,prepared_A_B_cache
