cohort,scope,model,rank_band,measured_pairs,positive,negative,measured_positive_fraction
MERGED_REFRESH_488,all_original_members,original_SPR_ranker,1-10,60,49,11,0.8166666666666667
MERGED_REFRESH_488,all_original_members,original_SPR_ranker,11-20,21,7,14,0.3333333333333333
MERGED_REFRESH_488,all_original_members,original_SPR_ranker,21-384,407,77,330,0.1891891891891892
MERGED_REFRESH_488,all_original_members,Palinova_A_binary,1-10,46,41,5,0.8913043478260869
MERGED_REFRESH_488,all_original_members,Palinova_A_binary,11-20,28,22,6,0.7857142857142857
MERGED_REFRESH_488,all_original_members,Palinova_A_binary,21-384,414,70,344,0.16908212560386474
MERGED_REFRESH_488,all_original_members,Palinova_B_binary,1-10,41,36,5,0.8780487804878049
MERGED_REFRESH_488,all_original_members,Palinova_B_binary,11-20,21,16,5,0.7619047619047619
MERGED_REFRESH_488,all_original_members,Palinova_B_binary,21-384,426,81,345,0.19014084507042253
MERGED_REFRESH_488,all_original_members,Palinova_A_joint_reference,1-10,41,33,8,0.8048780487804879
MERGED_REFRESH_488,all_original_members,Palinova_A_joint_reference,11-20,28,21,7,0.75
MERGED_REFRESH_488,all_original_members,Palinova_A_joint_reference,21-384,419,79,340,0.18854415274463007
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,original_SPR_ranker,1-10,26,21,5,0.8076923076923077
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,original_SPR_ranker,11-20,11,2,9,0.18181818181818182
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,original_SPR_ranker,21-384,143,22,121,0.15384615384615385
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_binary,1-10,14,10,4,0.7142857142857143
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_binary,11-20,11,5,6,0.45454545454545453
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_binary,21-384,155,30,125,0.1935483870967742
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_B_binary,1-10,12,9,3,0.75
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_B_binary,11-20,12,8,4,0.6666666666666666
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_B_binary,21-384,156,28,128,0.1794871794871795
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,1-10,15,8,7,0.5333333333333333
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,11-20,11,5,6,0.45454545454545453
MERGED_REFRESH_488,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,21-384,154,32,122,0.2077922077922078
BINDINGDB_479,all_original_members,original_SPR_ranker,1-10,53,42,11,0.7924528301886793
BINDINGDB_479,all_original_members,original_SPR_ranker,11-20,19,6,13,0.3157894736842105
BINDINGDB_479,all_original_members,original_SPR_ranker,21-384,407,77,330,0.1891891891891892
BINDINGDB_479,all_original_members,Palinova_A_binary,1-10,44,39,5,0.8863636363636364
BINDINGDB_479,all_original_members,Palinova_A_binary,11-20,27,21,6,0.7777777777777778
BINDINGDB_479,all_original_members,Palinova_A_binary,21-384,408,65,343,0.15931372549019607
BINDINGDB_479,all_original_members,Palinova_B_binary,1-10,40,35,5,0.875
BINDINGDB_479,all_original_members,Palinova_B_binary,11-20,19,14,5,0.7368421052631579
BINDINGDB_479,all_original_members,Palinova_B_binary,21-384,420,76,344,0.18095238095238095
BINDINGDB_479,all_original_members,Palinova_A_joint_reference,1-10,38,30,8,0.7894736842105263
BINDINGDB_479,all_original_members,Palinova_A_joint_reference,11-20,26,19,7,0.7307692307692307
BINDINGDB_479,all_original_members,Palinova_A_joint_reference,21-384,415,76,339,0.18313253012048192
BINDINGDB_479,both_AB_train_validation_pair_unseen,original_SPR_ranker,1-10,23,18,5,0.782608695652174
BINDINGDB_479,both_AB_train_validation_pair_unseen,original_SPR_ranker,11-20,9,1,8,0.1111111111111111
BINDINGDB_479,both_AB_train_validation_pair_unseen,original_SPR_ranker,21-384,143,22,121,0.15384615384615385
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_binary,1-10,14,10,4,0.7142857142857143
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_binary,11-20,11,5,6,0.45454545454545453
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_binary,21-384,150,26,124,0.17333333333333334
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_B_binary,1-10,11,8,3,0.7272727272727273
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_B_binary,11-20,12,8,4,0.6666666666666666
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_B_binary,21-384,152,25,127,0.16447368421052633
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,1-10,15,8,7,0.5333333333333333
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,11-20,9,3,6,0.3333333333333333
BINDINGDB_479,both_AB_train_validation_pair_unseen,Palinova_A_joint_reference,21-384,151,30,121,0.1986754966887417
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,original_SPR_ranker,1-10,46,37,9,0.8043478260869565
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,original_SPR_ranker,11-20,13,2,11,0.15384615384615385
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,original_SPR_ranker,21-384,323,55,268,0.17027863777089783
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_binary,1-10,36,32,4,0.8888888888888888
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_binary,11-20,20,14,6,0.7
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_binary,21-384,326,48,278,0.147239263803681
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_B_binary,1-10,32,27,5,0.84375
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_B_binary,11-20,15,10,5,0.6666666666666666
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_B_binary,21-384,335,57,278,0.1701492537313433
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_joint_reference,1-10,33,25,8,0.7575757575757576
BINDINGDB_IDENTITY_CHEMISTRY_382,all_original_members,Palinova_A_joint_reference,11-20,18,12,6,0.6666666666666666
