model,completed,percent,targets_with_any_score,targets_720,targets_at_least_719
biomaster,276480,100.0,384,384,384
drugclip,275040,99.47916666666667,382,382,382
dtiam,276480,100.0,384,384,384
conplex,276480,100.0,384,384,384
nesso,70140,25.36892361111111,234,0,96
probematch,276480,100.0,384,384,384
dtbind,141821,51.295211226851855,205,196,196
