candidate_id,pair_id,previous_display_name,modeled_entity_name,source_ingredient_name
EXP-210,ZBPLOVFIXSTCRZ-UHFFFAOYSA-N__CHEMBL1856,bromfenac sodium,bromfenac,bromfenac sodium
EXP-218,GLYMPHUVMRFTFV-QLFBSQMISA-N__CHEMBL5568,ensartinib hydrochloride,ensartinib,ensartinib hydrochloride
EXP-246,NNACHAUCXXVJSP-UHFFFAOYSA-N__CHEMBL1914,pitolisant hydrochloride,pitolisant,pitolisant hydrochloride
EXP-256,NNACHAUCXXVJSP-UHFFFAOYSA-N__CHEMBL242,pitolisant hydrochloride,pitolisant,pitolisant hydrochloride
EXP-272,MXAYKZJJDUDWDS-LBPRGKRZSA-N__CHEMBL2954,ixazomib citrate,ixazomib,ixazomib citrate
EXP-277,KDGFLJKFZUIJMX-UHFFFAOYSA-N__CHEMBL5366,alectinib hydrochloride,alectinib,alectinib hydrochloride
EXP-298,RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL2039,fluoxetine hydrochloride,fluoxetine,fluoxetine hydrochloride
EXP-316,MVWVFYHBGMAFLY-UHFFFAOYSA-N__CHEMBL2285,ziprasidone hydrochloride,ziprasidone,ziprasidone hydrochloride
EXP-322,ZPUCINDJVBIVPJ-LJISPDSOSA-N__CHEMBL220,cocaine hydrochloride,cocaine,cocaine hydrochloride
EXP-344,FJZZPCZKBUKGGU-AUSIDOKSSA-N__CHEMBL6009,eliglustat tartrate,eliglustat,eliglustat tartrate
EXP-350,ZPUCINDJVBIVPJ-LJISPDSOSA-N__CHEMBL284,cocaine hydrochloride,cocaine,cocaine hydrochloride
EXP-355,PNVNVHUZROJLTJ-UHFFFAOYSA-N__CHEMBL2039,venlafaxine hydrochloride,venlafaxine,venlafaxine hydrochloride
