arm,pairs,positive,negative,molecules,target_sequences,explicit_inactive,train_sha256,training_pool_identical,neural_positive_weight,neural_negative_weight,palinova_drugclip_available_molecules,pairs_without_drugclip,pair_fraction_without_drugclip
kdki_inactive,337570,188799,148771,140064,2290,105368,f60de283c892d7621024d3dd576ade268f5ab5d429765ad9169caf2dead930ee,True,0.8939930825904799,1.1345289068434035,136115,6343,0.01879017685220843
all_inactive,1116270,769395,346875,690439,3647,105368,d0f5a574b63cb9817556409d9bdd2b6b184a3cc63384989bc2bb8e53dd696c7d,True,0.7254206226970542,1.6090378378378376,678566,16329,0.0146281813539735
