arm,seed,neural_status,neural_parameters,neural_optimizer_steps,neural_best_step,neural_complete_passes,neural_seconds,neural_last_streaming_bce,neural_best_validation_ap,neural_best_validation_query_ap,dtiam_member_pool,dtiam_base_train_rows,dtiam_internal_holdout_rows,dtiam_fit_seconds,dtiam_inner_union_exactly_matches_neural_training
kdki_inactive,20260921,CONVERGED_VALIDATION_PLATEAU,1235990,26000,14000,78,128.8921222668141,0.001698357279827178,0.9665339932336595,0.7114750985536051,337570,334194,3376,10784.285839299671,True
kdki_inactive,20260922,CONVERGED_VALIDATION_PLATEAU,1235990,16000,4000,48,79.52886926662177,0.003992185709837941,0.9619270379734537,0.7000014422597292,337570,334194,3376,8954.667263087817,True
kdki_inactive,20260923,CONVERGED_VALIDATION_PLATEAU,1235990,29000,17000,87,144.8991876039654,0.0008125149136385516,0.9641689125336279,0.7021161733443959,337570,334194,3376,9413.56122116372,True
all_inactive,20260921,CONVERGED_VALIDATION_PLATEAU,1236376,34896,8724,32,168.02399571053684,0.009115065105732553,0.9350956303380317,0.665287234128658,1116270,1105107,11163,40714.13901600707,True
all_inactive,20260922,CONVERGED_VALIDATION_PLATEAU,1236376,34896,8724,32,162.57170726824552,0.00934461813754411,0.9401469461774246,0.6774727097464542,1116270,1105107,11163,44788.27796176821,True
all_inactive,20260923,CONVERGED_VALIDATION_PLATEAU,1236376,30534,4362,28,145.6496863476932,0.013504029805902247,0.9494741518234118,0.6665435809501489,1116270,1105107,11163,50033.331942731515,True
