standard_inchi_key,chembl_id,first_approval,max_phase
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL12,1963.0,4
ACRHBAYQBXXRTO-OAQYLSRUSA-N,CHEMBL471737,2005.0,4
ACWBQPMHZXGDFX-QFIPXVFZSA-N,CHEMBL1069,1996.0,4
ACWZRVQXLIRSDF-UHFFFAOYSA-N,CHEMBL3187723,2018.0,4
ADEBPBSSDYVVLD-UHFFFAOYSA-N,CHEMBL502,1996.0,4
AEXFXNFMSAAELR-RXVVDRJESA-N,CHEMBL3900409,,3
AFLFKFHDSCQHOL-IZZDOVSWSA-N,CHEMBL3707395,2024.0,4
AHJRHEGDXFFMBM-UHFFFAOYSA-N,CHEMBL189963,2015.0,4
AHOUBRCZNHFOSL-YOEHRIQHSA-N,CHEMBL490,1992.0,4
AHYMHWXQRWRBKT-UHFFFAOYSA-N,CHEMBL3402762,2021.0,4
AILRADAXUVEEIR-UHFFFAOYSA-N,CHEMBL3545311,2017.0,4
AJIPIJNNOJSSQC-NYLIRDPKSA-N,CHEMBL1230314,2021.0,4
ALWKGYPQUAPLQC-UHFFFAOYSA-N,CHEMBL278020,2013.0,4
AOMXMOCNKJTRQP-UHFFFAOYSA-N,CHEMBL1800159,,4
AQHHHDLHHXJYJD-UHFFFAOYSA-N,CHEMBL27,1967.0,4
AQNDDEOPVVGCPG-UHFFFAOYSA-N,CHEMBL768,1986.0,4
AQOKCDNYWBIDND-FTOWTWDKSA-N,CHEMBL1200963,2001.0,4
ASMXXROZKSBQIH-VITNCHFBSA-N,CHEMBL1194325,2012.0,4
ASOADIZOVZTJSR-UHFFFAOYSA-N,CHEMBL1089318,2016.0,4
ASUTZQLVASHGKV-JDFRZJQESA-N,CHEMBL659,2001.0,4
ATALOFNDEOCMKK-OITMNORJSA-N,CHEMBL1471,2003.0,4
AURFZBICLPNKBZ-SYBPFIFISA-N,CHEMBL207538,2019.0,4
AVAACINZEOAHHE-VFZPANTDSA-N,CHEMBL491571,2007.0,4
AXOIZCJOOAYSMI-UHFFFAOYSA-N,CHEMBL703,1952.0,4
AXQACEQYCPKDMV-RZAWKFBISA-N,CHEMBL2105755,2017.0,4
AYXYPKUFHZROOJ-ZETCQYMHSA-N,CHEMBL1059,2004.0,4
AZSRSNUQCUDCGG-UHFFFAOYSA-N,CHEMBL4650319,2021.0,4
BALLNEJQLSTPIO-UHFFFAOYSA-N,CHEMBL4303214,2023.0,4
BARDROPHSZEBKC-OITMNORJSA-N,CHEMBL1199324,2008.0,4
BBAWEDCPNXPBQM-GDEBMMAJSA-N,CHEMBL231813,2011.0,4
BCEHBSKCWLPMDN-MGPLVRAMSA-N,CHEMBL638,2002.0,4
BCFGMOOMADDAQU-UHFFFAOYSA-N,CHEMBL554,2007.0,4
BFDBKMOZYNOTPK-UHFFFAOYSA-N,CHEMBL2079130,2022.0,4
BFPYWIDHMRZLRN-SLHNCBLASA-N,CHEMBL691,1982.0,4
BFSMGDJOXZAERB-UHFFFAOYSA-N,CHEMBL2028663,2013.0,4
