task,sources,task_rows
ACTIVITY_EC50,BindingDB_202609,27574
ACTIVITY_EC50,BindingDB_202609;ChEMBL37,33330
ACTIVITY_EC50,ChEMBL37,41917
ACTIVITY_IC50,BindingDB_202609,249863
ACTIVITY_IC50,BindingDB_202609;ChEMBL37,265325
ACTIVITY_IC50,ChEMBL37,206195
AFFINITY_KD_KI,BindingDB_202609,57686
AFFINITY_KD_KI,BindingDB_202609;ChEMBL37,95924
AFFINITY_KD_KI,ChEMBL37,133686
ANNOTATED_INACTIVITY,ChEMBL37,46603
