pair_id,ligand_inchikey,drug_names,target_chembl_id,gene_symbol,sequence_target_id,in_frozen384,in_frozen112,wetlab_pairs,A_train_pairs,A_train_positive,A_train_negative,A_explicit_inactive,B_train_pairs,B_train_positive,B_train_negative,B_explicit_inactive,排序,A药内排名_384,B药内排名_384
JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,JUZYLCPPVHEVSV-LJQANCHMSA-N,elvitegravir,CHEMBL2276,MAPK8,SEQ:e21eccad4aa906413ff8b7fcb1a5b107b313731e4054371ff21c72b73ba7ed6f,True,True,4,361,54,307,288,1522,898,624,288,80,102,163
AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL242,AURFZBICLPNKBZ-SYBPFIFISA-N,brexanolone,CHEMBL242,ESR2,SEQ:7f3d679eff5a0b39202fe2696e4b76106c26dd5b3df9d615e208dbdf4bc35724,True,True,2,395,256,139,23,1808,1297,511,23,81,241,121
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243,MAEIEVLCKWDQJH-UHFFFAOYSA-N,bumetanide,CHEMBL2243,FAAH,SEQ:230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,True,True,10,207,194,13,1,1893,1369,524,1,82,99,198
MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808,MEZLKOACVSPNER-GFCCVEGCSA-N,selegiline,CHEMBL1808,ACE,SEQ:9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,True,True,7,92,46,46,16,229,109,120,16,83,146,254
XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850,XFYDIVBRZNQMJC-UHFFFAOYSA-N,tizanidine,CHEMBL2850,GSK3A,SEQ:67ced0ee45a5604018657739b01b5cc9768f680f2dd9cde0fd1b2564d2c7a677,True,True,5,322,32,290,267,1628,1122,506,267,84,93,147
VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,VGYFMXBACGZSIL-MCBHFWOFSA-N,pitavastatin,CHEMBL4393,MMP12,SEQ:d33636de0202233be8069eb472da2746f837b54b1ddb71cc15ccd39b47d43373,True,True,7,151,138,13,9,588,470,118,9,85,42,43
XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,XEDHVZKDSYZQBF-UHFFFAOYSA-N,lasmiditan,CHEMBL4898,NTRK2,SEQ:5700fd20b890228dc7e812e55ae9c8c398a6acd114445a1139ed0655f81a77ad,True,True,5,160,31,129,91,582,364,218,91,86,125,202
WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,WIGIZIANZCJQQY-RUCARUNLSA-N,glimepiride,CHEMBL3729,CA4,SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,True,True,10,1001,798,203,1,1030,827,203,1,87,189,41
ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,ATALOFNDEOCMKK-OITMNORJSA-N,aprepitant;fosaprepitant,CHEMBL402,HMGCR,SEQ:53ca26e9a4eeb6dc55931307bed794b7dde0c3f5bdbdfb91ea34506062a3e318,True,True,4,7,3,4,4,81,68,13,4,88,82,156
IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,IOOWNWLVCOUUEX-WPRPVWTQSA-N,vaborbactam,CHEMBL1944,MME,SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,True,True,10,318,300,18,8,462,423,39,8,89,26,92
BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,BUGYDGFZZOZRHP-UHFFFAOYSA-N,memantine,CHEMBL1994,NR3C2,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,True,True,10,130,114,16,2,584,496,88,2,90,22,10
ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,ZBMZVLHSJCTVON-UHFFFAOYSA-N,sotalol,CHEMBL1935,ALDH2,SEQ:c6dc987207be93233446f3947fccc4d81639830021577c917834d80f57fd44dd,True,True,2,39,3,36,35,152,78,74,35,91,180,86
