pair_id,ligand_inchikey,drug_names,target_chembl_id,gene_symbol,sequence_target_id,in_frozen384,in_frozen112,wetlab_pairs,A_train_pairs,A_train_positive,A_train_negative,A_explicit_inactive,B_train_pairs,B_train_positive,B_train_negative,B_explicit_inactive,排序,A药内排名_384,B药内排名_384
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL261,SGUAFYQXFOLMHL-UHFFFAOYSA-N,labetalol,CHEMBL261,CA1,SEQ:5862305c8302b2d7dd9de31f34102a1220d9099d9f6f7b961610ed4337934880,True,True,4,5041,3686,1355,2,5171,3738,1433,2,141,285,61
JOLJIIDDOBNFHW-UHFFFAOYSA-N__CHEMBL3729,JOLJIIDDOBNFHW-UHFFFAOYSA-N,xanomeline,CHEMBL3729,CA4,SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,True,True,10,1001,798,203,1,1030,827,203,1,142,26,70
WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL1944,WIGIZIANZCJQQY-RUCARUNLSA-N,glimepiride,CHEMBL1944,MME,SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,True,True,10,318,300,18,8,462,423,39,8,143,83,64
VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL1944,VGYFMXBACGZSIL-MCBHFWOFSA-N,pitavastatin,CHEMBL1944,MME,SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,True,True,10,318,300,18,8,462,423,39,8,144,48,3
ULXXDDBFHOBEHA-CWDCEQMOSA-N__CHEMBL286,ULXXDDBFHOBEHA-CWDCEQMOSA-N,afatinib,CHEMBL286,REN,SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,True,True,10,33,26,7,3,1004,918,86,3,145,381,57
TTWJBBZEZQICBI-UHFFFAOYSA-N__CHEMBL3729,TTWJBBZEZQICBI-UHFFFAOYSA-N,metoclopramide,CHEMBL3729,CA4,SEQ:62f5e1881b0efc28f2f60c2972f6226477c26b841e00762613f38246a2677974,True,True,10,1001,798,203,1,1030,827,203,1,146,20,54
RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL1808,RUOKEQAAGRXIBM-GFCCVEGCSA-N,rasagiline,CHEMBL1808,ACE,SEQ:9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,True,True,7,92,46,46,16,229,109,120,16,147,74,328
KSMAGQUYOIHWFS-UHFFFAOYSA-N__CHEMBL2850,KSMAGQUYOIHWFS-UHFFFAOYSA-N,lofexidine,CHEMBL2850,GSK3A,SEQ:67ced0ee45a5604018657739b01b5cc9768f680f2dd9cde0fd1b2564d2c7a677,True,True,5,322,32,290,267,1628,1122,506,267,148,136,187
GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL3045,GOTYRUGSSMKFNF-UHFFFAOYSA-N,lenalidomide,CHEMBL3045,PRKCB,SEQ:16ffa90895441e3c32abb8702ebfe89e4438f590980615be67ff8928f20bd1c9,True,True,6,401,191,210,208,607,351,256,208,149,129,227
VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,VCKUSRYTPJJLNI-UHFFFAOYSA-N,terazosin,CHEMBL4005,PIK3CA,SEQ:d3e28ff8f2168f2761be02fb067e5259b4e759814600f522127a8e2a8d383555,True,True,4,1259,1091,168,94,7701,6121,1580,94,150,91,227
LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL4393,LEBVLXFERQHONN-UHFFFAOYSA-N,bupivacaine,CHEMBL4393,MMP12,SEQ:d33636de0202233be8069eb472da2746f837b54b1ddb71cc15ccd39b47d43373,True,True,7,151,138,13,9,588,470,118,9,151,26,236
AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL286,AYXYPKUFHZROOJ-ZETCQYMHSA-N,pregabalin,CHEMBL286,REN,SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,True,True,10,33,26,7,3,1004,918,86,3,152,81,61
YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL4179,YIBOMRUWOWDFLG-ONEGZZNKSA-N,rilpivirine,CHEMBL4179,MAPK9,SEQ:91879df6c55d94de68c2f51e05a06f8a798076a5bca1b45a5ad1d3fefa3c065f,True,True,3,340,43,297,280,1258,762,496,280,153,84,212
INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2973,INJOMKTZOLKMBF-UHFFFAOYSA-N,guanfacine,CHEMBL2973,ROCK2,SEQ:2674aa9015e37da743be74d67bce80b3cb35df6161e9182af9b87d25cb645d52,True,True,2,586,288,298,271,4607,3944,663,271,154,136,162
NYNZQNWKBKUAII-KBXCAEBGSA-N__CHEMBL1902,NYNZQNWKBKUAII-KBXCAEBGSA-N,larotrectinib,CHEMBL1902,FKBP1A,SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,True,True,10,360,248,112,1,431,310,121,1,155,272,162
RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL4179,RHWKPHLQXYSBKR-BMIGLBTASA-N,dolutegravir,CHEMBL4179,MAPK9,SEQ:91879df6c55d94de68c2f51e05a06f8a798076a5bca1b45a5ad1d3fefa3c065f,True,True,3,340,43,297,280,1258,762,496,280,156,38,191
RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL286,RHXHGRAEPCAFML-UHFFFAOYSA-N,ribociclib,CHEMBL286,REN,SEQ:fcfb09a6bd3571f67e1a10ecdcd3005e00f3bd03a7e392bbe0ad742723ca029f,True,True,10,33,26,7,3,1004,918,86,3,157,222,14
PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1952,PYGWGZALEOIKDF-UHFFFAOYSA-N,etravirine,CHEMBL1952,TYMS,SEQ:d4978a79f2cd2a7fa529c8632ede803a9632661f71146ce517d787c3dc5aebdd,True,True,3,152,92,60,1,325,196,129,1,158,216,178
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1977,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,CHEMBL1977,VDR,SEQ:535363783c0c533c3a927c0ad3ef395e2a62e8f7b3fbe3ece2c45a98e2b59b25,True,True,2,38,1,37,33,332,116,216,33,159,205,263
URKOMYMAXPYINW-UHFFFAOYSA-N__CHEMBL4245,URKOMYMAXPYINW-UHFFFAOYSA-N,quetiapine,CHEMBL4245,ESRRG,SEQ:47f215840b7ee1171d9fe5b93552ff6be5333e0e7dd49eee0d8b106793ccbc2c,True,True,2,59,0,59,57,273,167,106,57,160,315,146
DQCKKXVULJGBQN-XFWGSAIBSA-N__CHEMBL3535,DQCKKXVULJGBQN-XFWGSAIBSA-N,naltrexone,CHEMBL3535,PDE9A,SEQ:bc510befd27fd42cb2f578bf430c05cecbde0e650ff593efb7c1af6450c7421c,True,True,9,70,55,15,3,775,638,137,3,161,195,306
ZBBHBTPTTSWHBA-UHFFFAOYSA-N__CHEMBL2243,ZBBHBTPTTSWHBA-UHFFFAOYSA-N,nicardipine,CHEMBL2243,FAAH,SEQ:230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,True,True,10,207,194,13,1,1893,1369,524,1,162,133,164
FPOHNWQLNRZRFC-ZHACJKMWSA-N__CHEMBL5366,FPOHNWQLNRZRFC-ZHACJKMWSA-N,panobinostat,CHEMBL5366,PARP2,SEQ:632f3cd643185c2ab1b1d79edf533faab80d97ad98dab3ec2b2e20ad3635b044,True,True,6,45,33,12,1,787,481,306,1,163,65,100
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL262,DYLUUSLLRIQKOE-UHFFFAOYSA-N,enasidenib,CHEMBL262,GSK3B,SEQ:2ca842f3e7a01314833c340d495dc171c89dca6271a7cf89edb90e6194b06fa3,True,True,4,484,156,328,287,4349,2021,2328,287,164,349,232
QQHMKNYGKVVGCZ-UHFFFAOYSA-N__CHEMBL1952,QQHMKNYGKVVGCZ-UHFFFAOYSA-N,tipiracil,CHEMBL1952,TYMS,SEQ:d4978a79f2cd2a7fa529c8632ede803a9632661f71146ce517d787c3dc5aebdd,True,True,3,152,92,60,1,325,196,129,1,165,47,179
NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,NBRBXGKOEOGLOI-UHFFFAOYSA-N,dasabuvir,CHEMBL1871,AR,SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,True,True,7,726,610,116,80,2081,1551,530,80,166,1,100
MVRHVFSOIWFBTE-INIZCTEOSA-N__CHEMBL3267,MVRHVFSOIWFBTE-INIZCTEOSA-N,elexacaftor,CHEMBL3267,PIK3CG,SEQ:8caecf83dffab0bac6b72623e6a7428c5a8cc791b0858bcc7f1f4bc67a8bed5b,True,True,1,467,286,181,91,4583,3692,891,91,167,327,191
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1808,SGUAFYQXFOLMHL-UHFFFAOYSA-N,labetalol,CHEMBL1808,ACE,SEQ:9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,True,True,7,92,46,46,16,229,109,120,16,168,331,303
DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL2148,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,CHEMBL2148,JAK3,SEQ:18a68eca96f64db10c5b38e1f1bf1b013e7dd5091fad780578010a93474da833,True,True,3,913,787,126,88,5467,4473,994,88,169,113,94
HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL3242,HTIQEAQVCYTUBX-UHFFFAOYSA-N,amlodipine,CHEMBL3242,CA12,SEQ:d89aa1703772ab0d843c4b6d2d4fdb768a09306cfd03519f41314fa57166024c,True,True,2,3871,3584,287,0,3922,3633,289,0,170,8,1
HMABYWSNWIZPAG-UHFFFAOYSA-N__CHEMBL3145,HMABYWSNWIZPAG-UHFFFAOYSA-N,rucaparib,CHEMBL3145,PIK3CB,SEQ:549e89f067b7e11976787b867a566923f91938b9234ea1766f9c05bae8d2f0b4,True,True,1,325,183,142,86,2182,1496,686,86,171,105,373
ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL325,ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,CHEMBL325,HDAC1,SEQ:7289cbc54521bc202bb99244e249eff3fd381af091772ac7e1cfdbd1b155c545,True,True,3,201,150,51,21,6756,4810,1946,21,172,128,357
NDAUXUAQIAJITI-UHFFFAOYSA-N__CHEMBL2252,NDAUXUAQIAJITI-UHFFFAOYSA-N,albuterol,CHEMBL2252,CTSC,SEQ:11218c4d9b56cea287841837e6126434a6d3e34733904e87928c45e26a9e6beb,True,True,8,1,0,1,0,298,267,31,0,173,109,14
OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL3234,OPXLLQIJSORQAM-UHFFFAOYSA-N,mebendazole,CHEMBL3234,HCK,SEQ:bd65d9ee0f06d8b5a3bd439e675adb40ddfe5d83aa100e62fd04f3da7a9520e3,True,True,2,303,29,274,263,533,211,322,263,174,317,256
LOUPRKONTZGTKE-LHHVKLHASA-N__CHEMBL5311,LOUPRKONTZGTKE-LHHVKLHASA-N,quinidine,CHEMBL5311,ACVRL1,SEQ:41225f390d79410ec5e7bfef7e5f05341e7142207310e2a3d53bb09826db1795,True,True,1,161,6,155,113,324,148,176,113,175,52,110
NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL284,NDCUAPJVLWFHHB-UHNVWZDZSA-N,avibactam,CHEMBL284,DPP4,SEQ:272729ea12e07654f922db22308673539882764491f0b55e31767ec1f714c328,True,True,3,456,387,69,28,3187,2483,704,28,176,35,3
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL5705,SGUAFYQXFOLMHL-UHFFFAOYSA-N,labetalol,CHEMBL5705,EGLN3,SEQ:9ed9d245a1ccec30c57b21996b7795d43966ae87dc4c5292f48fd56fb80def56,True,True,6,4,4,0,0,162,135,27,0,177,10,157
OPXLLQIJSORQAM-UHFFFAOYSA-N__CHEMBL4142,OPXLLQIJSORQAM-UHFFFAOYSA-N,mebendazole,CHEMBL4142,FGFR2,SEQ:c81b4e9e806e0ace9f779e65477e6c988dea6cad5eecfbcb35f2364c5fc884dd,True,True,2,165,35,130,106,3306,2779,527,106,178,293,168
GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL2326,GNXFOGHNGIVQEH-UHFFFAOYSA-N,methocarbamol,CHEMBL2326,CA7,SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,True,True,10,1158,1068,90,0,1159,1068,91,0,179,1,4
SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL2276,SOLUWJRYJLAZCX-LYOVBCGYSA-N,bictegravir,CHEMBL2276,MAPK8,SEQ:e21eccad4aa906413ff8b7fcb1a5b107b313731e4054371ff21c72b73ba7ed6f,True,True,4,361,54,307,288,1522,898,624,288,180,1,111
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007,SFNSLLSYNZWZQG-VQIMIIECSA-N,glasdegib,CHEMBL2007,PDGFRA,SEQ:96a4d83a02900a0cba9954d64106f1a532b0209e0d2b86d205a98bd847335682,True,True,3,269,140,129,100,902,606,296,100,181,79,51
VSWBSWWIRNCQIJ-HUUCEWRRSA-N__CHEMBL2039,VSWBSWWIRNCQIJ-HUUCEWRRSA-N,asenapine,CHEMBL2039,MAOB,SEQ:5c619dcb6235f38247072eacd7fa6ad3aa7e69d3d4f661ebfdc4251e2b2752b4,True,True,7,406,203,203,31,4096,2083,2013,31,182,301,166
ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL202,ACWZRVQXLIRSDF-UHFFFAOYSA-N,binimetinib,CHEMBL202,DHFR,SEQ:f01679b357e85183133b6e765b5bbb10fb34aac343f1185d3cae27b684632907,True,True,7,184,136,48,0,825,515,310,0,183,141,116
YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL262,YQEZLKZALYSWHR-ZDUSSCGKSA-N,esketamine,CHEMBL262,GSK3B,SEQ:2ca842f3e7a01314833c340d495dc171c89dca6271a7cf89edb90e6194b06fa3,True,True,4,484,156,328,287,4349,2021,2328,287,184,106,324
NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL4282,NQDJXKOVJZTUJA-UHFFFAOYSA-N,nevirapine,CHEMBL4282,AKT1,SEQ:51db38ca000f0471707445dbc6e933598ffa1311b809a8da10aaf05174e5182d,True,True,2,419,77,342,292,2869,2141,728,292,185,223,274
NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL4247,NBRBXGKOEOGLOI-UHFFFAOYSA-N,dasabuvir,CHEMBL4247,ALK,SEQ:74716bef5c87821e4b00db1043b6b1f1b4e661f13f1fc7dc3e9b3ceb33ba71d9,True,True,2,273,115,158,129,1832,1475,357,129,186,125,46
ZIAOVIPSKUPPQW-UHFFFAOYSA-N__CHEMBL2034,ZIAOVIPSKUPPQW-UHFFFAOYSA-N,doravirine,CHEMBL2034,NR3C1,SEQ:c1fd6a3590b53159505eb6b17dec8d5d5f5e8fbe40b0c075bea4b0b518dcca11,True,True,4,714,642,72,49,2323,2084,239,49,187,31,142
AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1868,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,CHEMBL1868,FLT1,SEQ:cabcd0382ed2f6481aa338d4235c57b559cc4d1a254f9c9aae6c341230ecaa90,True,True,2,274,143,131,103,1153,753,400,103,188,332,35
MNDBXUUTURYVHR-UHFFFAOYSA-N__CHEMBL220,MNDBXUUTURYVHR-UHFFFAOYSA-N,roflumilast,CHEMBL220,ACHE,SEQ:b5e7ca71ef5af9ce9e3ffc10eebc77b2bb95d592400670484ee596f06be68e78,True,True,5,701,381,320,92,4305,2396,1909,92,189,275,106
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2243,SFNSLLSYNZWZQG-VQIMIIECSA-N,glasdegib,CHEMBL2243,FAAH,SEQ:230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,True,True,10,207,194,13,1,1893,1369,524,1,190,220,171
WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1902,WGFOBBZOWHGYQH-MXHNKVEKSA-N,lubiprostone,CHEMBL1902,FKBP1A,SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,True,True,10,360,248,112,1,431,310,121,1,191,65,80
IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1902,IOOWNWLVCOUUEX-WPRPVWTQSA-N,vaborbactam,CHEMBL1902,FKBP1A,SEQ:7c2c9a4005a08f9f8ed2ce2e3b7d9432dd39547abafef80ffab6adbb89753b2c,True,True,10,360,248,112,1,431,310,121,1,192,171,69
DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL3922,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,CHEMBL3922,METAP2,SEQ:9fe72522f21ef73d3cb27a82fb3d198f1c871bca25715a5049ce11c8653f9956,True,True,1,127,100,27,24,766,632,134,24,193,210,233
PBAPPPCECJKMCM-IBGZPJMESA-N__CHEMBL1944,PBAPPPCECJKMCM-IBGZPJMESA-N,mirabegron,CHEMBL1944,MME,SEQ:1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f,True,True,10,318,300,18,8,462,423,39,8,194,145,38
PNCPYILNMDWPEY-QGZVFWFLSA-N__CHEMBL1844,PNCPYILNMDWPEY-QGZVFWFLSA-N,silodosin,CHEMBL1844,CSF1R,SEQ:52b1cbc0ca3474810cb7949467e3a5a2851350643eb734f1c33aaca65b4a6fe4,True,True,3,173,57,116,91,2284,2091,193,91,195,32,4
XJGVXQDUIWGIRW-UHFFFAOYSA-N__CHEMBL5608,XJGVXQDUIWGIRW-UHFFFAOYSA-N,loxapine,CHEMBL5608,NTRK3,SEQ:3394a44c77135f9edf6d1f3be38c64fdbf7e38bad6cdbf742241f2c25025b7c1,True,True,5,142,19,123,87,494,311,183,87,196,153,64
MSYKRHVOOPPJKU-BDAKNGLRSA-N__CHEMBL3535,MSYKRHVOOPPJKU-BDAKNGLRSA-N,brivaracetam,CHEMBL3535,PDE9A,SEQ:bc510befd27fd42cb2f578bf430c05cecbde0e650ff593efb7c1af6450c7421c,True,True,9,70,55,15,3,775,638,137,3,197,75,132
HPHUVLMMVZITSG-LURJTMIESA-N__CHEMBL3535,HPHUVLMMVZITSG-LURJTMIESA-N,levetiracetam,CHEMBL3535,PDE9A,SEQ:bc510befd27fd42cb2f578bf430c05cecbde0e650ff593efb7c1af6450c7421c,True,True,9,70,55,15,3,775,638,137,3,198,31,45
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL258,DYLUUSLLRIQKOE-UHFFFAOYSA-N,enasidenib,CHEMBL258,LCK,SEQ:01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,True,True,4,377,96,281,259,1899,1086,813,259,199,165,214
SJVQHLPISAIATJ-ZDUSSCGKSA-N__CHEMBL5366,SJVQHLPISAIATJ-ZDUSSCGKSA-N,duvelisib,CHEMBL5366,PARP2,SEQ:632f3cd643185c2ab1b1d79edf533faab80d97ad98dab3ec2b2e20ad3635b044,True,True,6,45,33,12,1,787,481,306,1,200,66,52
VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL2008,VWVSBHGCDBMOOT-IIEHVVJPSA-N,desoximetasone,CHEMBL2008,RARB,SEQ:73c83ae388f8feb7c4dc79ffcbcd63aebac2d46b63bf76339a088ecdf3e67bc5,True,True,2,87,71,16,9,210,175,35,9,201,241,154
QOIGKGMMAGJZNZ-UHFFFAOYSA-N__CHEMBL262,QOIGKGMMAGJZNZ-UHFFFAOYSA-N,gepirone,CHEMBL262,GSK3B,SEQ:2ca842f3e7a01314833c340d495dc171c89dca6271a7cf89edb90e6194b06fa3,True,True,4,484,156,328,287,4349,2021,2328,287,202,28,357
ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL206,ZISJNXNHJRQYJO-CMDGGOBGSA-N,tapinarof,CHEMBL206,ESR1,SEQ:59afaf3c8774c9cec06a003e9fa0d1fb1da47637c45ea570236e0ca79b5a0a44,True,True,3,519,351,168,57,3275,2499,776,57,203,172,126
YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1868,YALNUENQHAQXEA-UHFFFAOYSA-N,givinostat,CHEMBL1868,FLT1,SEQ:cabcd0382ed2f6481aa338d4235c57b559cc4d1a254f9c9aae6c341230ecaa90,True,True,2,274,143,131,103,1153,753,400,103,204,319,95
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2971,XRVDGNKRPOAQTN-FQEVSTJZSA-N,ozanimod,CHEMBL2971,JAK2,SEQ:21017319c2c8714bf0b97157e13f2184664d2d13b899b37276195af86ca0720a,True,True,3,2554,2302,252,142,10094,9220,874,142,205,170,235
XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL2326,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,ranolazine,CHEMBL2326,CA7,SEQ:e4a9ea745635c950475641c84676edde20d12f8fc62fb2c5df55eabe66448254,True,True,10,1158,1068,90,0,1159,1068,91,0,206,29,145
YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2276,YIBOMRUWOWDFLG-ONEGZZNKSA-N,rilpivirine,CHEMBL2276,MAPK8,SEQ:e21eccad4aa906413ff8b7fcb1a5b107b313731e4054371ff21c72b73ba7ed6f,True,True,4,361,54,307,288,1522,898,624,288,207,67,234
NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL2034,NBRBXGKOEOGLOI-UHFFFAOYSA-N,dasabuvir,CHEMBL2034,NR3C1,SEQ:c1fd6a3590b53159505eb6b17dec8d5d5f5e8fbe40b0c075bea4b0b518dcca11,True,True,4,714,642,72,49,2323,2084,239,49,208,10,124
NDDAHWYSQHTHNT-UHFFFAOYSA-N__CHEMBL1808,NDDAHWYSQHTHNT-UHFFFAOYSA-N,indapamide,CHEMBL1808,ACE,SEQ:9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,True,True,7,92,46,46,16,229,109,120,16,209,157,70
DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL2973,DJXRIQMCROIRCZ-XOEOCAAJSA-N,vibegron,CHEMBL2973,ROCK2,SEQ:2674aa9015e37da743be74d67bce80b3cb35df6161e9182af9b87d25cb645d52,True,True,2,586,288,298,271,4607,3944,663,271,210,181,8
WJBLNOPPDWQMCH-MBPVOVBZSA-N__CHEMBL1977,WJBLNOPPDWQMCH-MBPVOVBZSA-N,nalmefene,CHEMBL1977,VDR,SEQ:535363783c0c533c3a927c0ad3ef395e2a62e8f7b3fbe3ece2c45a98e2b59b25,True,True,2,38,1,37,33,332,116,216,33,211,269,204
DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL1862,DEVSOMFAQLZNKR-RJRFIUFISA-N,selinexor,CHEMBL1862,ABL1,SEQ:bf5ccc817349256c1c2f16dd66d61bfcd29ac4897fdead01d85e01cd84e33670,True,True,1,780,496,284,257,2470,1796,674,257,212,85,53
BPRHUIZQVSMCRT-VEUZHWNKSA-N__CHEMBL1994,BPRHUIZQVSMCRT-VEUZHWNKSA-N,rosuvastatin,CHEMBL1994,NR3C2,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,True,True,10,130,114,16,2,584,496,88,2,213,10,219
PTOIAAWZLUQTIO-GXFFZTMASA-N__CHEMBL2034,PTOIAAWZLUQTIO-GXFFZTMASA-N,tasimelteon,CHEMBL2034,NR3C1,SEQ:c1fd6a3590b53159505eb6b17dec8d5d5f5e8fbe40b0c075bea4b0b518dcca11,True,True,4,714,642,72,49,2323,2084,239,49,214,47,176
FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL2527,FNKQXYHWGSIFBK-RPDRRWSUSA-N,sapropterin,CHEMBL2527,CHEK2,SEQ:e81f5dcd44302c3c277b4599449c71b5f2a7b3eb761bc2c584db236d9fbb8632,True,True,1,141,6,135,98,474,246,228,98,215,181,179
WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1994,WGFOBBZOWHGYQH-MXHNKVEKSA-N,lubiprostone,CHEMBL1994,NR3C2,SEQ:cc3ab1bd86da746c869394db023aa68c2e557d769f04f80ee36b584a8929621c,True,True,10,130,114,16,2,584,496,88,2,216,3,286
JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL5608,JQSHBVHOMNKWFT-DTORHVGOSA-N,varenicline,CHEMBL5608,NTRK3,SEQ:3394a44c77135f9edf6d1f3be38c64fdbf7e38bad6cdbf742241f2c25025b7c1,True,True,5,142,19,123,87,494,311,183,87,217,317,209
LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL1871,LOMMPXLFBTZENJ-ZACQAIPSSA-N,belzutifan,CHEMBL1871,AR,SEQ:043f80df5b673d9048e118735cb0230b0baaa23f788c3bae0010f9995412d852,True,True,7,726,610,116,80,2081,1551,530,80,218,3,48
SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL5366,SOLUWJRYJLAZCX-LYOVBCGYSA-N,bictegravir,CHEMBL5366,PARP2,SEQ:632f3cd643185c2ab1b1d79edf533faab80d97ad98dab3ec2b2e20ad3635b044,True,True,6,45,33,12,1,787,481,306,1,219,199,201
DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL235,DKYWVDODHFEZIM-UHFFFAOYSA-N,ketoprofen,CHEMBL235,PPARG,SEQ:1a9d5667abcfbe96d50f29121e815eef32ae5fbfb3de52728d9a2de30d764b20,True,True,4,412,210,202,151,2927,1936,991,151,220,180,186
GPXBXXGIAQBQNI-UHFFFAOYSA-N__CHEMBL4005,GPXBXXGIAQBQNI-UHFFFAOYSA-N,vemurafenib,CHEMBL4005,PIK3CA,SEQ:d3e28ff8f2168f2761be02fb067e5259b4e759814600f522127a8e2a8d383555,True,True,4,1259,1091,168,94,7701,6121,1580,94,221,379,174
XZWYZXLIPXDOLR-UHFFFAOYSA-N__CHEMBL1974,XZWYZXLIPXDOLR-UHFFFAOYSA-N,metformin,CHEMBL1974,FLT3,SEQ:68d60cea30219da8cef67dbcc1b81dcdebc8456663f7f54b6fb8cc6666a7b416,True,True,5,485,242,243,229,3064,2102,962,229,222,330,121
STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL4393,STUWGJZDJHPWGZ-LBPRGKRZSA-N,alpelisib,CHEMBL4393,MMP12,SEQ:d33636de0202233be8069eb472da2746f837b54b1ddb71cc15ccd39b47d43373,True,True,7,151,138,13,9,588,470,118,9,223,66,275
UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL1937,UVSMNLNDYGZFPF-UHFFFAOYSA-N,pomalidomide,CHEMBL1937,HDAC2,SEQ:955979c609c58538ca00aee39b91bfe3f7988d4c5d7ac63d68ced1c874449011,True,True,3,145,121,24,8,2161,1599,562,8,224,121,20
BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL325,BFSMGDJOXZAERB-UHFFFAOYSA-N,dabrafenib,CHEMBL325,HDAC1,SEQ:7289cbc54521bc202bb99244e249eff3fd381af091772ac7e1cfdbd1b155c545,True,True,3,201,150,51,21,6756,4810,1946,21,225,357,379
