scope,direction,model,baseline,metric,queries,delta,ci95_low,ci95_high,ci_status
all_kdki,drug_to_target,A,old_neural,ap,54,0.0757770609494418,0.012408257337581576,0.1374621643367971,POSTHOC_QUERY_BOOTSTRAP
all_kdki,drug_to_target,A,old_neural,precision_at_5,54,0.07037037037037036,-0.011111111111111117,0.15314814814814806,POSTHOC_QUERY_BOOTSTRAP
all_kdki,drug_to_target,A,A_target_prior,ap,54,0.11899897776502256,0.06273288868808533,0.17247905417777967,POSTHOC_QUERY_BOOTSTRAP
all_kdki,drug_to_target,B,old_neural,ap,54,0.06017602394510178,0.00789643589878449,0.1087028633431399,POSTHOC_QUERY_BOOTSTRAP
all_kdki,drug_to_target,B,old_neural,precision_at_5,54,0.044444444444444446,-0.030956790123456805,0.1259259259259259,POSTHOC_QUERY_BOOTSTRAP
all_kdki,drug_to_target,B,B_target_prior,ap,54,0.12065762239131297,0.08019103177855168,0.16434816896824497,POSTHOC_QUERY_BOOTSTRAP
all_kdki,target_to_drug,A,old_neural,ap,516,-0.12630581315574615,-0.1568197713599013,-0.09802131437373224,POSTHOC_QUERY_BOOTSTRAP
all_kdki,target_to_drug,A,old_neural,precision_at_5,516,-0.028552971576227406,-0.047419250645994844,-0.009945090439276499,POSTHOC_QUERY_BOOTSTRAP
all_kdki,target_to_drug,A,A_target_prior,ap,516,0.2007916537923823,0.1864030015593964,0.21697272096928918,POSTHOC_QUERY_BOOTSTRAP
all_kdki,target_to_drug,B,old_neural,ap,516,-0.14746040254841755,-0.18044298301471723,-0.1170770398542613,POSTHOC_QUERY_BOOTSTRAP
all_kdki,target_to_drug,B,old_neural,precision_at_5,516,-0.052325581395348854,-0.07390180878552971,-0.03177971576227392,POSTHOC_QUERY_BOOTSTRAP
all_kdki,target_to_drug,B,B_target_prior,ap,516,0.17963706439971092,0.16434114499395358,0.1952899539197626,POSTHOC_QUERY_BOOTSTRAP
catalog384_targets_old_pair_unseen,drug_to_target,A,old_neural,ap,5,-0.1702376005233908,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog384_targets_old_pair_unseen,drug_to_target,A,old_neural,precision_at_5,5,0.026666666666666655,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog384_targets_old_pair_unseen,drug_to_target,A,A_target_prior,ap,5,0.28344038982485553,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog384_targets_old_pair_unseen,drug_to_target,B,old_neural,ap,5,-0.15950161429112047,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog384_targets_old_pair_unseen,drug_to_target,B,old_neural,precision_at_5,5,-0.039999999999999994,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog384_targets_old_pair_unseen,drug_to_target,B,B_target_prior,ap,5,0.22244294116277138,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog384_targets_old_pair_unseen,target_to_drug,A,old_neural,ap,65,0.07901628403390261,0.03233635122159784,0.13053731307247948,POSTHOC_QUERY_BOOTSTRAP
catalog384_targets_old_pair_unseen,target_to_drug,A,old_neural,precision_at_5,65,0.0646153846153846,0.015384615384615382,0.11794871794871792,POSTHOC_QUERY_BOOTSTRAP
catalog384_targets_old_pair_unseen,target_to_drug,A,A_target_prior,ap,65,0.2956865711852282,0.2472181389669415,0.3485832557781914,POSTHOC_QUERY_BOOTSTRAP
catalog384_targets_old_pair_unseen,target_to_drug,B,old_neural,ap,65,0.060402252814777235,0.025549476807738957,0.09911045990494195,POSTHOC_QUERY_BOOTSTRAP
catalog384_targets_old_pair_unseen,target_to_drug,B,old_neural,precision_at_5,65,0.05846153846153845,0.016410256410256396,0.10564102564102562,POSTHOC_QUERY_BOOTSTRAP
catalog384_targets_old_pair_unseen,target_to_drug,B,B_target_prior,ap,65,0.2770725399661029,0.2299874690857438,0.32509327184414133,POSTHOC_QUERY_BOOTSTRAP
catalog720_drugs_old_pair_unseen,drug_to_target,A,old_neural,ap,5,0.16817112962506858,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720_drugs_old_pair_unseen,drug_to_target,A,old_neural,precision_at_5,5,0.29333333333333333,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720_drugs_old_pair_unseen,drug_to_target,A,A_target_prior,ap,5,0.17156085318034206,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720_drugs_old_pair_unseen,drug_to_target,B,old_neural,ap,5,0.04308740103346702,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720_drugs_old_pair_unseen,drug_to_target,B,old_neural,precision_at_5,5,0.05333333333333332,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720_drugs_old_pair_unseen,drug_to_target,B,B_target_prior,ap,5,0.06381376867807846,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720x384_old_pair_unseen,drug_to_target,A,old_neural,ap,2,0.06740559169111598,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720x384_old_pair_unseen,drug_to_target,A,old_neural,precision_at_5,2,0.13333333333333333,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720x384_old_pair_unseen,drug_to_target,A,A_target_prior,ap,2,0.4605686265297908,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720x384_old_pair_unseen,drug_to_target,B,old_neural,ap,2,-0.059738884212649696,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720x384_old_pair_unseen,drug_to_target,B,old_neural,precision_at_5,2,-0.033333333333333326,,,TOO_FEW_QUERIES_NO_INTERVAL
catalog720x384_old_pair_unseen,drug_to_target,B,B_target_prior,ap,2,0.28887250442208,,,TOO_FEW_QUERIES_NO_INTERVAL
document_disjoint_old_pair_unseen,target_to_drug,A,old_neural,ap,1,1.1102230246251565e-16,,,TOO_FEW_QUERIES_NO_INTERVAL
document_disjoint_old_pair_unseen,target_to_drug,A,old_neural,precision_at_5,1,0.0,,,TOO_FEW_QUERIES_NO_INTERVAL
document_disjoint_old_pair_unseen,target_to_drug,A,A_target_prior,ap,1,0.09090909090909094,,,TOO_FEW_QUERIES_NO_INTERVAL
document_disjoint_old_pair_unseen,target_to_drug,B,old_neural,ap,1,0.0,,,TOO_FEW_QUERIES_NO_INTERVAL
document_disjoint_old_pair_unseen,target_to_drug,B,old_neural,precision_at_5,1,0.0,,,TOO_FEW_QUERIES_NO_INTERVAL
document_disjoint_old_pair_unseen,target_to_drug,B,B_target_prior,ap,1,0.09090909090909083,,,TOO_FEW_QUERIES_NO_INTERVAL
old_pair_unseen,drug_to_target,A,old_neural,ap,46,0.168551795676258,0.10833539269278207,0.22566887672744765,POSTHOC_QUERY_BOOTSTRAP
old_pair_unseen,drug_to_target,A,old_neural,precision_at_5,46,0.1985507246376812,0.127536231884058,0.26670289855072465,POSTHOC_QUERY_BOOTSTRAP
old_pair_unseen,drug_to_target,A,A_target_prior,ap,46,0.12789840812981174,0.06562168807856363,0.1866774906812614,POSTHOC_QUERY_BOOTSTRAP
old_pair_unseen,drug_to_target,B,old_neural,ap,46,0.1200470959945354,0.07096280733508772,0.17166401085890912,POSTHOC_QUERY_BOOTSTRAP
old_pair_unseen,drug_to_target,B,old_neural,precision_at_5,46,0.1405797101449275,0.07536231884057973,0.20434782608695654,POSTHOC_QUERY_BOOTSTRAP
old_pair_unseen,drug_to_target,B,B_target_prior,ap,46,0.09557431407587255,0.04909849076153085,0.13986997189675163,POSTHOC_QUERY_BOOTSTRAP
old_pair_unseen,target_to_drug,A,old_neural,ap,423,-0.09056824898421095,-0.1270026280341218,-0.057341572036106715,POSTHOC_QUERY_BOOTSTRAP
