target_chembl_id,gene_symbol,sequence_target_id,in_frozen112,wetlab_pairs,A_train_pairs,A_train_positive,A_train_negative,A_explicit_inactive,B_train_pairs,B_train_positive,B_train_negative,B_explicit_inactive
CHEMBL4478,CACNA1B,SEQ:455a3743ead4dc373fcf76bcaa0ba8a3cd517d97ac52e18988d560da6c3747c9,False,0,6,5,1,1,419,105,314,1
CHEMBL4481,NOS2,SEQ:045de6b23d69dba05552c9aae2f5507478a5c7eddd1a1641df8082b145478595,True,1,78,11,67,1,619,330,289,1
CHEMBL4482,PAK4,SEQ:261a58d7e60edfc0e5856fbe4a7731d73aecba5005d564fad9d5dafb5bfe869e,False,0,455,145,310,288,641,257,384,288
CHEMBL4501,RPS6KB1,SEQ:5108f141bd89daf8332040d559884335f4f156f72cf7a919dc97f8e0322cbda4,False,0,314,25,289,274,1256,897,359,274
CHEMBL4502,CDA,SEQ:6bac7f2ffc270dc95b451aae54c85ce01ab5e4f15f7ced5e397d76fe1501dea2,False,0,2,0,2,0,8,3,5,0
CHEMBL4506,SIRT1,SEQ:499d7bf59db33f2a877745045c7f1885e74a10e88dab5c10d5d7faddbbc8ab8f,False,0,16,1,15,2,527,97,430,2
CHEMBL4523510,CYP46A1,SEQ:ff4962a4e5c623868caea8a7527dd4bea19a76126d7cdbfa24fe1d4c75fc58a2,True,6,7,2,5,0,87,80,7,0
CHEMBL4523586,TRAF3IP2,SEQ:174342209ff7997c1d7b13c4caf0cec2736c7567b3e3f0ebc61838003007f3b8,False,0,0,0,0,0,0,0,0,0
CHEMBL4588,MMP8,SEQ:105be8ac4b61f7c2148c4b1815409b66f38ac0f3b2e42851f3f5da1e2b3d77ab,True,5,248,203,45,7,761,558,203,7
CHEMBL4601,PTK6,SEQ:72ae3fbfaabc73063f5b44342bc0fc94ddc2c535148ab9ca1dbcf91c673da3f4,False,0,304,19,285,276,468,155,313,276
CHEMBL4618,LTA4H,SEQ:419e4dc8adbe6e5c40c24c2479e48931f61150dfe7759907fb8e3a6144e21e98,False,0,12,7,5,0,779,683,96,0
CHEMBL4625,BCL2L1,SEQ:7ff04ddccf949e11263e780f4fb3492ae973c50c851a4df836fb5d6e323a318a,False,0,624,409,215,2,1234,790,444,2
CHEMBL4630,CHEK1,SEQ:a43bba725114d4c16c5b3b5bef27c7b952c8f9b6cb244e89980991f6337bf1e6,False,0,502,168,334,284,2168,1600,568,284
CHEMBL4665582,POLR3A,SEQ:39cab1db4ac394157a582eb025b06086ce3ec5b96fe16205e2d1d91b08a6482d,False,0,0,0,0,0,0,0,0,0
CHEMBL4685,IDO1,SEQ:553ddef377b84167048c087d19725632b8355f16ce8d6c8e47cdea8591dbc6cf,False,0,161,76,85,40,2904,2052,852,40
CHEMBL4703,PPP2CA,SEQ:369ec29171b6cdc692766d64e716681db8e6f2bb3004c12acc5f79c99bc484a1,False,0,0,0,0,0,4,3,1,0
CHEMBL4722,AURKA,SEQ:7192d652f813d4d86f957b1edb7729c8adb429515fb591d7f4c6937a9d54dec2,False,0,497,184,313,279,2643,1866,777,279
CHEMBL4770,KCNJ8,SEQ:f62bb087ea9a01852d3f792583b5a06baf0f905c43ca0e011e4fd124bc63ab37,False,0,0,0,0,0,0,0,0,0
CHEMBL4791,ECE1,SEQ:e3eb0529ac8c161622b5b757f7a6500333d7b1781b474e1e4b71785d579f4a31,True,1,23,17,6,4,104,74,30,4
CHEMBL4794,TRPV1,SEQ:ed2277a5b7e4e7c44a5a8b9cb05f59452041ffcfcca4654de1a91e4705570cda,False,0,789,740,49,43,2889,2363,526,43
CHEMBL4801,CASP1,SEQ:beec7f48b884ff00dab1aa4e52663858ce7c00a8499385c4008b88cd8c058176,False,0,79,60,19,7,382,224,158,7
CHEMBL4816,AKT3,SEQ:7807e896342f7584ad6033dfdf0a6b0076732db9c708df5d0544de83fdf47511,True,1,310,9,301,279,543,161,382,279
CHEMBL4822,BACE1,SEQ:4bc37e873a119418b1c915dcfcbc6cc483e3c641a511a9203a50ff1614c7b6b1,False,0,893,824,69,13,5318,4441,877,13
CHEMBL4860,BCL2,SEQ:fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,False,0,1077,863,214,32,2186,1850,336,32
CHEMBL4895,AXL,SEQ:0e1b606ba4a2733bcc0bfda24d9072606dc3876638804d08520b6d5c668ea019,True,1,487,367,120,91,3048,2713,335,91
CHEMBL4898,NTRK2,SEQ:5700fd20b890228dc7e812e55ae9c8c398a6acd114445a1139ed0655f81a77ad,True,5,160,31,129,91,582,364,218,91
