ligand_inchikey,target_chembl_id,is_chembl37_mechanism_relationship,chembl37_mechanism_match_tiers,chembl37_mechanism_molecule_ids,chembl37_action_types,chembl37_mechanism_of_action,chembl37_direct_interaction_any
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL1844,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201733,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,True
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL1936,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201733,INHIBITOR,Stem cell growth factor receptor inhibitor,True
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL258,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201733,INHIBITOR,Tyrosine-protein kinase LCK inhibitor,True
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL2742,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201733,INHIBITOR,Fibroblast growth factor receptor 3 inhibitor,True
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL2959,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201733,INHIBITOR,Tyrosine-protein kinase ITK/TSK inhibitor,True
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL3650,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201733,INHIBITOR,Fibroblast growth factor receptor 1 inhibitor,True
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL1844,True,EXACT_MODEL_SPECIES,CHEMBL576982,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,True
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL1936,True,EXACT_MODEL_SPECIES,CHEMBL576982,INHIBITOR,Stem cell growth factor receptor inhibitor,True
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL1974,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105709;CHEMBL576982,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,True
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL2041,True,EXACT_MODEL_SPECIES,CHEMBL576982,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor,True
CYOHGALHFOKKQC-UHFFFAOYSA-N,CHEMBL2964,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105684,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,True
CYOHGALHFOKKQC-UHFFFAOYSA-N,CHEMBL3587,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105684,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,True
CZGVOBIGEBDYTP-VSGBNLITSA-N,CHEMBL2778,True,EXACT_MODEL_SPECIES,CHEMBL2387408,INHIBITOR,Ileal bile acid transporter inhibitor,True
DBABZHXKTCFAPX-UHFFFAOYSA-N,CHEMBL1641347,True,EXACT_MODEL_SPECIES,CHEMBL897,INHIBITOR,Solute carrier family 22 member 6 inhibitor,True
DBABZHXKTCFAPX-UHFFFAOYSA-N,CHEMBL1641348,True,EXACT_MODEL_SPECIES,CHEMBL897,INHIBITOR,Solute carrier family 22 member 8 inhibitor,True
DBEPLOCGEIEOCV-WSBQPABSSA-N,CHEMBL1856,True,EXACT_MODEL_SPECIES,CHEMBL710,INHIBITOR,Steroid 5-alpha-reductase 2 inhibitor,True
DHHVAGZRUROJKS-UHFFFAOYSA-N,CHEMBL222,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200912;CHEMBL1574,RELEASING AGENT,Norepinephrine transporter releasing agent,True
DHSUYTOATWAVLW-WFVMDLQDSA-N,CHEMBL1989,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201057;CHEMBL766,INHIBITOR,Renal dipeptidase inhibitor,True
