ligand_inchikey,target_chembl_id,is_chembl37_mechanism_relationship,chembl37_mechanism_match_tiers,chembl37_mechanism_molecule_ids,chembl37_action_types,chembl37_mechanism_of_action,chembl37_direct_interaction_any
HKXBNHCUPKIYDM-CGMHZMFXSA-N,CHEMBL1977,True,EXACT_MODEL_SPECIES,CHEMBL1200810,AGONIST,Vitamin D receptor agonist,True
HOIIHACBCFLJET-SFTDATJTSA-N,CHEMBL228,True,EXACT_MODEL_SPECIES,CHEMBL3306803,INHIBITOR,Serotonin transporter inhibitor,True
HPHUVLMMVZITSG-LURJTMIESA-N,CHEMBL1998,True,EXACT_MODEL_SPECIES,CHEMBL1286,MODULATOR,Synaptic vesicle glycoprotein 2A modulator,True
HPHUVLMMVZITSG-LURJTMIESA-N,CHEMBL4478,True,EXACT_MODEL_SPECIES,CHEMBL1286,BLOCKER,Voltage-gated N-type calcium channel alpha-1B subunit blocker,True
HPJKCIUCZWXJDR-UHFFFAOYSA-N,CHEMBL1978,True,EXACT_MODEL_SPECIES,CHEMBL1444,INHIBITOR,Cytochrome P450 19A1 inhibitor,True
HUNGUWOZPQBXGX-UHFFFAOYSA-N,CHEMBL267,True,EXACT_MODEL_SPECIES,CHEMBL571546,INHIBITOR,Tyrosine-protein kinase SRC inhibitor,True
HWGQMRYQVZSGDQ-HZPDHXFCSA-N,CHEMBL3105,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3137318;CHEMBL3137320,INHIBITOR,Poly [ADP-ribose] polymerase-1 inhibitor,True
HWGQMRYQVZSGDQ-HZPDHXFCSA-N,CHEMBL5366,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3137318;CHEMBL3137320,INHIBITOR,Poly [ADP-ribose] polymerase 2 inhibitor,True
HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL1974,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2035187;CHEMBL5095049,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,True
HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL2971,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2035187;CHEMBL5095049,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor,True
HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL3357,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL5095049,INHIBITOR,Interleukin-1 receptor-associated kinase 1 inhibitor,True
HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL5903,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL5095049,INHIBITOR,Activin receptor type-1 inhibitor,True
HYAFETHFCAUJAY-UHFFFAOYSA-N,CHEMBL235,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1715,AGONIST,Peroxisome proliferator-activated receptor gamma agonist,True
HYHMLYSLQUKXKP-UHFFFAOYSA-N,CHEMBL3720,True,EXACT_MODEL_SPECIES,CHEMBL3545313,INHIBITOR,ATP-citrate synthase inhibitor,True
IAVUPMFITXYVAF-XPUUQOCRSA-N,CHEMBL205,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201162,INHIBITOR,Carbonic anhydrase II inhibitor,True
IFSDAJWBUCMOAH-HNNXBMFYSA-N,CHEMBL3130,True,EXACT_MODEL_SPECIES,CHEMBL2216870,INHIBITOR,PI3-kinase p110-delta subunit inhibitor,True
IIXWYSCJSQVBQM-LLVKDONJSA-N,CHEMBL4247,True,EXACT_MODEL_SPECIES,CHEMBL3286830,INHIBITOR,ALK tyrosine kinase receptor inhibitor,True
IPOKCKJONYRRHP-FMQUCBEESA-N,CHEMBL215,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200760;CHEMBL1201013;CHEMBL704,INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,True
IPOKCKJONYRRHP-FMQUCBEESA-N,CHEMBL235,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200760;CHEMBL1201013;CHEMBL704,AGONIST,Peroxisome proliferator-activated receptor gamma agonist,True
IPVQLZZIHOAWMC-QXKUPLGCSA-N,CHEMBL1808,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200343;CHEMBL3544986,INHIBITOR,Angiotensin-converting enzyme inhibitor,True
IUEWXNHSKRWHDY-PHIMTYICSA-N,CHEMBL2835,True,EXACT_MODEL_SPECIES,CHEMBL3655081,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,True
IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CHEMBL240,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1083993,BLOCKER,HERG blocker,True
JBKPUQTUERUYQE-UHFFFAOYSA-O,CHEMBL220,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL748,ACTIVATOR,Acetylcholinesterase activator,True
JGRXMPYUTJLTKT-UHFFFAOYSA-N,CHEMBL3028,True,EXACT_MODEL_SPECIES,CHEMBL3646221,INHIBITOR,Hypoxia-inducible factor prolyl hydroxylase 1 inhibitor,True
JGRXMPYUTJLTKT-UHFFFAOYSA-N,CHEMBL5697,True,EXACT_MODEL_SPECIES,CHEMBL3646221,INHIBITOR,Egl nine homolog 1 inhibitor,True
JGRXMPYUTJLTKT-UHFFFAOYSA-N,CHEMBL5705,True,EXACT_MODEL_SPECIES,CHEMBL3646221,INHIBITOR,Egl nine homolog 3 inhibitor,True
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL1844,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3813873;CHEMBL3989973,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,True
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL1936,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3813873;CHEMBL3989973,INHIBITOR,Stem cell growth factor receptor inhibitor,True
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL1974,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3813873;CHEMBL3989973,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,True
JIVPVXMEBJLZRO-UHFFFAOYSA-N,CHEMBL1876,True,EXACT_MODEL_SPECIES,CHEMBL1055,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,True
JKVNJTYHRABHIY-WXVUKLJWSA-N,CHEMBL220,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL6068431,INHIBITOR,Acetylcholinesterase inhibitor,True
JOOXLOJCABQBSG-UHFFFAOYSA-N,CHEMBL1974,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1287853;CHEMBL4297216,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,True
JOOXLOJCABQBSG-UHFFFAOYSA-N,CHEMBL2971,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1287853;CHEMBL4297216,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor,True
JVHXJTBJCFBINQ-ADAARDCZSA-N,CHEMBL3884,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2103802;CHEMBL429910,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor,True
JWHYSEDOYMYMNM-QGZVFWFLSA-N,CHEMBL3979,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL230158;CHEMBL3989960,AGONIST,Peroxisome proliferator-activated receptor delta agonist,True
JWNPDZNEKVCWMY-VQHVLOKHSA-N,CHEMBL1824,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL180022;CHEMBL3989921,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,True
JWNPDZNEKVCWMY-VQHVLOKHSA-N,CHEMBL203,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL180022;CHEMBL3989921,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,True
JWNPDZNEKVCWMY-VQHVLOKHSA-N,CHEMBL3009,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL180022;CHEMBL3989921,INHIBITOR,Receptor protein-tyrosine kinase erbB-4 inhibitor,True
JWUBBDSIWDLEOM-DTOXIADCSA-N,CHEMBL1977,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3544909,AGONIST,Vitamin D receptor agonist,True
JYGXADMDTFJGBT-VWUMJDOOSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200495;CHEMBL1200562;CHEMBL1200953;CHEMBL1200968;CHEMBL389621,AGONIST,Glucocorticoid receptor agonist,True
JZUFKLXOESDKRF-UHFFFAOYSA-N,CHEMBL1876,True,EXACT_MODEL_SPECIES,CHEMBL435,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,True
KBOPZPXVLCULAV-UHFFFAOYSA-N,CHEMBL215,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200760;CHEMBL1201013;CHEMBL704,INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,True
KBOPZPXVLCULAV-UHFFFAOYSA-N,CHEMBL235,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200760;CHEMBL1201013;CHEMBL704,AGONIST,Peroxisome proliferator-activated receptor gamma agonist,True
KDGFLJKFZUIJMX-UHFFFAOYSA-N,CHEMBL2041,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3707320,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor,True
KDGFLJKFZUIJMX-UHFFFAOYSA-N,CHEMBL4247,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3707320,INHIBITOR,ALK tyrosine kinase receptor inhibitor,True
KEDYTOTWMPBSLG-HILJTLORSA-N,CHEMBL1808,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1168,INHIBITOR,Angiotensin-converting enzyme inhibitor,True
KENSGCYKTRNIST-RVUAFKSESA-N,CHEMBL2034,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201891,AGONIST,Glucocorticoid receptor agonist,True
KGFYHTZWPPHNLQ-AWEZNQCLSA-N,CHEMBL244,True,EXACT_MODEL_SPECIES,CHEMBL198362,INHIBITOR,Coagulation factor X inhibitor,True
KJADKKWYZYXHBB-XBWDGYHZSA-N,CHEMBL205,True,EXACT_MODEL_SPECIES,CHEMBL220492,INHIBITOR,Carbonic anhydrase II inhibitor,True
KJADKKWYZYXHBB-XBWDGYHZSA-N,CHEMBL3729,True,EXACT_MODEL_SPECIES,CHEMBL220492,INHIBITOR,Carbonic anhydrase IV inhibitor,True
KSGXQBZTULBEEQ-UHFFFAOYSA-N,CHEMBL204,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1615369;CHEMBL48361,INHIBITOR,Thrombin inhibitor,True
KTEIFNKAUNYNJU-GFCCVEGCSA-N,CHEMBL2689,True,EXACT_MODEL_SPECIES,CHEMBL601719,INHIBITOR,Macrophage-stimulating protein receptor inhibitor,True
KTEIFNKAUNYNJU-GFCCVEGCSA-N,CHEMBL3717,True,EXACT_MODEL_SPECIES,CHEMBL601719,INHIBITOR,Hepatocyte growth factor receptor inhibitor,True
KTEIFNKAUNYNJU-GFCCVEGCSA-N,CHEMBL4247,True,EXACT_MODEL_SPECIES,CHEMBL601719,INHIBITOR,ALK tyrosine kinase receptor inhibitor,True
KTEIFNKAUNYNJU-GFCCVEGCSA-N,CHEMBL5568,True,EXACT_MODEL_SPECIES,CHEMBL601719,INHIBITOR,Proto-oncogene tyrosine-protein kinase ROS inhibitor,True
KTUFNOKKBVMGRW-UHFFFAOYSA-N,CHEMBL1862,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1642,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,True
KTUFNOKKBVMGRW-UHFFFAOYSA-N,CHEMBL1936,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1642,INHIBITOR,Stem cell growth factor receptor inhibitor,True
KWGRBVOPPLSCSI-WCBMZHEXSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200724;CHEMBL1201483;CHEMBL3989855,RELEASING AGENT,Norepinephrine transporter releasing agent,True
KWTSXDURSIMDCE-QMMMGPOBSA-N,CHEMBL1893,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200782;CHEMBL1201178;CHEMBL3544971;CHEMBL3989844;CHEMBL612,INHIBITOR,Synaptic vesicular amine transporter inhibitor,True
KWTSXDURSIMDCE-QMMMGPOBSA-N,CHEMBL222,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200782;CHEMBL1201178;CHEMBL3544971;CHEMBL3989844;CHEMBL612,RELEASING AGENT,Norepinephrine transporter releasing agent,True
KWTSXDURSIMDCE-QMMMGPOBSA-N,CHEMBL238,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200782;CHEMBL1201178;CHEMBL3544971;CHEMBL3989844;CHEMBL612,RELEASING AGENT,Dopamine transporter releasing agent,True
KWTSXDURSIMDCE-UHFFFAOYSA-N,CHEMBL222,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200377;CHEMBL1200387;CHEMBL405;CHEMBL501,RELEASING AGENT,Norepinephrine transporter releasing agent,True
KWTSXDURSIMDCE-UHFFFAOYSA-N,CHEMBL238,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200377;CHEMBL1200387;CHEMBL405;CHEMBL501,RELEASING AGENT,Dopamine transporter releasing agent,True
KWTWDQCKEHXFFR-SMDDNHRTSA-N,CHEMBL222,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201777,INHIBITOR,Norepinephrine transporter inhibitor,True
KXNPVXPOPUZYGB-IOVMHBDKSA-N,CHEMBL204,True,EXACT_MODEL_SPECIES,CHEMBL1166,INHIBITOR,Thrombin inhibitor,True
KYYIDSXMWOZKMP-UHFFFAOYSA-N,CHEMBL222,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1118;CHEMBL1201728;CHEMBL3989861,INHIBITOR,Norepinephrine transporter inhibitor,True
KYYIDSXMWOZKMP-UHFFFAOYSA-N,CHEMBL228,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1118;CHEMBL1201728;CHEMBL3989861,INHIBITOR,Serotonin transporter inhibitor,True
LCQLHJZYVOQKHU-VKHMYHEASA-N,CHEMBL2362990,True,EXACT_MODEL_SPECIES,CHEMBL1201780,POSITIVE ALLOSTERIC MODULATOR,"Carbamoyl-phosphate synthase [ammonia], mitochondrial positive allosteric modulator",True
LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL2072,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1098;CHEMBL1200396,BLOCKER,Sodium channel protein type IV alpha subunit blocker,True
LIOLIMKSCNQPLV-UHFFFAOYSA-N,CHEMBL3717,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3188267;CHEMBL3989937,INHIBITOR,Hepatocyte growth factor receptor inhibitor,True
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,CHEMBL2964,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105741,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,True
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,CHEMBL3587,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105741,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,True
LKJPYSCBVHEWIU-UHFFFAOYSA-N,CHEMBL1871,True,EXACT_MODEL_SPECIES,CHEMBL409,ANTAGONIST,Androgen Receptor antagonist,True
LMMJFBMMJUMSJS-UHFFFAOYSA-N,CHEMBL2964,True,EXACT_MODEL_SPECIES,CHEMBL3264002,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,True
LMMJFBMMJUMSJS-UHFFFAOYSA-N,CHEMBL3587,True,EXACT_MODEL_SPECIES,CHEMBL3264002,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,True
LOMMPXLFBTZENJ-ZACQAIPSSA-N,CHEMBL1744522,True,EXACT_MODEL_SPECIES,CHEMBL4585668,INHIBITOR,Endothelial PAS domain-containing protein 1 inhibitor,True
LTXREWYXXSTFRX-QGZVFWFLSA-N,CHEMBL284,True,EXACT_MODEL_SPECIES,CHEMBL237500,INHIBITOR,Dipeptidyl peptidase IV inhibitor,True
LUKZNWIVRBCLON-GXOBDPJESA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES,CHEMBL2040682,AGONIST,Glucocorticoid receptor agonist,True
LVXJQMNHJWSHET-AATRIKPKSA-N,CHEMBL1824,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105719;CHEMBL2110732,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,True
LVXJQMNHJWSHET-AATRIKPKSA-N,CHEMBL203,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105719;CHEMBL2110732,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,True
LVXJQMNHJWSHET-AATRIKPKSA-N,CHEMBL3009,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2105719;CHEMBL2110732,INHIBITOR,Receptor protein-tyrosine kinase erbB-4 inhibitor,True
LWQQLNNNIPYSNX-UROSTWAQSA-N,CHEMBL1977,True,EXACT_MODEL_SPECIES,CHEMBL1200666,AGONIST,Vitamin D receptor agonist,True
LXBIFEVIBLOUGU-DPYQTVNSSA-N,CHEMBL2524,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL110458;CHEMBL2107355,STABILISER,Alpha-galactosidase A stabiliser,True
LXMSZDCAJNLERA-ZHYRCANASA-N,CHEMBL1994,True,EXACT_MODEL_SPECIES,CHEMBL1393,ANTAGONIST,Mineralocorticoid receptor antagonist,True
LZFZMUMEGBBDTC-QEJZJMRPSA-N,CHEMBL1808,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200659;CHEMBL3989406,INHIBITOR,Angiotensin-converting enzyme inhibitor,True
MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL1874,True,EXACT_MODEL_SPECIES,CHEMBL1072,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor,True
MCIACXAZCBVDEE-CUUWFGFTSA-N,CHEMBL3884,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1770248;CHEMBL5315054,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor,True
METQSPRSQINEEU-HXCATZOESA-N,CHEMBL1994,True,EXACT_MODEL_SPECIES,CHEMBL1509,ANTAGONIST,Mineralocorticoid receptor antagonist,True
METQSPRSQINEEU-HXCATZOESA-N,CHEMBL208,True,EXACT_MODEL_SPECIES,CHEMBL1509,AGONIST,Progesterone receptor agonist,True
MEZLKOACVSPNER-GFCCVEGCSA-N,CHEMBL2039,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200904;CHEMBL972,INHIBITOR,Monoamine oxidase B inhibitor,True
MFBCDACCJCDGBA-UHFFFAOYSA-N,CHEMBL2003,True,EXACT_MODEL_SPECIES,CHEMBL3707313,AGONIST,Retinoic acid receptor gamma agonist,True
MFFMDFFZMYYVKS-SECBINFHSA-N,CHEMBL284,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201174;CHEMBL5315049;CHEMBL6068334,INHIBITOR,Dipeptidyl peptidase IV inhibitor,True
MJUVRTYWUMPBTR-MRXNPFEDSA-N,CHEMBL4051,True,EXACT_MODEL_SPECIES,CHEMBL3544914,POSITIVE MODULATOR,Cystic fibrosis transmembrane conductance regulator positive modulator,True
MKJIEFSOBYUXJB-HOCLYGCPSA-N,CHEMBL1893,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL117785;CHEMBL3137326,INHIBITOR,Synaptic vesicular amine transporter inhibitor,True
MKJIEFSOBYUXJB-WEZHFFAMSA-N,CHEMBL1893,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL117785;CHEMBL3137326,INHIBITOR,Synaptic vesicular amine transporter inhibitor,True
MKXZASYAUGDDCJ-NJAFHUGGSA-N,CHEMBL1972,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201461;CHEMBL1256818,ANTAGONIST,Glutamate [NMDA] receptor subunit epsilon 1 antagonist,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL1906,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200485,INHIBITOR,Serine/threonine-protein kinase RAF inhibitor,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL1936,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200485,INHIBITOR,Stem cell growth factor receptor inhibitor,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL1974,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200485,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL2041,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200485,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor,True
MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL5145,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200485,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,True
MQOBSOSZFYZQOK-UHFFFAOYSA-N,CHEMBL239,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1201745;CHEMBL672;CHEMBL981,AGONIST,Peroxisome proliferator-activated receptor alpha agonist,True
MSYKRHVOOPPJKU-BDAKNGLRSA-N,CHEMBL1998,True,EXACT_MODEL_SPECIES,CHEMBL607400,MODULATOR,Synaptic vesicle glycoprotein 2A modulator,True
MUMGGOZAMZWBJJ-DYKIIFRCSA-N,CHEMBL1871,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1170;CHEMBL1200335;CHEMBL1201101;CHEMBL2107067;CHEMBL386630,AGONIST,Androgen Receptor agonist,True
MVRHVFSOIWFBTE-INIZCTEOSA-N,CHEMBL4051,True,EXACT_MODEL_SPECIES,CHEMBL4298128,POSITIVE MODULATOR,Cystic fibrosis transmembrane conductance regulator positive modulator,True
MWKYMZXCGYXLPL-ZDUSSCGKSA-N,CHEMBL3130,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL3643413;CHEMBL3989909,INHIBITOR,PI3-kinase p110-delta subunit inhibitor,True
MWLSOWXNZPKENC-UHFFFAOYSA-N,CHEMBL215,True,EXACT_MODEL_SPECIES,CHEMBL93,INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,True
NDDAHWYSQHTHNT-UHFFFAOYSA-N,CHEMBL1876,True,EXACT_MODEL_SPECIES,CHEMBL406,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,True
NEMGRZFTLSKBAP-LBPRGKRZSA-N,CHEMBL2039,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL396778;CHEMBL48582,INHIBITOR,Monoamine oxidase B inhibitor,True
NEQYWYXGTJDAKR-JTQLQIEISA-N,CHEMBL2007625,True,EXACT_MODEL_SPECIES,CHEMBL4297610,INHIBITOR,Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor,True
NGBFQHCMQULJNZ-UHFFFAOYSA-N,CHEMBL1874,True,EXACT_MODEL_SPECIES,CHEMBL1148,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor,True
NHHQJBCNYHBUSI-UHFFFAOYSA-N,CHEMBL2599,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2103830;CHEMBL3989516;CHEMBL475251,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,True
NIJJYAXOARWZEE-UHFFFAOYSA-N,CHEMBL1911,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL109;CHEMBL2105613;CHEMBL433,INHIBITOR,Succinate semialdehyde dehydrogenase inhibitor,True
NKANXQFJJICGDU-QPLCGJKRSA-N,CHEMBL206,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL786,MODULATOR,Estrogen receptor alpha modulator,True
NSQSAUGJQHDYNO-UHFFFAOYSA-N,CHEMBL2189110,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL4594260,INHIBITOR,Histone-lysine N-methyltransferase EZH2 inhibitor,True
NXQKSXLFSAEQCZ-SFHVURJKSA-N,CHEMBL2189121,True,EXACT_MODEL_SPECIES,CHEMBL4535757,INHIBITOR,GTPase KRas inhibitor,True
NYDCDZSEEAUOHN-IZHYLOQSSA-N,CHEMBL206,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL786,MODULATOR,Estrogen receptor alpha modulator,True
OBWASQILIWPZMG-QZMOQZSNSA-N,CHEMBL3884,True,EXACT_MODEL_SPECIES,CHEMBL2107830,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor,True
ODAIHABQVKJNIY-PEDHHIEDSA-N,CHEMBL1808,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200343;CHEMBL3544986,INHIBITOR,Angiotensin-converting enzyme inhibitor,True
OFCNXPDARWKPPY-UHFFFAOYSA-N,CHEMBL1929,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200477;CHEMBL1467,INHIBITOR,Xanthine dehydrogenase inhibitor,True
OIGNJSKKLXVSLS-VWUMJDOOSA-N,CHEMBL2034,True,EXACT_MODEL_SPECIES;RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL1200386;CHEMBL131;CHEMBL635,AGONIST,Glucocorticoid receptor agonist,True
ONIQOQHATWINJY-UHFFFAOYSA-N,CHEMBL279,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2103868,INHIBITOR,Vascular endothelial growth factor receptor 2 inhibitor,True
ONIQOQHATWINJY-UHFFFAOYSA-N,CHEMBL3717,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2103868,INHIBITOR,Hepatocyte growth factor receptor inhibitor,True
OUBCNLGXQFSTLU-UHFFFAOYSA-N,CHEMBL1861,True,EXACT_MODEL_SPECIES,CHEMBL1337,INHIBITOR,4-hydroxyphenylpyruvate dioxygenase inhibitor,True
OXPLANUPKBHPMS-ZXBNPROVSA-N,CHEMBL2034,True,RELATED_PARENT_ACTIVE_OR_FORM,CHEMBL2040682,AGONIST,Glucocorticoid receptor agonist,True
