drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,rank_720,evidence
FTALBRSUTCGOEG-UHFFFAOYSA-N,riluzole,Nc1nc2ccc(OC(F)(F)F)cc2s1,257853,HGF,-4.375847,-4.4088755,23,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
MFFMDFFZMYYVKS-SECBINFHSA-N,sitagliptin,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,252066,HGF,-4.778818,-4.6892576,24,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
KTEIFNKAUNYNJU-GFCCVEGCSA-N,crizotinib,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,166835,HGF,-7.275449,-4.8080163,25,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,aspirin,CC(=O)Oc1ccccc1C(=O)O,19617,HGF,-5.106361,-4.973641,26,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
NEMGRZFTLSKBAP-LBPRGKRZSA-N,safinamide,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,172080,HGF,-4.844977,-5.067683,27,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
SNIOPGDIGTZGOP-UHFFFAOYSA-N,nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],298445,HGF,-5.1007237,-5.1165724,28,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
LRFKWQGGENFBFO-IBGZPJMESA-N,fingolimod,CCCCCCCCc1ccc(CC[C@](N)(CO)COP(=O)(O)O)cc1,55060,HGF,-4.9714117,-5.1657434,29,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
NEQYWYXGTJDAKR-JTQLQIEISA-N,olutasidenib,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,172253,HGF,-5.0406575,-5.202653,30,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XUFQPHANEAPEMJ-UHFFFAOYSA-N,famotidine,N=C(N)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1,240144,HGF,-5.0566344,-5.2507825,31,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
HPHUVLMMVZITSG-LURJTMIESA-N,levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O,76517,HGF,-4.944461,-5.258141,32,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
LCQLHJZYVOQKHU-VKHMYHEASA-N,carglumic acid,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,241699,HGF,-4.8704495,-5.2662554,33,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
FKENQMMABCRJMK-RITPCOANSA-N,sulbactam,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,45088,HGF,-4.872807,-5.269841,34,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
HUNGUWOZPQBXGX-UHFFFAOYSA-N,tirbanibulin,O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1,266351,HGF,-5.208995,-5.472135,35,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
KKGQTZUTZRNORY-UHFFFAOYSA-N,fingolimod,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,55053,HGF,-5.2665877,-5.476298,36,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
TYZROVQLWOKYKF-ZDUSSCGKSA-N,linezolid,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,16748,HGF,-5.348167,-5.5027595,37,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
FYDWDCIFZSGNBU-UHFFFAOYSA-N,revefenacin,CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1,93523,HGF,-5.4012566,-5.713423,38,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
GYDJEQRTZSCIOI-LJGSYFOKSA-N,tranexamic acid,NC[C@H]1CC[C@H](C(=O)O)CC1,247775,HGF,-5.364846,-5.72203,39,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
RLCLASQCAPXVLM-NSHDSACASA-N,mavacamten,CC(C)n1c(=O)cc(N[C@@H](C)c2ccccc2)[nH]c1=O,38801,HGF,-5.0729694,-5.7726192,40,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
OZOMQRBLCMDCEG-VIZOYTHASA-N,dantrolene,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,291001,HGF,-5.581849,-5.79562,41,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
PYNXFZCZUAOOQC-UTKZUKDTSA-N,sacubitril,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,69981,HGF,-5.1976037,-5.8505507,42,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
RTGDFNSFWBGLEC-SYZQJQIISA-N,mycophenolate mofetil,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,122412,HGF,-5.6433454,-5.8562164,43,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
PJDFLNIOAUIZSL-UHFFFAOYSA-N,vigabatrin,C=CC(N)CCC(=O)O,11011,HGF,-5.478692,-5.8602295,44,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
DTGLZDAWLRGWQN-UHFFFAOYSA-N,prasugrel,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,19541,HGF,-5.496224,-5.9133825,45,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
JDUBGYFRJFOXQC-KRWDZBQOSA-N,capivasertib,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,245647,HGF,-5.7333,-5.9586983,46,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XWLUWCNOOVRFPX-UHFFFAOYSA-N,fosphenytoin,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,293078,HGF,-5.621934,-5.969056,47,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
UTNUDOFZCWSZMS-YFHOEESVSA-N,teriflunomide,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,2942,HGF,-6.0062966,-5.9727135,48,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
UJVDJAPJQWZRFR-DHIUTWEWSA-N,macimorelin,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,26477,HGF,-5.8739543,-5.984101,49,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XMAYWYJOQHXEEK-ZEQKJWHPSA-N,ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,15628,HGF,-5.540092,-6.0105324,50,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
