tid,target_chembl_id,activity_id,assay_id,assay_chembl_id,assay_type,confidence_score,relationship_type,assay_description,assay_organism,assay_cell_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_comment,data_validity_comment,potential_duplicate,molecule_chembl_id,molecule_name,molecule_type,max_phase,standard_inchi_key,canonical_smiles,document_year,pubmed_id,doi,normalized_smiles,evidence_category
11071,CHEMBL4076,828060,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,30.0,uM,,,,0,CHEMBL331320,DIMETHYLAMILORIDE,Small molecule,,WLKVEBZQNLWJDY-UHFFFAOYSA-N,CN(C)c1nc(C(=O)N=C(N)N)c(N)nc1Cl,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN(C)c1nc(C(=O)N=C(N)N)c(N)nc1Cl,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,828061,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.087,uM,,,,0,CHEMBL324708,,Small molecule,,FHINNNJVBLBKFB-UHFFFAOYSA-N,CN1CCC(N2C(=O)Nc3ccccc3C2c2ccccc2)CC1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN1CCC(N2C(=O)Nc3ccccc3C2c2ccccc2)CC1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,828062,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.093,uM,,,,0,CHEMBL555521,,Small molecule,,FPCGKZMPIZMDGR-UHFFFAOYSA-N,CCCN1CCC(N2C(=O)Nc3ccccc3C2c2ccccc2)CC1.Cl,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CCCN1CCC(N2C(=O)Nc3ccccc3C2c2ccccc2)CC1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,831527,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.04,uM,,,,0,CHEMBL117029,,Small molecule,,TZIOFZONKQVFAH-UHFFFAOYSA-N,CCN(CC)CCCN1C(=O)Nc2ccccc2C1c1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CCN(CC)CCCN1C(=O)Nc2ccccc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,833751,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.017,uM,,,,0,CHEMBL201886,,Small molecule,,WCKBTFCXSLTEBC-UHFFFAOYSA-N,O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(Cc2ccccc2)CC1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(Cc2ccccc2)CC1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,834950,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,10.0,uM,,,,0,CHEMBL1160952,,Small molecule,,NTCLOZSGXVRNMH-UHFFFAOYSA-N,CN(C)CCCN1C(=O)Nc2ccc(Cl)cc2C1c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN(C)CCCN1C(=O)Nc2ccc(Cl)cc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,836184,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.51,uM,,,,0,CHEMBL117724,,Small molecule,,GRLWYANVXMOQSP-UHFFFAOYSA-N,CC1c2ccccc2NC(=O)N1CCCN(C)C,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CC1c2ccccc2NC(=O)N1CCCN(C)C,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,837394,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,4.0,uM,,,,0,CHEMBL553510,,Small molecule,,GLYZNHMAYMEAMM-UHFFFAOYSA-N,Cl.O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(CC2CCCCC2)CC1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(CC2CCCCC2)CC1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,838652,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.46,uM,,,,0,CHEMBL116069,,Small molecule,,TYIGFJPVNTTYAS-UHFFFAOYSA-N,CN(C)CCCN1C(=O)Nc2ccccc2C1c1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN(C)CCCN1C(=O)Nc2ccccc2C1c1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
11071,CHEMBL4076,838653,75162,CHEMBL684973,F,8,H,Inhibitory activity against Na+/[Ca2+] exchanger after 30 min of K+ free incubation in isolated left atria from guinea pig,Cavia porcellus,,IC30,=,0.57,uM,,,,0,CHEMBL117963,,Small molecule,,OREBTIOCSLNDSM-UHFFFAOYSA-N,CN(C)CCCN1C(=O)Nc2ccccc2C1Cc1ccccc1,2003,14505651.0,10.1016/s0960-894x(03)00744-3,CN(C)CCCN1C(=O)Nc2ccccc2C1Cc1ccccc1,FUNCTIONAL_TRANSPORT_OR_OTHER_ACTIVITY
