drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,rank_720,evidence
VWUXBMIQPBEWFH-WCCTWKNTSA-N,fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,176558,LYVE1,3.6432583,4.3696404,1,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
UREBDLICKHMUKA-CXSFZGCWSA-N,dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,169098,LYVE1,2.2382145,3.8770328,2,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
UREBDLICKHMUKA-DVTGEIKXSA-N,betamethasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,174844,LYVE1,1.6422557,3.3042939,3,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
UXNXMBYCBRBRFD-MUUNZHRXSA-N,berotralstat,N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,238134,LYVE1,1.1340795,1.9966964,4,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
GFNANZIMVAIWHM-OBYCQNJPSA-N,triamcinolone,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,176170,LYVE1,-1.4293371,1.0870256,5,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
HHZIURLSWUIHRB-UHFFFAOYSA-N,nilotinib,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,206290,LYVE1,-3.0746582,1.0108068,6,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
VPPJLAIAVCUEMN-GFCCVEGCSA-N,lacosamide,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,119827,LYVE1,0.3990924,0.7339628,7,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
PHXJVRSECIGDHY-UHFFFAOYSA-N,ponatinib,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,194505,LYVE1,-2.6176684,0.5121886,8,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
FNHKPVJBJVTLMP-UHFFFAOYSA-N,regorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,104154,LYVE1,-3.8928778,0.49603373,9,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
MLDQJTXFUGDVEO-UHFFFAOYSA-N,sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,104155,LYVE1,-4.2128997,0.32720038,10,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
VNFPBHJOKIVQEB-UHFFFAOYSA-N,clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,218767,LYVE1,0.007349856,0.08695826,11,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
RZEKVGVHFLEQIL-UHFFFAOYSA-N,celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,192052,LYVE1,-0.35284087,-0.37860012,12,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
NSQSAUGJQHDYNO-UHFFFAOYSA-N,tazemetostat,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,64878,LYVE1,-1.0234021,-1.0550354,13,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
FAEKWTJYAYMJKF-QHCPKHFHSA-N,repaglinide,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,73344,LYVE1,-1.1039581,-1.2103522,14,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
YTFHCXIPDIHOIA-DHZHZOJOSA-N,palovarotene,CC1(C)CCC(C)(C)c2cc(Cn3cccn3)c(/C=C/c3ccc(C(=O)O)cc3)cc21,43332,LYVE1,-1.8995829,-1.9800533,15,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
VGKDLMBJGBXTGI-SJCJKPOMSA-N,sertraline,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,108075,LYVE1,-2.9314916,-2.4276264,16,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
VOVZXURTCKPRDQ-CQSZACIVSA-N,asciminib,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,278301,LYVE1,-3.3956804,-2.7218504,17,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
VOVIALXJUBGFJZ-KWVAZRHASA-N,budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,53246,LYVE1,-7.080282,-2.9355485,18,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XPOQHMRABVBWPR-ZDUSSCGKSA-N,efavirenz,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,294060,LYVE1,-3.0228913,-3.0896435,19,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
KTUFNOKKBVMGRW-UHFFFAOYSA-N,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,197500,LYVE1,-5.6862617,-3.2566156,20,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
