panel,scope,model,pairs,positive,negative,auroc,ap,top1pct_precision,top5pct_precision,false_positive_rate,brier
AFFINITY_KD_KI,all,old_production,34327.0,23190.0,11137.0,0.7914427366125673,0.8884596473624777,0.997093023255814,0.9912638322655795,0.7883631139445093,0.172719135283022
AFFINITY_KD_KI,all,kdki_inactive,34327.0,23190.0,11137.0,0.8873616943414472,0.9356757986146437,0.9844961240310077,0.9854397204426325,0.3879261321121786,0.12939873365635643
AFFINITY_KD_KI,all,all_inactive,34327.0,23190.0,11137.0,0.8494039082985804,0.9087139780524981,0.9699612403100776,0.9625315472723743,0.47271856574182153,0.14265967719232064
AFFINITY_KD_KI,old_train_pair_seen,old_production,6888.0,5116.0,1772.0,0.9949810006053685,0.9977245739025692,1.0,1.0,0.7494356659142212,0.07772341463919981
AFFINITY_KD_KI,old_train_pair_seen,kdki_inactive,6888.0,5116.0,1772.0,0.8728065134184143,0.9451432176082429,0.9855072463768115,0.9893719806763285,0.4706546275395034,0.12124222849013688
AFFINITY_KD_KI,old_train_pair_seen,all_inactive,6888.0,5116.0,1772.0,0.839480081668864,0.927200500605727,0.9855072463768115,0.9797101449275362,0.5451467268623026,0.1305883261434021
AFFINITY_KD_KI,old_train_pair_unseen,old_production,27439.0,18074.0,9365.0,0.7206226451957813,0.8228272918043014,0.9854545454545455,0.9416909620991254,0.79572877736252,0.19656586890285682
AFFINITY_KD_KI,old_train_pair_unseen,kdki_inactive,27439.0,18074.0,9365.0,0.8892667649791489,0.9326891213128757,0.9866666666666667,0.9822643343051506,0.37227264637835916,0.13144625753058367
AFFINITY_KD_KI,old_train_pair_unseen,all_inactive,27439.0,18074.0,9365.0,0.8499216938577819,0.9026371681226825,0.9636363636363635,0.9538386783284741,0.45901405944118173,0.14568994309213293
AFFINITY_KD_KI,document_disjoint_new_training,old_production,503.0,331.0,172.0,0.7476902269373991,0.8644313937303364,1.0,1.0,0.8895348837209303,0.19848780908767372
AFFINITY_KD_KI,document_disjoint_new_training,kdki_inactive,503.0,331.0,172.0,0.8686503196796177,0.911311788329741,0.9444444444444445,0.9487179487179488,0.3488372093023256,0.13825827276346184
AFFINITY_KD_KI,document_disjoint_new_training,all_inactive,503.0,331.0,172.0,0.8626665729876577,0.9081374321721419,1.0,0.923076923076923,0.3062015503875969,0.14093488989929306
ACTIVITY_IC50,all,old_production,85704.0,65173.0,20531.0,0.7841716460622044,0.9171178743359969,0.9778554778554779,0.9778348110125992,0.9464711899079441,0.15502783432082465
ACTIVITY_IC50,all,kdki_inactive,85704.0,65173.0,20531.0,0.6918522810271055,0.8592487988545535,0.8818958818958819,0.9027842588271894,0.5041806698813177,0.2152398787409334
ACTIVITY_IC50,all,all_inactive,85704.0,65173.0,20531.0,0.946529754619594,0.9805058910488665,1.0,0.9983667755482969,0.2385011283749777,0.07586184966265563
ACTIVITY_IC50,old_train_pair_seen,old_production,26696.0,23965.0,2731.0,0.9933993130314922,0.9990246273618955,0.9962546816479401,0.9992509363295881,0.8996704503844746,0.045052499668244546
ACTIVITY_IC50,old_train_pair_seen,kdki_inactive,26696.0,23965.0,2731.0,0.7102482746653732,0.9488921878909556,0.9725343320848939,0.9737827715355806,0.5380202611985841,0.16317573636127555
ACTIVITY_IC50,old_train_pair_seen,all_inactive,26696.0,23965.0,2731.0,0.9317009892447358,0.9905938463092551,1.0,0.9997503121098626,0.3243012327596729,0.06512978133508689
ACTIVITY_IC50,old_train_pair_unseen,old_production,59008.0,41208.0,17800.0,0.6723002583222633,0.8213532283879916,0.934010152284264,0.9190105049135886,0.9536516853932584,0.20478213092273082
ACTIVITY_IC50,old_train_pair_unseen,kdki_inactive,59008.0,41208.0,17800.0,0.6758410415562376,0.8068174502688557,0.8307952622673435,0.857336496103016,0.4989887640449438,0.23879438567164357
ACTIVITY_IC50,old_train_pair_unseen,all_inactive,59008.0,41208.0,17800.0,0.9479923176347707,0.9747145360832034,0.9994359842075579,0.9972890545577769,0.2253370786516854,0.08071717938189328
