pair_id,frozen_score,replayed_score
AAADQEFQWNJHOZ-UHFFFAOYSA-N__SEQ:08ab69187b319cff68eba5e95e6d06f77a7a8e75e4b1a83c000f7ed2c160d37f,0.9879023,0.9879022836685181
BNSPMRCFHAFQER-WBDBVSIISA-N__SEQ:8a2983b0b4fb6c42ed1595daaf8abb5ffae024b71e575cffaae25542a95b5606,0.9381754,0.93817538022995
DBTYFKHMIUGZMN-UHFFFAOYSA-N__SEQ:16442372fdaf33016a1a7075143c71c0ef9d6549887234dfc51ce60f7f844f00,0.5666618,0.5666617751121521
FWCSMQRGFXNYQC-KHPPLWFESA-N__SEQ:987e15538f0f1ab2fdac22de66091cf0a704c2a7eae4e9af9419d590682c51d7,0.6398328,0.6398327350616455
HNJYDJYOCZGCSR-UHFFFAOYSA-N__SEQ:c497f29417b886ff019812f69b1ed95fa872225c9180283496bec6d9ca65f664,0.95460266,0.9546026587486267
JITMAISNRRPWAR-UHFFFAOYSA-N__SEQ:223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124,0.44899985,0.4489998519420624
KYIAOTGZEXVAKQ-UHFFFAOYSA-N__SEQ:a9d70e6dd79a9d6d5fef6772b08efb426eba56ffbc49737c550220e71c521746,0.98632365,0.9863236546516418
MMUWXZUTOXDAGI-UHFFFAOYSA-N__SEQ:c17cbbd68c27235daefe2b9862da81fedd3a349c2589358be6a4b8f13cd12b63,0.90739506,0.90739506483078
OAMLIJKKGZLNHE-UHFFFAOYSA-N__SEQ:420762f293c0da767dd51507e32ed4e5fe2b62d02cf916bb42507e9cc8bcb461,0.16526076,0.16526074707508087
PNGFDVRAVGEVPG-UHFFFAOYSA-N__SEQ:9a7fa3c16640c215ee56fb067330853d5928b50181834259d9e00abb24e9b751,0.5440086,0.5440086126327515
RAPVGKNPGKNLOK-LXZQIRDNSA-N__SEQ:745dbb36c09682458fa172f0f7c03032517c82c090ad360605494be94709518b,0.8544547,0.854454755783081
SNQPEFPXHIIEAY-UHFFFAOYSA-N__SEQ:e8fd18bde8ab47cde0df23a9735039f87e9b1b583499ea1addf54378408bdb9e,0.04217511,0.042175110429525375
VAUHRGCAUAQDDS-UHFFFAOYSA-N__SEQ:673a5ff1e9eb71e9f4ce597ab556006ebebba414fa71bbe2287e813bbd3ddf7e,0.92648995,0.9264899492263794
WTGDOBVQFDJVDE-INIZCTEOSA-N__SEQ:48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,0.70888644,0.708886444568634
YIYXIVBATWWRQJ-UHFFFAOYSA-N__SEQ:185c2689bb974169f25e7fb0ecec5fd538d8f6f4c7b9a2798f614d06f9b50eac,0.36903515,0.36903518438339233
ZZZRFDJBEAXMTI-CRERWDRJSA-N__SEQ:7192d652f813d4d86f957b1edb7729c8adb429515fb591d7f4c6937a9d54dec2,0.92546535,0.9254653453826904
