model,drug_id,target_id,status,score,reason
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3961,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3116,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3670,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2321614,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4116,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3192,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3385,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2331042,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1886,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3629,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1861,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3587,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4096,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2063,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2321613,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1966,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2998,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2208,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2964,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4685,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4722,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4801,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL286,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3028,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1989,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2007625,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4937,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3338,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1782,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL262,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4179,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4770,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2321615,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL5697,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1914276,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1977,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2276,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1829,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2524,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3514,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3979,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL5689,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2808,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4601,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4956,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3076,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3991501,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2003,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL2008,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1962,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL1997,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL3117,failed,,inference_missing_after_target_stage_exit_0
nesso,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL4245,failed,,inference_missing_after_target_stage_exit_0
