model,direction,query_id,observed_candidates,requested_candidates
ConPLex,target_to_drug,CHEMBL1075094,720,720
ConPLex,target_to_drug,CHEMBL1075113,720,720
ConPLex,target_to_drug,CHEMBL1075126,720,720
ConPLex,target_to_drug,CHEMBL1075153,720,720
ConPLex,target_to_drug,CHEMBL1075319,720,720
ConPLex,target_to_drug,CHEMBL1163124,720,720
ConPLex,target_to_drug,CHEMBL1169596,720,720
ConPLex,target_to_drug,CHEMBL1169600,720,720
ConPLex,target_to_drug,CHEMBL1250358,720,720
ConPLex,target_to_drug,CHEMBL1250360,720,720
ConPLex,target_to_drug,CHEMBL1250375,720,720
ConPLex,target_to_drug,CHEMBL1250417,720,720
ConPLex,target_to_drug,CHEMBL1255163,720,720
ConPLex,target_to_drug,CHEMBL1275223,720,720
ConPLex,target_to_drug,CHEMBL1287628,720,720
ConPLex,target_to_drug,CHEMBL1293224,720,720
ConPLex,target_to_drug,CHEMBL1293232,720,720
ConPLex,target_to_drug,CHEMBL1293266,720,720
ConPLex,target_to_drug,CHEMBL1615381,720,720
ConPLex,target_to_drug,CHEMBL1628478,720,720
ConPLex,target_to_drug,CHEMBL1641347,720,720
ConPLex,target_to_drug,CHEMBL1641348,720,720
ConPLex,target_to_drug,CHEMBL1641353,720,720
ConPLex,target_to_drug,CHEMBL1649052,720,720
ConPLex,target_to_drug,CHEMBL1649058,720,720
ConPLex,target_to_drug,CHEMBL1697671,720,720
ConPLex,target_to_drug,CHEMBL1697674,720,720
ConPLex,target_to_drug,CHEMBL1741186,720,720
ConPLex,target_to_drug,CHEMBL1741208,720,720
ConPLex,target_to_drug,CHEMBL1741305,720,720
ConPLex,target_to_drug,CHEMBL1741309,720,720
ConPLex,target_to_drug,CHEMBL1744522,720,720
ConPLex,target_to_drug,CHEMBL1744525,720,720
ConPLex,target_to_drug,CHEMBL1778,720,720
ConPLex,target_to_drug,CHEMBL1781,720,720
ConPLex,target_to_drug,CHEMBL1781870,720,720
ConPLex,target_to_drug,CHEMBL1782,720,720
ConPLex,target_to_drug,CHEMBL1783,720,720
ConPLex,target_to_drug,CHEMBL1786,720,720
ConPLex,target_to_drug,CHEMBL1795,720,720
ConPLex,target_to_drug,CHEMBL1795108,720,720
ConPLex,target_to_drug,CHEMBL1795116,720,720
ConPLex,target_to_drug,CHEMBL1795122,720,720
ConPLex,target_to_drug,CHEMBL1795129,720,720
