view,model_a,model_b,assay_lane,queries,eligible_queries,mean_spearman,mean_top10_overlap,mean_top10_adjusted
completed_models_common,BALM,CheMLT-F,ENZYME_BIOCHEMICAL,211,183,0.15000998380217417,0.2677595628415301,0.013068575386746712
completed_models_common,BALM,CheMLT-F,EXTRACELLULAR_SPECIAL,117,79,0.19532266656118777,0.05063291139240506,-0.008949901943305404
completed_models_common,BALM,CheMLT-F,ION_CHANNEL_FUNCTIONAL,57,36,0.10114903314702624,0.3888888888888889,0.025352112676056342
completed_models_common,BALM,CheMLT-F,KINASE_BIOCHEMICAL,122,90,0.13391448555699248,0.06666666666666667,-0.007323943661971833
completed_models_common,BALM,CheMLT-F,NONCANONICAL_REVIEW,96,61,0.2075752880355608,0.11475409836065574,-0.0024474717155391376
completed_models_common,BALM,CheMLT-F,NON_GPCR_MEMBRANE_SPECIAL,74,54,0.2694076376042654,0.05555555555555555,-0.008450704225352114
completed_models_common,BALM,CheMLT-F,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.05879181925893086,0.0,-0.014084507042253523
completed_models_common,BALM,CheMLT-F,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,0.11574662248240199,0.5652173913043478,0.04323331292100429
completed_models_common,BALM,ScopeDTI_light,ENZYME_BIOCHEMICAL,211,183,0.2646149610486127,0.20765027322404372,0.006972985453705842
completed_models_common,BALM,ScopeDTI_light,EXTRACELLULAR_SPECIAL,117,79,0.379774749304987,0.3037974683544304,0.016723123551435192
completed_models_common,BALM,ScopeDTI_light,ION_CHANNEL_FUNCTIONAL,57,36,0.2490330833289571,0.16666666666666666,0.002816901408450704
completed_models_common,BALM,ScopeDTI_light,KINASE_BIOCHEMICAL,122,90,0.2560595650854526,0.011111111111111112,-0.012957746478873242
completed_models_common,BALM,ScopeDTI_light,NONCANONICAL_REVIEW,96,61,0.35892549548414854,0.22950819672131148,0.009189563611175249
completed_models_common,BALM,ScopeDTI_light,NON_GPCR_MEMBRANE_SPECIAL,74,54,0.33312167536349974,0.2777777777777778,0.014084507042253523
completed_models_common,BALM,ScopeDTI_light,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.21016517201399407,0.08333333333333333,-0.0056338028169014105
completed_models_common,BALM,ScopeDTI_light,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,0.2384038624177151,0.13043478260869565,-0.0008573178199632588
completed_models_common,ConPLex,BALM,ENZYME_BIOCHEMICAL,211,183,-0.03629749641987163,0.3770491803278688,0.024151466174093746
completed_models_common,ConPLex,BALM,EXTRACELLULAR_SPECIAL,117,79,-0.02855952143341003,0.25316455696202533,0.011588518452487075
completed_models_common,ConPLex,BALM,ION_CHANNEL_FUNCTIONAL,57,36,-0.01376492695334613,0.08333333333333333,-0.00563380281690141
completed_models_common,ConPLex,BALM,KINASE_BIOCHEMICAL,122,90,0.09823747027246643,0.3111111111111111,0.01746478873239437
completed_models_common,ConPLex,BALM,NONCANONICAL_REVIEW,96,61,-0.017249190459294787,0.32786885245901637,0.019164165319787582
completed_models_common,ConPLex,BALM,NON_GPCR_MEMBRANE_SPECIAL,74,54,-0.009286773096018752,0.3148148148148148,0.01784037558685446
completed_models_common,ConPLex,BALM,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.09231748914694984,0.16666666666666666,0.002816901408450705
completed_models_common,ConPLex,BALM,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,-0.12558493751030694,0.0,-0.014084507042253525
completed_models_common,ConPLex,CheMLT-F,ENZYME_BIOCHEMICAL,211,183,-0.062138178764308286,0.15300546448087432,0.0014315400600323246
completed_models_common,ConPLex,CheMLT-F,EXTRACELLULAR_SPECIAL,117,79,-0.07457379062858167,0.0759493670886076,-0.0063825993938313435
completed_models_common,ConPLex,CheMLT-F,ION_CHANNEL_FUNCTIONAL,57,36,-0.031886803215919905,0.05555555555555555,-0.008450704225352114
completed_models_common,ConPLex,CheMLT-F,KINASE_BIOCHEMICAL,122,90,0.01352178651587377,0.7777777777777778,0.0647887323943662
completed_models_common,ConPLex,CheMLT-F,NONCANONICAL_REVIEW,96,61,-0.0714097665899278,0.2459016393442623,0.010851997229277304
completed_models_common,ConPLex,CheMLT-F,NON_GPCR_MEMBRANE_SPECIAL,74,54,-0.07836031424713907,0.42592592592592593,0.02910798122065728
completed_models_common,ConPLex,CheMLT-F,NUCLEAR_EPIGENETIC_DOMAIN,39,36,-0.007529303713930587,0.19444444444444445,0.005633802816901409
completed_models_common,ConPLex,CheMLT-F,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,-0.04315089978856507,0.08695652173913043,-0.005266380894060013
completed_models_common,ConPLex,DrugCLIP,ENZYME_BIOCHEMICAL,211,183,0.03539091881368046,0.15300546448087432,0.0014315400600323244
completed_models_common,ConPLex,DrugCLIP,EXTRACELLULAR_SPECIAL,117,79,0.05357660313383353,0.08860759493670886,-0.005098948119094313
completed_models_common,ConPLex,DrugCLIP,ION_CHANNEL_FUNCTIONAL,57,36,0.052561824875546316,0.08333333333333333,-0.0056338028169014105
completed_models_common,ConPLex,DrugCLIP,KINASE_BIOCHEMICAL,122,90,0.031714614956029716,0.6,0.0467605633802817
completed_models_common,ConPLex,DrugCLIP,NONCANONICAL_REVIEW,96,61,0.034280181094883136,0.18032786885245902,0.004202262756869083
completed_models_common,ConPLex,DrugCLIP,NON_GPCR_MEMBRANE_SPECIAL,74,54,0.036167346401299996,0.05555555555555555,-0.008450704225352114
completed_models_common,ConPLex,DrugCLIP,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.13490664810085234,0.5833333333333334,0.04507042253521126
completed_models_common,ConPLex,DrugCLIP,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,0.11151522711800556,0.043478260869565216,-0.009675443968156769
completed_models_common,ConPLex,ScopeDTI_light,ENZYME_BIOCHEMICAL,211,183,-0.026333441580063316,0.13114754098360656,-0.000785038097437082
completed_models_common,ConPLex,ScopeDTI_light,EXTRACELLULAR_SPECIAL,117,79,-0.01103992856433611,0.05063291139240506,-0.008949901943305404
completed_models_common,ConPLex,ScopeDTI_light,ION_CHANNEL_FUNCTIONAL,57,36,0.010385386006753403,0.05555555555555555,-0.008450704225352114
completed_models_common,ConPLex,ScopeDTI_light,KINASE_BIOCHEMICAL,122,90,0.06145835297267155,0.45555555555555555,0.03211267605633803
completed_models_common,ConPLex,ScopeDTI_light,NONCANONICAL_REVIEW,96,61,-0.009047734475616206,0.09836065573770492,-0.004109905333641192
completed_models_common,ConPLex,ScopeDTI_light,NON_GPCR_MEMBRANE_SPECIAL,74,54,-0.0041420694775517455,0.07407407407407407,-0.0065727699530516446
completed_models_common,ConPLex,ScopeDTI_light,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.04301382341606686,0.25,0.011267605633802818
completed_models_common,ConPLex,ScopeDTI_light,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,-0.05197843637438817,0.043478260869565216,-0.009675443968156769
completed_models_common,DrugCLIP,BALM,ENZYME_BIOCHEMICAL,211,183,-0.03349704390408254,0.15300546448087432,0.001431540060032325
completed_models_common,DrugCLIP,BALM,EXTRACELLULAR_SPECIAL,117,79,0.015760430220664045,0.0,-0.014084507042253521
completed_models_common,DrugCLIP,BALM,ION_CHANNEL_FUNCTIONAL,57,36,-0.023163516944867048,0.19444444444444445,0.005633802816901408
completed_models_common,DrugCLIP,BALM,KINASE_BIOCHEMICAL,122,90,0.05138945328510758,0.03333333333333333,-0.010704225352112677
completed_models_common,DrugCLIP,BALM,NONCANONICAL_REVIEW,96,61,-0.01711392679878959,0.0,-0.014084507042253523
completed_models_common,DrugCLIP,BALM,NON_GPCR_MEMBRANE_SPECIAL,74,54,0.04529812670057497,0.018518518518518517,-0.012206572769953053
completed_models_common,DrugCLIP,BALM,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.03764289355112474,0.3055555555555556,0.016901408450704227
completed_models_common,DrugCLIP,BALM,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,0.01586271721198186,0.08695652173913043,-0.005266380894060014
completed_models_common,DrugCLIP,CheMLT-F,ENZYME_BIOCHEMICAL,211,183,0.007138856211757324,0.20218579234972678,0.00641884091433849
completed_models_common,DrugCLIP,CheMLT-F,EXTRACELLULAR_SPECIAL,117,79,0.012281862971251504,0.06329113924050633,-0.007666250668568373
completed_models_common,DrugCLIP,CheMLT-F,ION_CHANNEL_FUNCTIONAL,57,36,-0.011122607121018075,0.1111111111111111,-0.0028169014084507052
completed_models_common,DrugCLIP,CheMLT-F,KINASE_BIOCHEMICAL,122,90,0.06273159172143056,1.0888888888888888,0.09633802816901409
completed_models_common,DrugCLIP,CheMLT-F,NONCANONICAL_REVIEW,96,61,-0.01572986335917296,0.09836065573770492,-0.004109905333641192
completed_models_common,DrugCLIP,CheMLT-F,NON_GPCR_MEMBRANE_SPECIAL,74,54,0.024656812315015483,0.14814814814814814,0.0009389671361502345
completed_models_common,DrugCLIP,CheMLT-F,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.04501441780488837,0.16666666666666666,0.0028169014084507035
completed_models_common,DrugCLIP,CheMLT-F,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,0.023617265389780068,0.17391304347826086,0.0035517452541334953
completed_models_common,DrugCLIP,ScopeDTI_light,ENZYME_BIOCHEMICAL,211,183,0.02356557065770306,0.1366120218579235,-0.00023089355806973062
completed_models_common,DrugCLIP,ScopeDTI_light,EXTRACELLULAR_SPECIAL,117,79,-0.03231411508872018,0.02531645569620253,-0.011517204492779463
completed_models_common,DrugCLIP,ScopeDTI_light,ION_CHANNEL_FUNCTIONAL,57,36,-0.002139219023277885,0.2222222222222222,0.008450704225352114
completed_models_common,DrugCLIP,ScopeDTI_light,KINASE_BIOCHEMICAL,122,90,0.06907219222933902,0.36666666666666664,0.023098591549295777
completed_models_common,DrugCLIP,ScopeDTI_light,NONCANONICAL_REVIEW,96,61,-0.056530404034333015,0.0,-0.014084507042253523
completed_models_common,DrugCLIP,ScopeDTI_light,NON_GPCR_MEMBRANE_SPECIAL,74,54,0.02745804395903902,0.07407407407407407,-0.0065727699530516446
completed_models_common,DrugCLIP,ScopeDTI_light,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.11615397438395264,0.3611111111111111,0.022535211267605635
completed_models_common,DrugCLIP,ScopeDTI_light,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,0.08515457125616517,0.21739130434782608,0.00796080832823025
completed_models_common,ScopeDTI_light,CheMLT-F,ENZYME_BIOCHEMICAL,211,183,0.12598667678725653,0.18579234972677597,0.0047564072962364345
completed_models_common,ScopeDTI_light,CheMLT-F,EXTRACELLULAR_SPECIAL,117,79,0.17103509472835285,0.35443037974683544,0.021857728650383313
completed_models_common,ScopeDTI_light,CheMLT-F,ION_CHANNEL_FUNCTIONAL,57,36,0.11537144828196055,0.19444444444444445,0.005633802816901409
completed_models_common,ScopeDTI_light,CheMLT-F,KINASE_BIOCHEMICAL,122,90,0.1294534031381582,0.6111111111111112,0.04788732394366198
completed_models_common,ScopeDTI_light,CheMLT-F,NONCANONICAL_REVIEW,96,61,0.18690769362011309,0.26229508196721313,0.01251443084737936
completed_models_common,ScopeDTI_light,CheMLT-F,NON_GPCR_MEMBRANE_SPECIAL,74,54,0.20558040624038315,0.4074074074074074,0.027230046948356807
completed_models_common,ScopeDTI_light,CheMLT-F,NUCLEAR_EPIGENETIC_DOMAIN,39,36,0.06505629953028841,0.19444444444444445,0.005633802816901407
completed_models_common,ScopeDTI_light,CheMLT-F,TRANSPORTER_MEMBRANE_FUNCTIONAL,29,23,0.14481929223138854,0.2608695652173913,0.012369871402327006
pairwise_common,BALM,CheMLT-F,ENZYME_BIOCHEMICAL,211,184,0.15007995604189062,0.266304347826087,0.012921004286589101
pairwise_common,BALM,CheMLT-F,EXTRACELLULAR_SPECIAL,117,110,0.19313477226306747,0.03636363636363636,-0.01039692701664533
pairwise_common,BALM,CheMLT-F,ION_CHANNEL_FUNCTIONAL,57,37,0.09963296568103895,0.40540540540540543,0.02702702702702703
pairwise_common,BALM,CheMLT-F,KINASE_BIOCHEMICAL,122,90,0.13391448555699248,0.06666666666666667,-0.007323943661971833
