name,pairs,positive,explicit_inactive,targets
A_B_COMMON_TRAIN,335580,187212,105368,2283
B_EXTRA_SHARED_TARGETS_TRAIN,723955,548246,0,1834
A_MATCHED_TRAIN,337459,188721,105368,2289
B_MATCHED_TRAIN,337459,188721,105368,2289
