id,source,record_id,ligand_key,ligand_name,smiles,target_accessions,target_name,target_scope,organism,endpoint,relation,value_raw,unit_raw,value_nM,method,quality,doi,pmid,source_url,provenance_group,metadata_json,target_chembl_id,gene_symbol,pair_id,possible_shared_experiment_group,existing_pair_in_original_scored_audit
2483,BindingDB_202609,118672:Kd,NQDJXKOVJZTUJA-UHFFFAOYSA-N,"BI-RG-587::2-cyclopropyl-7-methyl-2,4,9,15-tetraazatricyclo[9.4.0.0^{3,8}]pentadeca-1(11),3,5,7,12,14-hexaen-10-one::CHEMBL57::Viramune::11-cyclopropyl-5,11-dihydro-4-methyl-6H-dipyrido[3,2-b:2 ,3 -e][1,4]diazepin-6-one::Nevirapine::Nevirapine (NVP)::US11420959, Example NVP::US12486270, Compound NVP",Cc1ccnc2c1NC(=O)c3cccnc3N2C4CC4,P29317,Ephrin type-A receptor 2,single_accession_construct_unverified,Homo sapiens,Kd,=,13.0,nM,13.0,,source_reported_unreviewed,10.1016/j.bmcl.2007.11.102,,http://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?energyterm=kJ/mole&tag=r21&monomerid=1434&enzyme=Ephrin+type-A+receptor+2&column=ki&startPg=0&Increment=50&submit=Search,BindingDB:118672,"{""BindingDB Reactant_set_id"": ""118672"", ""Ligand SMILES"": ""Cc1ccnc2c1NC(=O)c3cccnc3N2C4CC4"", ""Ligand InChI"": ""InChI=1S/C15H14N4O/c1-9-6-8-17-14-12(9)18-15(20)11-3-2-7-16-13(11)19(14)10-4-5-10/h2-3,6-8,10H,4-5H2,1H3,(H,18,20)"", ""Ligand InChI Key"": ""NQDJXKOVJZTUJA-UHFFFAOYSA-N"", ""BindingDB MonomerID"": ""1434"", ""BindingDB Ligand Name"": ""BI-RG-587::2-cyclopropyl-7-methyl-2,4,9,15-tetraazatricyclo[9.4.0.0^{3,8}]pentadeca-1(11),3,5,7,12,14-hexaen-10-one::CHEMBL57::Viramune::11-cyclopropyl-5,11-dihydro-4-methyl-6H-dipyrido[3,2-b:2 ,3 -e][1,4]diazepin-6-one::Nevirapine::Nevirapine (NVP)::US11420959, Example NVP::US12486270, Compound NVP"", ""Target Name"": ""Ephrin type-A receptor 2"", ""Target Source Organism According to Curator or DataSource"": ""Homo sapiens"", ""Kd (nM)"": ""13.0"", ""Curation/DataSource"": ""US Patent"", ""Article DOI"": ""10.1016/j.bmcl.2007.11.102"", ""BindingDB Entry DOI"": ""10.7270/Q2JQ15T1"", ""PubChem AID"": ""aid1798950"", ""Patent Number"": ""US12486270"", ""Authors"": ""Tosato, G; DiPrima, MJ; Schwalbe, H; Troster, A; Kudlinzki, D; Jores, N"", ""Date of publication"": ""12/2/2025"", ""Date in BindingDB"": ""4/13/2026"", ""Institution"": ""Department Of Health And Human Services"", ""Link to Ligand in BindingDB"": ""http://www.bindingdb.org/bind/chemsearch/marvin/MolStructure.jsp?monomerid=1434"", ""Link to Target in BindingDB"": ""http://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?energyterm=kJ/mole&tag=pol&polymerid=50003028&target=Ephrin+type-A+receptor+2&column=ki&startPg=0&Increment=50&submit=Search"", ""Link to Ligand-Target Pair in BindingDB"": ""http://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?energyterm=kJ/mole&tag=r21&monomerid=1434&enzyme=Ephrin+type-A+receptor+2&column=ki&startPg=0&Increment=50&submit=Search"", ""Ligand HET ID in PDB"": ""NEV"", ""PubChem CID"": ""4463"", ""PubChem SID"": ""8031304"", ""ChEMBL ID of Ligand"": ""CHEMBL57"", ""DrugBank ID of Ligand"": ""DB00238"", ""KEGG ID of Ligand"": ""C07263"", ""Number of Protein Chains in Target (>1 implies a multichain complex)"": ""1"", ""PDB ID(s) of Target Chain 1"": ""3MX0,7KJA,8XPV,1MQB,8QQY,8BOM,8BOK,8BOI,8BOH,8BOG,8BOF,8BOD,8BOC,8BM8,8BK0,8BIO,8BIN,6Q7G,6Q7F,6Q7E,6Q7D,6Q7C,6Q7B,6HEY,6HEX,6HEW,6HEV,6HEU,6HET,6HES,6FNH,6FNG,6FNF,5NKI,5NKH,5NKG,5NKF,5NKE,5NKD,5NKC,5NKB,5NKA,5NK9,5NK8,5NK7,5NK6,5NK5,5NK4,5NK3,5NK2,5NK1,5NK0,5NJZ,5IA5,5IA4,5IA3,5IA2,5IA1,5IA0,5I9Z,5I9Y,5I9X,5I9W,5I9V,5I9U,4TRL,4PDO,4P2K,3CZU,3SKJ,3C8X,7CZE,3HPN,3HEI,6B9L,8TRT,8TRS"", ""UniProt (SwissProt) Recommended Name of Target Chain 1"": ""Ephrin type-A receptor 2"", ""UniProt (SwissProt) Entry Name of Target Chain 1"": ""EPHA2_HUMAN"", ""UniProt (SwissProt) Primary ID of Target Chain 1"": ""P29317"", ""_line"": 118673, ""_archive_subset"": ""All""}",CHEMBL2068,EPHA2,NQDJXKOVJZTUJA-UHFFFAOYSA-N__CHEMBL2068,271e75ea9da5536bf111bf11a702e3a935d005e0c020f9cecf6b5f045d53b53d,False
89018,HiQBind_v3,18434,OXPLANUPKBHPMS-ZXBNPROVSA-N,CV7,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1C[C@H]1O[C@@H](C3CCCCC3)O[C@]12C(=O)CO,P08235,MINERALOCORTICOID RECEPTOR,single_accession_construct_unverified,,Ki,=,0.18,nM,0.18,,structure_attached_literature_label,,,https://www.rcsb.org/structure/4udb,HiQBind:6c49961623e1ba92548ff41f106300030f034cee6e8116c0a2c95fb47d551e0b,"{""PDBID"": ""4udb"", ""Resolution"": ""2.36"", ""Year"": 2015, ""Ligand Name"": ""CV7"", ""Ligand Chain"": ""A"", ""Ligand Residue Number"": ""1987"", ""Binding Affinity Measurement"": ""ki"", ""Binding Affinity Sign"": ""="", ""Binding Affinity Value"": 0.18, ""Binding Affinity Unit"": ""nM"", ""Log Binding Affinity"": -9.744727494896694, ""Binding Affinity Source"": ""MOAD"", ""Binding Affinity Annotation"": ""Ki=0.18nM"", ""Protein UniProtID"": ""P08235"", ""Protein UniProtName"": ""MINERALOCORTICOID RECEPTOR"", ""Ligand SMILES"": ""C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1C[C@H]1O[C@@H](C3CCCCC3)O[C@]12C(=O)CO"", ""Ligand MW"": 470.6060000000003, ""Ligand LogP"": 3.497000000000003, ""Ligand TPSA"": 93.06000000000002, ""Ligand NumRotBond"": 3, ""Ligand NumHeavyAtoms"": 34, ""Ligand NumHDon"": 2, ""Ligand NumHAcc"": 6, ""Ligand QED"": 0.6559282998675067}",CHEMBL1994,NR3C2,OXPLANUPKBHPMS-ZXBNPROVSA-N__CHEMBL1994,ungrouped:HiQBind_v3:HiQBind:6c49961623e1ba92548ff41f106300030f034cee6e8116c0a2c95fb47d551e0b,False
