slice,model,score_column,n_pairs,positive,weak_negative,drugs,targets,positive_prevalence,auroc,average_precision,ap_over_prevalence,within_drug_macro_auroc,within_drug_both_class_queries,top10_observed_positive,top10_observed_weak_negative,top10_observed_precision,top10_recall_of_observed_positives,top20_observed_positive,top20_observed_weak_negative,top20_observed_precision,top20_recall_of_observed_positives,top50_observed_positive,top50_observed_weak_negative,top50_observed_precision,top50_recall_of_observed_positives
TRAIN_PAIR_UNSEEN_IDENTITY_CHEMISTRY_PASS,SPR_current,independent_validation_rank_score,390,102,288,71,105,0.26153846153846155,0.7941516884531591,0.6647828382544374,2.5418167345022606,0.8311119043399746,15,44,9,0.8301886792452831,0.43137254901960786,47,20,0.7014925373134329,0.46078431372549017,68,59,0.5354330708661418,0.6666666666666666
TRAIN_PAIR_UNSEEN_IDENTITY_CHEMISTRY_PASS,contract_primary,biomaster_independent_borda_score,390,102,288,71,105,0.26153846153846155,0.7828499455337691,0.6016283357994352,2.3003436368801933,0.7800469608364344,15,43,13,0.7678571428571429,0.4215686274509804,52,34,0.6046511627906976,0.5098039215686274,70,67,0.5109489051094891,0.6862745098039216
TRAIN_PAIR_UNSEEN_IDENTITY_CHEMISTRY_PASS,neural_full_fit,ensemble_drug_to_target_logit,390,102,288,71,105,0.26153846153846155,0.8367374727668845,0.6848346479072475,2.6184854184688873,0.8372787777524621,15,46,16,0.7419354838709677,0.45098039215686275,60,30,0.6666666666666666,0.5882352941176471,81,75,0.5192307692307693,0.7941176470588235
TRAIN_PAIR_UNSEEN_IDENTITY_CHEMISTRY_PASS,graph_ranker,old_drug_leakage_safe_score_v10,390,102,288,71,105,0.26153846153846155,0.7294389978213508,0.5142498166401438,1.9662492989181968,0.6423089120106664,15,27,25,0.5192307692307693,0.2647058823529412,38,37,0.5066666666666667,0.37254901960784315,53,61,0.4649122807017544,0.5196078431372549
TRAIN_PAIR_UNSEEN_IDENTITY_CHEMISTRY_PASS,DTIAM_comparator,dtiam_probability,390,102,288,71,105,0.26153846153846155,0.6410675381263617,0.408517381390369,1.5619782229631756,0.6952654447566727,15,21,10,0.6774193548387096,0.20588235294117646,31,22,0.5849056603773585,0.30392156862745096,47,45,0.5108695652173914,0.46078431372549017
NO_PRIOR_RELATION_IDENTITY_CHEMISTRY_PASS,SPR_current,independent_validation_rank_score,65,1,64,21,16,0.015384615384615385,0.71875,0.05263157894736842,3.421052631578947,1.0,1,0,1,0.0,0.0,1,1,0.5,1.0,1,4,0.2,1.0
NO_PRIOR_RELATION_IDENTITY_CHEMISTRY_PASS,contract_primary,biomaster_independent_borda_score,65,1,64,21,16,0.015384615384615385,0.71875,0.05263157894736842,3.421052631578947,1.0,1,0,0,,0.0,0,1,0.0,0.0,0,6,0.0,0.0
NO_PRIOR_RELATION_IDENTITY_CHEMISTRY_PASS,neural_full_fit,ensemble_drug_to_target_logit,65,1,64,21,16,0.015384615384615385,1.0,1.0,65.0,1.0,1,1,0,1.0,1.0,1,2,0.3333333333333333,1.0,1,8,0.1111111111111111,1.0
NO_PRIOR_RELATION_IDENTITY_CHEMISTRY_PASS,graph_ranker,old_drug_leakage_safe_score_v10,65,1,64,21,16,0.015384615384615385,0.859375,0.1,6.5,0.0,1,0,1,0.0,0.0,0,3,0.0,0.0,0,8,0.0,0.0
NO_PRIOR_RELATION_IDENTITY_CHEMISTRY_PASS,DTIAM_comparator,dtiam_probability,65,1,64,21,16,0.015384615384615385,0.765625,0.0625,4.0625,1.0,1,1,0,1.0,1.0,1,1,0.5,1.0,1,3,0.25,1.0
