pair_id,ligand_inchikey,target_chembl_id,gene_symbol,label,binary_label,source_rows,sources,endpoints,relations,min_nM,max_nM,has_grey,has_unresolved,positive_record_ids,negative_record_ids,endpoint_group,refresh_covered,existing_ChEMBL37_numeric_pair,local_training_exact_pair,local_training_connectivity_pair,local_training_drug_seen,local_training_target_seen,drug_names,known_relation_excluded,known_training,known_chembl37,novelty_pass,identity_scope_pass,chemistry_policy_pass,independent_validation_rank_score,biomaster_independent_borda_score,ensemble_drug_to_target_logit,old_drug_leakage_safe_score_v10,dtiam_probability,rank_SPR_current,rank_contract_primary,rank_neural_full_fit,rank_graph_ranker,rank_DTIAM_comparator,scored,refresh_endpoint_covered,use_status
ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL220,ADEBPBSSDYVVLD-UHFFFAOYSA-N,CHEMBL220,ACHE,POSITIVE,1.0,16,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,2.9,38.0,False,False,111;165;6553;13516;19871;24106;48429;50571;56597;58877;116059;116096;116146;116208;116243;116288,,Kd_Ki,True,True,False,False,True,True,donepezil,True,False,True,False,True,True,3.283445702827948,0.9490861618798956,4.1731224,0.626441714502216,0.7000126,1.0,3.0,4.0,40.0,10.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL206,GZUITABIAKMVPG-UHFFFAOYSA-N,CHEMBL206,ESR1,POSITIVE,1.0,15,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,0.03,2.4,False,False,600;15324;18990;20590;22670;46067;46068;52645;63203;70397;129906;129943;129951;130122;130146,,Kd_Ki,True,True,False,False,True,True,raloxifene,True,False,True,False,True,True,3.029677562911988,0.9973890339425588,4.0971155,0.9139816446532624,0.92700565,2.0,2.0,2.0,2.0,2.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL325,WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL325,HDAC1,POSITIVE,1.0,26,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,1.3,182.0,False,False,653;7399;13507;19291;28315;36977;50108;58625;62916;62918;62934;64824;65320;164619;164690;164793;164893;164950;165038;165200;165439;165776;165778;165786;165908;165955,,Kd_Ki,True,True,False,False,True,True,vorinostat,True,False,True,False,True,True,1.1553597224098258,0.9960835509138382,1.923463,0.9286626744170996,0.590683,2.0,2.0,3.0,2.0,51.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL1865,WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL1865,HDAC6,POSITIVE,1.0,19,BindingDB_202609;ChEMBL37_existing,Kd;Ki,<;=,1.0,300.0,False,False,654;13506;19286;25556;28296;36978;41719;54627;55201;56460;164528;164622;164691;164790;164897;165041;165304;165323;165367,,Kd_Ki,True,True,False,False,True,True,vorinostat,True,False,True,False,True,True,0.4500648656949583,0.9738903394255876,7.078392,0.6975680356061056,0.5699644,6.0,5.0,1.0,15.0,52.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
RWTNPBWLLIMQHL-UHFFFAOYSA-N__CHEMBL3759,RWTNPBWLLIMQHL-UHFFFAOYSA-N,CHEMBL3759,HRH4,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Ki,>,10000.0,10000.0,False,False,,657,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
JCCNYMKQOSZNPW-UHFFFAOYSA-N__CHEMBL3759,JCCNYMKQOSZNPW-UHFFFAOYSA-N,CHEMBL3759,HRH4,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Ki,>,10000.0,10000.0,False,False,,658,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
ZKLPARSLTMPFCP-UHFFFAOYSA-N__CHEMBL3759,ZKLPARSLTMPFCP-UHFFFAOYSA-N,CHEMBL3759,HRH4,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Ki,>,10000.0,10000.0,False,False,,659,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
XUFQPHANEAPEMJ-UHFFFAOYSA-N__CHEMBL3759,XUFQPHANEAPEMJ-UHFFFAOYSA-N,CHEMBL3759,HRH4,WEAK_NEGATIVE,0.0,1,BindingDB_202609,Ki,>,10000.0,10000.0,False,False,,660,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL3024,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL3024,PLK1,WEAK_NEGATIVE,0.0,5,BindingDB_202609;ChEMBL37_existing,Kd;Ki,>,10000.0,20000.0,False,False,,704;26446;30869;42848;143103,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,False,False,True,True,-0.6638205213302801,0.5456919060052219,-6.1770644,0.1359618108621285,0.648675,42.0,144.0,308.0,245.0,284.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL213,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL213,ADRB1,POSITIVE,1.0,1,BindingDB_202609,Kd,=,23.5,23.5,False,False,757,,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
