pair_id,ligand_inchikey,target_chembl_id,gene_symbol,label,binary_label,source_rows,sources,endpoints,relations,min_nM,max_nM,has_grey,has_unresolved,positive_record_ids,negative_record_ids,endpoint_group,refresh_covered,existing_ChEMBL37_numeric_pair,local_training_exact_pair,local_training_connectivity_pair,local_training_drug_seen,local_training_target_seen,drug_names,known_relation_excluded,known_training,known_chembl37,novelty_pass,identity_scope_pass,chemistry_policy_pass,independent_validation_rank_score,biomaster_independent_borda_score,ensemble_drug_to_target_logit,old_drug_leakage_safe_score_v10,dtiam_probability,rank_SPR_current,rank_contract_primary,rank_neural_full_fit,rank_graph_ranker,rank_DTIAM_comparator,scored,refresh_endpoint_covered,use_status
OGHNVEJMJSYVRP-UHFFFAOYSA-N__CHEMBL213,OGHNVEJMJSYVRP-UHFFFAOYSA-N,CHEMBL213,ADRB1,POSITIVE,1.0,2,BindingDB_202609,Kd;Ki,=,1.7,1.76,False,False,758;6156,,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
AQHHHDLHHXJYJD-UHFFFAOYSA-N__CHEMBL213,AQHHHDLHHXJYJD-UHFFFAOYSA-N,CHEMBL213,ADRB1,POSITIVE,1.0,15,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,0.02,200.0,False,False,759;3528;4047;6161;11594;17876;17878;47598;48269;55275;117182;117183;117186;117390;117393,,Kd_Ki,True,True,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
NDAUXUAQIAJITI-UHFFFAOYSA-N__CHEMBL213,NDAUXUAQIAJITI-UHFFFAOYSA-N,CHEMBL213,ADRB1,WEAK_NEGATIVE,0.0,2,BindingDB_202609,Kd;Ki,=,2440.0,21878.0,True,False,,762,Kd_Ki,True,True,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL210,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL210,ADRB2,POSITIVE,1.0,1,BindingDB_202609,Kd,=,9.3,9.3,False,False,764,,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
OGHNVEJMJSYVRP-UHFFFAOYSA-N__CHEMBL210,OGHNVEJMJSYVRP-UHFFFAOYSA-N,CHEMBL210,ADRB2,POSITIVE,1.0,10,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,0.03,1.1,False,False,765;6163;23775;23776;54598;55134;55136;63331;147833;147834,,Kd_Ki,True,True,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
AQHHHDLHHXJYJD-UHFFFAOYSA-N__CHEMBL210,AQHHHDLHHXJYJD-UHFFFAOYSA-N,CHEMBL210,ADRB2,POSITIVE,1.0,27,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,0.01,400.0,False,False,766;2567;2568;3533;3534;4053;6168;17686;17874;17875;47593;52182;52183;55277;56052;56053;56062;56063;117179;117181;117185;117338;117339;117391;117394;117395;117396,,Kd_Ki,True,True,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL246,IUBSYMUCCVWXPE-UHFFFAOYSA-N,CHEMBL246,ADRB3,WEAK_NEGATIVE,0.0,2,BindingDB_202609,Kd;Ki,=;>,6916.0,10000.0,True,False,,6173,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL246,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL246,ADRB3,POSITIVE,1.0,1,BindingDB_202609,Kd,=,661.0,661.0,False,False,771,,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
OGHNVEJMJSYVRP-UHFFFAOYSA-N__CHEMBL246,OGHNVEJMJSYVRP-UHFFFAOYSA-N,CHEMBL246,ADRB3,POSITIVE,1.0,2,BindingDB_202609,Kd;Ki,=,5.0,247.0,False,False,772;6170,,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
AQHHHDLHHXJYJD-UHFFFAOYSA-N__CHEMBL246,AQHHHDLHHXJYJD-UHFFFAOYSA-N,CHEMBL246,ADRB3,POSITIVE,1.0,6,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,117.0,214.0,False,False,773;6175;17877;48268;117180;117184,,Kd_Ki,True,True,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
NDAUXUAQIAJITI-UHFFFAOYSA-N__CHEMBL246,NDAUXUAQIAJITI-UHFFFAOYSA-N,CHEMBL246,ADRB3,WEAK_NEGATIVE,0.0,2,BindingDB_202609,Kd;Ki,=;>,10000.0,46774.0,False,False,,776;6176,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL205,JZUFKLXOESDKRF-UHFFFAOYSA-N,CHEMBL205,CA2,POSITIVE,1.0,49,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,290.0,7190.0,True,False,806;11822;12407;19926;19954;20279;20406;21953;22945;23245;23365;23493;27740;28175;36843;37078;39787;46722;48500;52490;56137;56154;65262;137168;137170;137322;137323;137325;137328;137329;137331;137333;137335;137337;137338;137340;137342;137344;137345;137347;137349;137351;137353;137355;137356,,Kd_Ki,True,True,False,False,True,True,hydrochlorothiazide,True,False,True,False,True,True,-0.9641233759123582,0.9203655352480418,6.636879,0.6087636846715602,0.85428315,4.0,4.0,4.0,52.0,15.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL3729,JZUFKLXOESDKRF-UHFFFAOYSA-N,CHEMBL3729,CA4,POSITIVE,1.0,1,BindingDB_202609,Ki,=,427.0,427.0,False,False,818,,Kd_Ki,True,False,False,False,True,True,hydrochlorothiazide,True,False,False,False,True,True,-0.3415088166928908,0.6122715404699739,8.191583,0.3234995869336765,0.91442955,2.0,105.0,2.0,296.0,4.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL3729,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL3729,CA4,POSITIVE,1.0,1,BindingDB_202609,Ki,=,303.0,303.0,False,False,822,,Kd_Ki,True,False,False,False,True,True,bumetanide,True,False,False,False,True,True,-0.8182024930468027,0.8655352480417755,5.9571686,0.6236808788551009,0.8654972,2.0,13.0,3.0,103.0,7.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2326,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL2326,CA7,POSITIVE,1.0,1,BindingDB_202609,Ki,=,62.0,62.0,False,False,844,,Kd_Ki,True,False,False,False,True,True,bumetanide,True,False,False,False,True,True,-0.599654405178381,0.8805483028720626,5.977865,0.6330311731919402,0.90930414,1.0,10.0,2.0,93.0,4.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL3594,JZUFKLXOESDKRF-UHFFFAOYSA-N,CHEMBL3594,CA9,POSITIVE,1.0,1,BindingDB_202609,Ki,=,367.0,367.0,False,False,845,,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL3594,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL3594,CA9,POSITIVE,1.0,1,BindingDB_202609,Ki,=,25.8,25.8,False,False,849,,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL3242,JZUFKLXOESDKRF-UHFFFAOYSA-N,CHEMBL3242,CA12,POSITIVE,1.0,1,BindingDB_202609,Ki,=,355.0,355.0,False,False,850,,Kd_Ki,True,False,False,False,True,True,hydrochlorothiazide,True,False,False,False,True,True,-0.6186322734996114,0.8851174934725848,8.816044,0.5680083061902265,0.89327586,3.0,13.0,1.0,86.0,8.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL3242,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CHEMBL3242,CA12,POSITIVE,1.0,1,BindingDB_202609,Ki,=,21.1,21.1,False,False,854,,Kd_Ki,True,False,False,False,True,True,bumetanide,True,False,False,False,True,True,-2.464574547165657,0.8309399477806789,6.491184,0.6446594976212803,0.7864149,22.0,22.0,1.0,83.0,13.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,XGALLCVXEZPNRQ-UHFFFAOYSA-N,CHEMBL203,EGFR,POSITIVE,1.0,67,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,0.4,470.0,False,False,868;871;1562;1568;1574;1581;1587;1593;1742;1964;14420;14437;14647;14892;14960;15426;15970;16109;16158;16527;16756;18003;18242;18494;18499;18584;18698;18731;18826;18897;20098;23023;34572;45186;45705;54755;55061;56896;59792;63734;63735;63736;63737;63738;65100;67855;67856;68628;68629;68630;68631;168612;168722;168723;168728;168762;169180;169255;169371;169380;169396;169413;169450;169461;169489;169490;169494,,Kd_Ki,True,True,False,False,True,True,gefitinib,True,False,True,False,True,True,3.21315261178343,0.9516971279373369,1.6166229,0.726008272480803,0.77694076,6.0,10.0,3.0,35.0,25.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CHEMBL222,SLC6A2,POSITIVE,1.0,18,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,240.0,2186.0,True,False,4416;4542;5750;5751;5752;5753;37369;40918;153448,,Kd_Ki,True,True,False,False,True,True,fluoxetine,True,False,True,False,True,True,1.0540267195529829,1.0,7.78919,0.8656974701625453,0.86616206,2.0,1.0,2.0,1.0,4.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL3935,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL3935,AURKC,POSITIVE,1.0,5,BindingDB_202609;ChEMBL37_existing,Kd,=,210.0,210.0,False,False,1046;26815;35701;44360;143089,,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,True,False,True,True,-0.9506863504657352,0.7845953002610966,-1.9036049,0.5039225945188535,0.8049142,52.0,42.0,41.0,30.0,143.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL5147,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL5147,EPHB4,WEAK_NEGATIVE,0.0,8,BindingDB_202609;ChEMBL37_existing,Kd,=;>,1800.0,30000.0,True,False,,143737,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,True,False,True,True,-1.3201526708377431,0.4804177545691906,-4.1187587,0.0733017422703461,0.85187495,68.0,203.0,132.0,322.0,67.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL224,KVWDHTXUZHCGIO-UHFFFAOYSA-N,CHEMBL224,HTR2A,POSITIVE,1.0,42,BindingDB_202609;ChEMBL37_existing,Ki,=,0.42,100.0,False,False,1286;6679;11206;12090;19210;19827;20214;22521;34399;40036;40428;48727;49969;50988;53002;54200;54203;54471;55035;55234;56990;59917;139985;139999;140007;140029;140200;140204;140222;140234;140241;140250;140258;140263;140267;140268;140270;140274;140278;140283;140285;140292,,Kd_Ki,True,True,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL2007,KTUFNOKKBVMGRW-UHFFFAOYSA-N,CHEMBL2007,PDGFRA,POSITIVE,1.0,5,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,2.0,31.0,False,False,1440;6365;28729;43509;139254,,Kd_Ki,True,True,False,False,True,True,imatinib,True,False,True,False,True,True,2.240786260952104,0.9960835509138382,0.5661598,0.944149275568001,0.9423376,4.0,1.0,9.0,2.0,2.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL4128,UHTHHESEBZOYNR-UHFFFAOYSA-N,CHEMBL4128,TEK,POSITIVE,1.0,6,BindingDB_202609;ChEMBL37_existing,Kd,=,1000.0,3600.0,True,False,1510;34404;45083;158603,,Kd_Ki,True,True,False,False,True,True,vandetanib,True,False,True,False,True,True,-3.549392495496039,0.5143603133159269,2.6846638,0.3155279358650187,0.48824075,121.0,184.0,14.0,179.0,63.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL2815,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL2815,NTRK1,WEAK_NEGATIVE,0.0,8,BindingDB_202609;ChEMBL37_existing,Kd,=;>,3600.0,30000.0,True,False,,143768,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,True,False,True,True,-1.1116736645259448,0.9046997389033944,1.4684588,0.7067118980626278,0.84932,58.0,21.0,13.0,16.0,70.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL279,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL279,KDR,POSITIVE,1.0,18,BindingDB_202609;ChEMBL37_existing;HiQBind_v3,Kd;Ki,=,0.021,93.0,False,False,1529;17573;19557;20042;26356;28233;28236;28237;32247;43975;83549;83982;142924;143000;143340;143341;143342;143649,,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,True,False,True,True,2.0112272414221497,0.9986945169712792,2.292957,0.9902061073768572,0.7821761,2.0,1.0,9.0,1.0,168.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL5145,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL5145,BRAF,POSITIVE,1.0,9,BindingDB_202609;ChEMBL37_existing,Kd,=,500.0,3235.94,True,False,1549;1552;15295;18562;30975;42461,,Kd_Ki,True,True,False,False,True,True,dasatinib,True,False,True,False,True,True,-1.9189121888119427,0.6409921671018277,2.2797108,0.6508617707045952,0.8388847,151.0,100.0,37.0,80.0,194.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,UHTHHESEBZOYNR-UHFFFAOYSA-N,CHEMBL203,EGFR,POSITIVE,1.0,39,BindingDB_202609;ChEMBL37_existing,Kd,=,4.8,3741.0,True,False,1566;1572;1579;1585;1591;1597;1746;1968;14234;15126;15333;15728;15953;15996;16185;16607;16681;16723;17000;17920;17966;18268;18303;18564;18676;18719;18868;18922;20088;35425;44102;55051;158538;158653;158654;158659;158694;159062,,Kd_Ki,True,True,False,False,True,True,vandetanib,True,False,True,False,True,True,0.1749289441547876,0.9856396866840732,0.13985704,0.8942339113665212,0.47991654,3.0,4.0,35.0,9.0,66.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL203,KTUFNOKKBVMGRW-UHFFFAOYSA-N,CHEMBL203,EGFR,WEAK_NEGATIVE,0.0,28,BindingDB_202609;ChEMBL37_existing,Kd,=;>,7600.0,30000.0,True,False,,14781;15132;15284;15372;15540;15786;15977;16355;16569;16955;17156;18244;18270;18288;18339;18483;18678;18712;18864;44100;139245;139246;139251;139285;139802,Kd_Ki,True,True,False,False,True,True,imatinib,True,False,True,False,True,True,-1.6261561837691594,0.9203655352480418,-3.069994,0.602621345301249,0.67394185,63.0,15.0,51.0,16.0,165.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL3650,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL3650,FGFR1,WEAK_NEGATIVE,0.0,8,BindingDB_202609;ChEMBL37_existing,Kd,=;>,2500.0,30000.0,True,False,,143738,Kd_Ki,True,True,False,False,True,True,sorafenib,True,False,True,False,True,True,-0.697715902030673,0.9190600522193212,-4.4686317,0.6033580654780469,0.6963146,43.0,17.0,157.0,19.0,256.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
CUIHSIWYWATEQL-UHFFFAOYSA-N__CHEMBL2148,CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL2148,JAK3,WEAK_NEGATIVE,0.0,2,BindingDB_202609;ChEMBL37_existing,Kd;Ki,=,6900.0,6900000.0,True,False,,1814,Kd_Ki,True,True,False,False,True,True,pazopanib,True,False,True,False,True,True,-1.021423431818464,0.8694516971279374,-2.597383,0.6413921308578424,0.85260963,13.0,18.0,178.0,70.0,261.0,True,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL224,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL224,HTR2A,POSITIVE,1.0,1,BindingDB_202609,Kd,=,27.0,27.0,False,False,1957,,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL224,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL224,HTR2A,POSITIVE,1.0,2,BindingDB_202609,Kd;Ki,=,370.0,1959.0,True,False,1958,,Kd_Ki,True,False,False,False,True,True,,,,,,,,,,,,,,,,,,False,True,CANDIDATE_ONLY_REVIEW_ASSAY_AND_FREEZE_INDEPENDENT_EVALUATION_BEFORE_TRAINING
