scope,query,model_a,model_b,queries,labeled_pairs,ordered_comparisons,both_correct,only_a_correct,only_b_correct,both_wrong,any_tie
AB_UNSEEN_141,drug_id,biomaster,conplex,7,98,315,0.462218045112782,0.2990183792815372,0.031265664160401004,0.07151211361737676,0.1359857978279031
AB_UNSEEN_141,drug_id,biomaster,drugclip,7,98,315,0.2224937343358396,0.6540309106098581,0.07184628237259816,0.05162907268170426,0.0
AB_UNSEEN_141,drug_id,biomaster,dtbind,7,98,315,0.6792606516290727,0.1972639933166249,0.031578947368421054,0.09189640768588136,0.0
AB_UNSEEN_141,drug_id,biomaster,dtiam,7,98,315,0.71234335839599,0.1641812865497076,0.020300751879699246,0.10317460317460317,0.0
AB_UNSEEN_141,drug_id,biomaster,nesso,7,98,315,0.6072263993316626,0.2692982456140351,0.1018796992481203,0.02159565580618212,0.0
AB_UNSEEN_141,drug_id,biomaster,nesso_pic50,7,98,315,0.7712823725981621,0.1052422723475355,0.08308270676691729,0.040392648287385126,0.0
AB_UNSEEN_141,drug_id,biomaster,probematch,7,98,315,0.5261069340016709,0.3504177109440268,0.07719298245614035,0.04628237259816207,0.0
AB_UNSEEN_141,drug_id,conplex,dtbind,7,98,315,0.4404761904761904,0.05300751879699249,0.22249373433583958,0.14803675856307436,0.1359857978279031
AB_UNSEEN_141,drug_id,conplex,nesso,7,98,315,0.49223057644110274,0.0012531328320802004,0.12393483709273181,0.24659565580618215,0.1359857978279031
AB_UNSEEN_141,drug_id,conplex,nesso_pic50,7,98,315,0.4934837092731829,0.0,0.28308270676691727,0.08744778613199666,0.1359857978279031
AB_UNSEEN_141,drug_id,conplex,probematch,7,98,315,0.3813074352548037,0.11217627401837928,0.15785296574770258,0.21267752715121135,0.1359857978279031
AB_UNSEEN_141,drug_id,drugclip,conplex,7,98,315,0.1646198830409357,0.07094820384294068,0.32886382623224725,0.2995822890559733,0.1359857978279031
AB_UNSEEN_141,drug_id,drugclip,dtbind,7,98,315,0.1903717627401838,0.10396825396825396,0.52046783625731,0.1851921470342523,0.0
AB_UNSEEN_141,drug_id,drugclip,dtiam,7,98,315,0.18734335839598998,0.10699665831244778,0.5453007518796993,0.16035923141186298,0.0
AB_UNSEEN_141,drug_id,drugclip,nesso,7,98,315,0.26342940685045946,0.030910609857978277,0.44567669172932334,0.2599832915622389,0.0
AB_UNSEEN_141,drug_id,drugclip,nesso_pic50,7,98,315,0.24233500417710946,0.052005012531328325,0.6120300751879698,0.09362990810359231,0.0
AB_UNSEEN_141,drug_id,drugclip,probematch,7,98,315,0.1982247284878864,0.09611528822055138,0.40507518796992475,0.30058479532163745,0.0
