target_id,nominator,receiver,mean_receiver_rank,receiver_top100_fraction,receiver_bottom_half_fraction
CHEMBL1871,drugclip,dtiam,80.6,0.7,0.0
CHEMBL1871,drugclip,conplex,159.3,0.4,0.1
CHEMBL1871,drugclip,nesso,38.2,0.9,0.0
CHEMBL1871,drugclip,probematch,63.75,0.7,0.0
CHEMBL1871,drugclip,dtbind,42.5,0.9,0.0
CHEMBL1871,dtiam,biomaster,168.9,0.6,0.2
CHEMBL1871,dtiam,drugclip,178.7,0.5,0.2
CHEMBL1871,dtiam,conplex,174.2,0.7,0.3
CHEMBL1871,dtiam,nesso,187.4,0.5,0.3
CHEMBL1871,dtiam,probematch,183.0,0.5,0.3
CHEMBL1871,dtiam,dtbind,207.4,0.3,0.2
CHEMBL1871,conplex,biomaster,37.0,0.9,0.0
CHEMBL1871,conplex,drugclip,50.9,1.0,0.0
CHEMBL1871,conplex,dtiam,30.8,1.0,0.0
CHEMBL1871,conplex,nesso,19.2,1.0,0.0
CHEMBL1871,conplex,probematch,66.55,0.7,0.0
CHEMBL1871,conplex,dtbind,69.5,0.7,0.0
CHEMBL1871,nesso,biomaster,23.5,1.0,0.0
CHEMBL1871,nesso,drugclip,38.3,1.0,0.0
CHEMBL1871,nesso,dtiam,52.6,0.9,0.0
CHEMBL1871,nesso,conplex,45.3,0.9,0.0
CHEMBL1871,nesso,probematch,67.65,0.9,0.1
CHEMBL1871,nesso,dtbind,107.6,0.6,0.1
CHEMBL1871,probematch,biomaster,137.72727272727275,0.5454545454545454,0.18181818181818182
CHEMBL1871,probematch,drugclip,123.36363636363635,0.5454545454545454,0.09090909090909091
CHEMBL1871,probematch,dtiam,103.63636363636365,0.6363636363636364,0.0
CHEMBL1871,probematch,conplex,104.81818181818183,0.6363636363636364,0.09090909090909091
CHEMBL1871,probematch,nesso,199.7272727272727,0.5454545454545454,0.2727272727272727
CHEMBL1871,probematch,dtbind,189.18181818181816,0.5454545454545454,0.18181818181818182
CHEMBL1871,dtbind,biomaster,233.3,0.2,0.2
CHEMBL1871,dtbind,drugclip,239.3,0.4,0.4
CHEMBL1871,dtbind,dtiam,235.4,0.3,0.2
CHEMBL1871,dtbind,conplex,171.8,0.4,0.1
CHEMBL1871,dtbind,nesso,198.4,0.3,0.2
CHEMBL1871,dtbind,probematch,284.05,0.3,0.5
CHEMBL1902,biomaster,drugclip,386.7,0.1,0.7
CHEMBL1902,biomaster,dtiam,291.4,0.3,0.4
