nominator,receiver,targets,mean_receiver_rank,receiver_top100_fraction,receiver_bottom_half_fraction
biomaster,conplex,50,315.909,0.268,0.44895078893916013
biomaster,drugclip,50,279.11400000000003,0.276,0.364
biomaster,dtbind,50,227.575,0.40399999999999997,0.24600000000000002
biomaster,dtiam,50,303.008,0.272,0.386
biomaster,nesso,50,187.282,0.526,0.22
biomaster,probematch,50,239.917,0.308,0.254
conplex,biomaster,50,282.031,0.336,0.374
conplex,drugclip,50,309.203,0.226,0.41200000000000003
conplex,dtbind,50,269.589,0.312,0.337
conplex,dtiam,50,275.53700000000003,0.258,0.348
conplex,nesso,50,262.722,0.34,0.33399999999999996
conplex,probematch,50,323.9545,0.218,0.435
drugclip,biomaster,50,272.058,0.348,0.35200000000000004
drugclip,conplex,50,348.085,0.18600000000000003,0.49034563286919597
drugclip,dtbind,50,281.582,0.222,0.344
drugclip,dtiam,50,292.52299999999997,0.24600000000000002,0.35600000000000004
drugclip,nesso,50,284.172,0.28800000000000003,0.37200000000000005
drugclip,probematch,50,270.789,0.254,0.31
dtbind,biomaster,50,226.53400000000002,0.37,0.242
dtbind,conplex,50,316.8845,0.218,0.42768348783706955
dtbind,drugclip,50,323.12,0.193,0.42700000000000005
dtbind,dtiam,50,409.436,0.15,0.5760000000000001
dtbind,nesso,50,196.46400000000003,0.425,0.21
dtbind,probematch,50,276.407,0.28600000000000003,0.336
dtiam,biomaster,50,302.43,0.24600000000000002,0.43200000000000005
dtiam,conplex,50,350.59,0.218,0.517317410587343
dtiam,drugclip,50,286.382,0.272,0.36
dtiam,dtbind,50,300.539,0.228,0.386
dtiam,nesso,50,396.13800000000003,0.198,0.5770000000000001
dtiam,probematch,50,262.317,0.31,0.322
nesso,biomaster,50,192.396,0.48,0.22400000000000003
nesso,conplex,50,299.33099999999996,0.28800000000000003,0.42206188251255916
nesso,drugclip,50,273.93,0.284,0.35600000000000004
nesso,dtbind,50,201.91099999999997,0.426,0.21
nesso,dtiam,50,296.052,0.282,0.402
nesso,probematch,50,269.293,0.316,0.332
probematch,biomaster,50,324.3271645021645,0.2152900432900433,0.45020779220779217
probematch,conplex,50,387.9466493506494,0.13872727272727273,0.5788068870354918
probematch,drugclip,50,310.69060606060606,0.19748051948051948,0.38477056277056276
probematch,dtbind,50,277.63406493506494,0.2573852813852814,0.33754112554112553
probematch,dtiam,50,366.94248917748916,0.20929870129870132,0.5028571428571429
probematch,nesso,50,324.257974025974,0.2288138528138528,0.43259740259740265
