target_id,gene,comparator,total_pairs,zero_pairs,conplex_top10_cutoff,conplex_top10_zero_weight,full_spearman,nonzero_pairs,nonzero_spearman
CHEMBL2007625,IDH1,dtiam,719,394,0.14803132,0.0,-0.014576282332962227,325,-0.07023182688534675
CHEMBL2007625,IDH1,nesso,719,394,0.14803132,0.0,-0.029063641198181847,325,0.05752943279038215
CHEMBL2007625,IDH1,probematch,719,394,0.14803132,0.0,-0.00015495409233687343,325,0.12078816037796775
CHEMBL2007625,IDH1,dtbind,719,394,0.14803132,0.0,0.08602757044363017,325,0.19968113870694154
CHEMBL2008,RARB,biomaster,719,278,0.33511567,0.0,-0.002678623785702127,441,-0.03513266552054526
CHEMBL2008,RARB,drugclip,719,278,0.33511567,0.0,0.2623391295297117,441,0.4494389379860712
CHEMBL2008,RARB,dtiam,719,278,0.33511567,0.0,0.025923305252587465,441,0.2204446102917735
CHEMBL2008,RARB,nesso,719,278,0.33511567,0.0,0.20181070666214956,441,0.3070133914797023
CHEMBL2008,RARB,probematch,719,278,0.33511567,0.0,0.008937886953560636,441,0.13367728920574495
CHEMBL2008,RARB,dtbind,719,278,0.33511567,0.0,0.40762953205014324,441,0.3954837717175302
CHEMBL202,DHFR,biomaster,719,75,0.24807815,0.0,-0.013614089031685593,644,-0.051655306440254095
CHEMBL202,DHFR,drugclip,719,75,0.24807815,0.0,-0.06789347351701315,644,0.00876518055438295
CHEMBL202,DHFR,dtiam,719,75,0.24807815,0.0,-0.13412550582190091,644,-0.11593950418241053
CHEMBL202,DHFR,nesso,719,75,0.24807815,0.0,0.14929978250907874,644,0.10415403863397725
CHEMBL202,DHFR,probematch,719,75,0.24807815,0.0,0.038924457865344965,644,0.04255419330583716
CHEMBL202,DHFR,dtbind,719,75,0.24807815,0.0,-0.2616986565692139,644,-0.20138162111023508
CHEMBL2023,COMT,biomaster,719,54,0.33410957,0.0,-0.06691963716360565,665,-0.08001629440112908
CHEMBL2023,COMT,drugclip,719,54,0.33410957,0.0,-0.07214411793238716,665,-0.1242929385416325
CHEMBL2023,COMT,dtiam,719,54,0.33410957,0.0,0.016631563145763945,665,0.03828566493452604
CHEMBL2023,COMT,nesso,719,54,0.33410957,0.0,0.01848426698353072,665,-0.04122393305658408
CHEMBL2023,COMT,probematch,719,54,0.33410957,0.0,-0.20320549822013428,665,-0.09969274371839969
CHEMBL2023,COMT,dtbind,719,54,0.33410957,0.0,0.029218912319645404,665,-0.03994658454068195
CHEMBL2055,RARA,biomaster,719,330,0.2662192,0.0,-0.011658117511015044,389,0.031129466812144912
CHEMBL2055,RARA,drugclip,719,330,0.2662192,0.0,0.1534299734633781,389,0.32312873372575307
CHEMBL2055,RARA,dtiam,719,330,0.2662192,0.0,0.0346084307099119,389,0.22544985144597077
CHEMBL2055,RARA,nesso,719,330,0.2662192,0.0,0.16704993756104533,389,0.3728616953785694
CHEMBL2055,RARA,probematch,719,330,0.2662192,0.0,0.05415111037693649,389,0.17164385514388092
CHEMBL2055,RARA,dtbind,719,330,0.2662192,0.0,0.37997719444959693,389,0.3816864528867801
CHEMBL2063,UGCG,biomaster,719,113,0.45568478,0.0,0.019593866317563335,606,-0.017832003007652013
CHEMBL2063,UGCG,drugclip,719,113,0.45568478,0.0,0.1188305869700981,606,0.09887238804510545
CHEMBL2063,UGCG,dtiam,719,113,0.45568478,0.0,-0.029666248690337543,606,-0.03224450404365253
CHEMBL2063,UGCG,nesso,719,113,0.45568478,0.0,0.1989056678637598,606,0.06985413969816982
CHEMBL2063,UGCG,probematch,719,113,0.45568478,0.0,0.06761701239882177,606,-0.0379294238470024
CHEMBL2063,UGCG,dtbind,719,113,0.45568478,0.0,0.4484618923905692,606,0.28821824236848054
CHEMBL2085,MIF,biomaster,719,36,0.29990923,0.0,-0.04156360951357348,683,-0.031453049255122094
