scope,query,entity,model_a,model_b,n,ordered_comparisons,both_correct,only_a_correct,only_b_correct,both_wrong,any_tie
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,biomaster,drugclip,19,18,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,biomaster,dtiam,19,18,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,biomaster,conplex,19,18,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,biomaster,nesso,19,18,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,biomaster,probematch,19,18,0.3888888888888889,0.6111111111111112,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,biomaster,dtbind,19,18,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,biomaster,nesso_pic50,19,18,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,drugclip,dtiam,19,18,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,drugclip,conplex,19,18,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,drugclip,nesso,19,18,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,drugclip,probematch,19,18,0.2777777777777778,0.5,0.1111111111111111,0.1111111111111111,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,drugclip,dtbind,19,18,0.5,0.2777777777777778,0.2222222222222222,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,drugclip,nesso_pic50,19,18,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,dtiam,conplex,19,18,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,dtiam,nesso,19,18,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,dtiam,probematch,19,18,0.3888888888888889,0.6111111111111112,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,dtiam,dtbind,19,18,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,dtiam,nesso_pic50,19,18,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,conplex,nesso,19,18,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,conplex,probematch,19,18,0.3888888888888889,0.6111111111111112,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,conplex,dtbind,19,18,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,conplex,nesso_pic50,19,18,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,nesso,probematch,19,18,0.3888888888888889,0.6111111111111112,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,nesso,dtbind,19,18,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,nesso,nesso_pic50,19,18,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,probematch,dtbind,19,18,0.2222222222222222,0.16666666666666666,0.5,0.1111111111111111,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,probematch,nesso_pic50,19,18,0.3888888888888889,0.0,0.6111111111111112,0.0,0.0
COMMON_378,drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,dtbind,nesso_pic50,19,18,0.7222222222222222,0.0,0.2777777777777778,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,biomaster,drugclip,21,20,0.75,0.25,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,biomaster,dtiam,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,biomaster,conplex,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,biomaster,nesso,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,biomaster,probematch,21,20,0.75,0.25,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,biomaster,dtbind,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,biomaster,nesso_pic50,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,drugclip,dtiam,21,20,0.75,0.0,0.25,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,drugclip,conplex,21,20,0.75,0.0,0.25,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,drugclip,nesso,21,20,0.75,0.0,0.25,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,drugclip,probematch,21,20,0.55,0.2,0.2,0.05,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,drugclip,dtbind,21,20,0.75,0.0,0.25,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,drugclip,nesso_pic50,21,20,0.75,0.0,0.25,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,dtiam,conplex,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,dtiam,nesso,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,dtiam,probematch,21,20,0.75,0.25,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,dtiam,dtbind,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,dtiam,nesso_pic50,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,conplex,nesso,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,conplex,probematch,21,20,0.75,0.25,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,conplex,dtbind,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,conplex,nesso_pic50,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,nesso,probematch,21,20,0.75,0.25,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,nesso,dtbind,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,nesso,nesso_pic50,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,probematch,dtbind,21,20,0.75,0.0,0.25,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,probematch,nesso_pic50,21,20,0.75,0.0,0.25,0.0,0.0
COMMON_378,drug_id,CVWXJKQAOSCOAB-UHFFFAOYSA-N,dtbind,nesso_pic50,21,20,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,biomaster,drugclip,26,25,0.12,0.88,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,biomaster,dtiam,26,25,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,biomaster,conplex,26,25,0.0,0.16,0.0,0.0,0.84
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,biomaster,nesso,26,25,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,biomaster,probematch,26,25,0.8,0.08,0.0,0.0,0.12
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,biomaster,dtbind,26,25,0.92,0.08,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,biomaster,nesso_pic50,26,25,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,drugclip,dtiam,26,25,0.12,0.0,0.88,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,drugclip,conplex,26,25,0.0,0.04,0.0,0.12,0.84
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,drugclip,nesso,26,25,0.12,0.0,0.88,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,drugclip,probematch,26,25,0.12,0.0,0.68,0.08,0.12
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,drugclip,dtbind,26,25,0.12,0.0,0.8,0.08,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,drugclip,nesso_pic50,26,25,0.12,0.0,0.88,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,dtiam,conplex,26,25,0.0,0.16,0.0,0.0,0.84
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,dtiam,nesso,26,25,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,dtiam,probematch,26,25,0.8,0.08,0.0,0.0,0.12
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,dtiam,dtbind,26,25,0.92,0.08,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,dtiam,nesso_pic50,26,25,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,conplex,nesso,26,25,0.0,0.0,0.16,0.0,0.84
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,conplex,probematch,26,25,0.0,0.0,0.08,0.04,0.88
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,conplex,dtbind,26,25,0.0,0.0,0.16,0.0,0.84
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,conplex,nesso_pic50,26,25,0.0,0.0,0.16,0.0,0.84
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,nesso,probematch,26,25,0.8,0.08,0.0,0.0,0.12
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,nesso,dtbind,26,25,0.92,0.08,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,nesso,nesso_pic50,26,25,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,probematch,dtbind,26,25,0.72,0.08,0.08,0.0,0.12
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,probematch,nesso_pic50,26,25,0.8,0.0,0.08,0.0,0.12
COMMON_378,drug_id,CYOHGALHFOKKQC-UHFFFAOYSA-N,dtbind,nesso_pic50,26,25,0.92,0.0,0.08,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,biomaster,drugclip,4,3,0.0,1.0,0.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,biomaster,dtiam,4,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,biomaster,conplex,4,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,biomaster,nesso,4,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,biomaster,probematch,4,3,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,biomaster,dtbind,4,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,biomaster,nesso_pic50,4,3,1.0,0.0,0.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,drugclip,dtiam,4,3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,drugclip,conplex,4,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,drugclip,nesso,4,3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,drugclip,probematch,4,3,0.0,0.0,1.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,drugclip,dtbind,4,3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,drugclip,nesso_pic50,4,3,0.0,0.0,1.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,dtiam,conplex,4,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,dtiam,nesso,4,3,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,dtiam,probematch,4,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,dtiam,dtbind,4,3,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,dtiam,nesso_pic50,4,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,conplex,nesso,4,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,conplex,probematch,4,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,conplex,dtbind,4,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,conplex,nesso_pic50,4,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,nesso,probematch,4,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,nesso,dtbind,4,3,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,nesso,nesso_pic50,4,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,probematch,dtbind,4,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
COMMON_378,drug_id,DBABZHXKTCFAPX-UHFFFAOYSA-N,probematch,nesso_pic50,4,3,1.0,0.0,0.0,0.0,0.0
