target_id,gene,stratum,n,spearman,correlation_pairs
CHEMBL2063,UGCG,nonzero_crop_entropy,719,0.2280786917763375,719
CHEMBL2063,UGCG,binder_lt_0.5,550,-0.0585248155591198,550
CHEMBL2063,UGCG,binder_ge_0.5,169,0.37518522201780125,169
CHEMBL2063,UGCG,binder_ge_0.8,11,0.43636363636363645,11
CHEMBL2063,UGCG,binder_top50,50,0.21997599039615845,50
CHEMBL2085,MIF,all,719,-0.36691777628838157,719
CHEMBL2085,MIF,nonzero_crop_entropy,718,-0.3670317668634504,718
CHEMBL2085,MIF,binder_lt_0.5,645,-0.4376099947722157,645
CHEMBL2085,MIF,binder_ge_0.5,74,0.3791336542021473,74
CHEMBL2085,MIF,binder_ge_0.8,3,,0
CHEMBL2085,MIF,binder_top50,50,0.49512605042016805,50
CHEMBL2185,AURKB,all,719,-0.02166399995867571,719
CHEMBL2185,AURKB,nonzero_crop_entropy,719,-0.02166399995867571,719
CHEMBL2185,AURKB,binder_lt_0.5,680,-0.13704436313787063,680
CHEMBL2185,AURKB,binder_ge_0.5,39,0.48097165991902835,39
CHEMBL2185,AURKB,binder_ge_0.8,8,,0
CHEMBL2185,AURKB,binder_top50,50,0.5839615846338535,50
CHEMBL2189121,KRAS,all,719,0.18907899137742895,719
CHEMBL2189121,KRAS,nonzero_crop_entropy,708,0.18339660458360152,708
CHEMBL2189121,KRAS,binder_lt_0.5,676,0.13450961769107433,676
CHEMBL2189121,KRAS,binder_ge_0.5,43,0.32286318332829966,43
CHEMBL2189121,KRAS,binder_ge_0.8,6,,0
CHEMBL2189121,KRAS,binder_top50,50,0.3430972388955582,50
CHEMBL2208,MAPKAPK2,all,719,-0.08533288005754408,719
CHEMBL2208,MAPKAPK2,nonzero_crop_entropy,719,-0.08533288005754408,719
CHEMBL2208,MAPKAPK2,binder_lt_0.5,675,-0.17478396416538394,675
CHEMBL2208,MAPKAPK2,binder_ge_0.5,44,0.2486257928118393,44
CHEMBL2208,MAPKAPK2,binder_ge_0.8,2,,0
CHEMBL2208,MAPKAPK2,binder_top50,50,0.3387755102040816,50
CHEMBL2321614,KCNK9,all,719,0.19719759983366977,719
CHEMBL2321614,KCNK9,nonzero_crop_entropy,719,0.19719759983366977,719
CHEMBL2321614,KCNK9,binder_lt_0.5,632,0.0421582658301055,632
CHEMBL2321614,KCNK9,binder_ge_0.5,87,0.3181271415032441,87
CHEMBL2321614,KCNK9,binder_ge_0.8,3,,0
CHEMBL2321614,KCNK9,binder_top50,50,0.31082833133253296,50
CHEMBL2326,CA7,all,719,-0.21594759176251968,719
CHEMBL2326,CA7,nonzero_crop_entropy,719,-0.21594759176251968,719
CHEMBL2326,CA7,binder_lt_0.5,656,-0.3426084953100917,656
CHEMBL2326,CA7,binder_ge_0.5,63,0.5924059139784946,63
CHEMBL2326,CA7,binder_ge_0.8,26,0.7326495726495725,26
CHEMBL2326,CA7,binder_top50,50,0.6219927971188475,50
CHEMBL2508,CDK6,all,719,-0.25624071010624216,719
CHEMBL2508,CDK6,nonzero_crop_entropy,715,-0.2585125029423419,715
CHEMBL2508,CDK6,binder_lt_0.5,704,-0.31698399509149794,704
CHEMBL2508,CDK6,binder_ge_0.5,15,0.7178571428571427,15
CHEMBL2508,CDK6,binder_ge_0.8,6,,0
CHEMBL2508,CDK6,binder_top50,50,0.6869147659063625,50
CHEMBL261,CA1,all,719,-0.2247493423626904,719
CHEMBL261,CA1,nonzero_crop_entropy,719,-0.2247493423626904,719
CHEMBL261,CA1,binder_lt_0.5,634,-0.32093194197900343,634
CHEMBL261,CA1,binder_ge_0.5,85,0.306234121555599,85
CHEMBL261,CA1,binder_ge_0.8,34,0.27425515660809774,34
CHEMBL261,CA1,binder_top50,50,0.16638655462184873,50
CHEMBL262,GSK3B,all,719,-0.16007854197579174,719
CHEMBL262,GSK3B,nonzero_crop_entropy,719,-0.16007854197579174,719
CHEMBL262,GSK3B,binder_lt_0.5,675,-0.26577961945229694,675
CHEMBL262,GSK3B,binder_ge_0.5,44,0.5474277660324172,44
CHEMBL262,GSK3B,binder_ge_0.8,6,,0
CHEMBL262,GSK3B,binder_top50,50,0.5640816326530612,50
CHEMBL2637,MAPK10,all,719,-0.25558759264066083,719
CHEMBL2637,MAPK10,nonzero_crop_entropy,719,-0.25558759264066083,719
CHEMBL2637,MAPK10,binder_lt_0.5,684,-0.3530123199439323,684
CHEMBL2637,MAPK10,binder_ge_0.5,35,0.33053221288515405,35
CHEMBL2637,MAPK10,binder_ge_0.8,5,,0
CHEMBL2637,MAPK10,binder_top50,50,0.5844417767106842,50
CHEMBL3028,EGLN2,all,719,-0.2836138219413893,719
CHEMBL3028,EGLN2,nonzero_crop_entropy,719,-0.2836138219413893,719
CHEMBL3028,EGLN2,binder_lt_0.5,619,-0.3317120397153102,619
CHEMBL3028,EGLN2,binder_ge_0.5,100,0.2926732673267326,100
CHEMBL3028,EGLN2,binder_ge_0.8,11,0.18181818181818182,11
CHEMBL3028,EGLN2,binder_top50,50,0.4572869147659063,50
CHEMBL3116,CDK9,all,719,-0.17153260163515044,719
CHEMBL3116,CDK9,nonzero_crop_entropy,718,-0.17143361083662897,718
CHEMBL3116,CDK9,binder_lt_0.5,690,-0.25450083134883256,690
CHEMBL3116,CDK9,binder_ge_0.5,29,0.5467980295566501,29
CHEMBL3116,CDK9,binder_ge_0.8,6,,0
CHEMBL3116,CDK9,binder_top50,50,0.2692436974789916,50
CHEMBL3117,CHKA,all,719,-0.009218512506408495,719
CHEMBL3117,CHKA,nonzero_crop_entropy,719,-0.009218512506408495,719
CHEMBL3117,CHKA,binder_lt_0.5,639,-0.07272672082652656,639
CHEMBL3117,CHKA,binder_ge_0.5,80,0.07782466010314111,80
CHEMBL3117,CHKA,binder_ge_0.8,3,,0
CHEMBL3117,CHKA,binder_top50,50,0.20816326530612245,50
CHEMBL3242,CA12,all,719,-0.14543415039199964,719
CHEMBL3242,CA12,nonzero_crop_entropy,719,-0.14543415039199964,719
CHEMBL3242,CA12,binder_lt_0.5,649,-0.25941202551372045,649
CHEMBL3242,CA12,binder_ge_0.5,70,0.4541509929140058,70
CHEMBL3242,CA12,binder_ge_0.8,30,0.7050055617352614,30
CHEMBL3242,CA12,binder_top50,50,0.46967587034813923,50
CHEMBL332,MMP1,all,719,-0.32999617104639556,719
CHEMBL332,MMP1,nonzero_crop_entropy,719,-0.32999617104639556,719
CHEMBL332,MMP1,binder_lt_0.5,668,-0.3813892307357236,668
CHEMBL332,MMP1,binder_ge_0.5,51,0.40968325791855204,51
CHEMBL332,MMP1,binder_ge_0.8,8,,0
CHEMBL332,MMP1,binder_top50,50,0.38813925570228086,50
CHEMBL3385,MAPK3,all,719,-0.38259382227714916,719
CHEMBL3385,MAPK3,nonzero_crop_entropy,719,-0.38259382227714916,719
CHEMBL3385,MAPK3,binder_lt_0.5,706,-0.4174329617709095,706
CHEMBL3385,MAPK3,binder_ge_0.5,13,-0.2857142857142857,13
CHEMBL3385,MAPK3,binder_ge_0.8,1,,0
CHEMBL3385,MAPK3,binder_top50,50,0.2946938775510204,50
CHEMBL3474,PLA2G2A,all,719,-0.28330534258480844,719
CHEMBL3474,PLA2G2A,nonzero_crop_entropy,719,-0.28330534258480844,719
CHEMBL3474,PLA2G2A,binder_lt_0.5,624,-0.37489433263365846,624
CHEMBL3474,PLA2G2A,binder_ge_0.5,95,0.030683090705487123,95
CHEMBL3474,PLA2G2A,binder_ge_0.8,9,,0
CHEMBL3474,PLA2G2A,binder_top50,50,0.16878751500600236,50
CHEMBL3587,MAP2K1,all,719,-0.05086781005807355,719
CHEMBL3587,MAP2K1,nonzero_crop_entropy,719,-0.05086781005807355,719
CHEMBL3587,MAP2K1,binder_lt_0.5,677,-0.14110396824298,677
CHEMBL3587,MAP2K1,binder_ge_0.5,42,0.35823677173648816,42
CHEMBL3587,MAP2K1,binder_ge_0.8,6,,0
CHEMBL3587,MAP2K1,binder_top50,50,0.25138055222088834,50
CHEMBL3629,CSNK2A1,all,719,-0.03252108507250476,719
CHEMBL3629,CSNK2A1,nonzero_crop_entropy,718,-0.03008295272761296,718
CHEMBL3629,CSNK2A1,binder_lt_0.5,682,-0.11128194432194559,682
CHEMBL3629,CSNK2A1,binder_ge_0.5,37,-0.08534850640113797,37
CHEMBL3629,CSNK2A1,binder_ge_0.8,4,,0
CHEMBL3629,CSNK2A1,binder_top50,50,0.045474189675870344,50
CHEMBL3729,CA4,all,719,-0.3942801373516039,719
CHEMBL3729,CA4,nonzero_crop_entropy,719,-0.3942801373516039,719
CHEMBL3729,CA4,binder_lt_0.5,659,-0.4904962470454996,659
CHEMBL3729,CA4,binder_ge_0.5,60,0.38977493748263414,60
CHEMBL3729,CA4,binder_ge_0.8,17,0.573529411764706,17
CHEMBL3729,CA4,binder_top50,50,0.48436974789915965,50
CHEMBL3778,IRAK4,all,719,-0.10374704757329574,719
CHEMBL3778,IRAK4,nonzero_crop_entropy,718,-0.1056448680882838,718
CHEMBL3778,IRAK4,binder_lt_0.5,692,-0.20373085335483798,692
CHEMBL3778,IRAK4,binder_ge_0.5,27,0.5604395604395604,27
CHEMBL3778,IRAK4,binder_ge_0.8,4,,0
CHEMBL3778,IRAK4,binder_top50,50,0.5886674669867946,50
CHEMBL3902,GSTP1,all,719,-0.29453560539436935,719
CHEMBL3902,GSTP1,nonzero_crop_entropy,719,-0.29453560539436935,719
CHEMBL3902,GSTP1,binder_lt_0.5,619,-0.3950373064665386,619
CHEMBL3902,GSTP1,binder_ge_0.5,100,0.33297329732973296,100
CHEMBL3902,GSTP1,binder_ge_0.8,5,,0
CHEMBL3902,GSTP1,binder_top50,50,0.3677791116446578,50
CHEMBL3961,MAPK11,all,719,-0.018932399920967298,719
CHEMBL3961,MAPK11,nonzero_crop_entropy,719,-0.018932399920967298,719
CHEMBL3961,MAPK11,binder_lt_0.5,703,-0.06295364190101031,703
CHEMBL3961,MAPK11,binder_ge_0.5,16,0.0058823529411764705,16
CHEMBL3961,MAPK11,binder_ge_0.8,4,,0
CHEMBL3961,MAPK11,binder_top50,50,0.14448979591836733,50
CHEMBL3979,PPARD,all,719,0.2206244035420081,719
CHEMBL3979,PPARD,nonzero_crop_entropy,718,0.2202947082049467,718
CHEMBL3979,PPARD,binder_lt_0.5,689,0.20203908450135816,689
CHEMBL3979,PPARD,binder_ge_0.5,30,0.33793103448275863,30
CHEMBL3979,PPARD,binder_ge_0.8,13,0.8131868131868131,13
CHEMBL3979,PPARD,binder_top50,50,0.14256902761104442,50
CHEMBL3991,F7,all,719,-0.3958976603995801,719
CHEMBL3991,F7,nonzero_crop_entropy,717,-0.39972968501428446,717
CHEMBL3991,F7,binder_lt_0.5,703,-0.4043052529894635,703
CHEMBL3991,F7,binder_ge_0.5,16,0.3382352941176471,16
CHEMBL3991,F7,binder_ge_0.8,3,,0
CHEMBL3991,F7,binder_top50,50,0.03654261704681872,50
CHEMBL4040,MAPK1,all,719,-0.3406018559771064,719
CHEMBL4040,MAPK1,nonzero_crop_entropy,717,-0.3401110559910001,717
CHEMBL4040,MAPK1,binder_lt_0.5,704,-0.37566140277506466,704
CHEMBL4040,MAPK1,binder_ge_0.5,15,0.37857142857142856,15
CHEMBL4040,MAPK1,binder_ge_0.8,3,,0
CHEMBL4040,MAPK1,binder_top50,50,0.21498199279711883,50
CHEMBL4073,MMP7,all,719,-0.4480220839580404,719
CHEMBL4073,MMP7,nonzero_crop_entropy,719,-0.4480220839580404,719
CHEMBL4073,MMP7,binder_lt_0.5,676,-0.4827120461252946,676
CHEMBL4073,MMP7,binder_ge_0.5,43,0.29054666263968587,43
CHEMBL4073,MMP7,binder_ge_0.8,5,,0
CHEMBL4073,MMP7,binder_top50,50,0.34453781512605036,50
CHEMBL4179,MAPK9,all,719,-0.25251616489940765,719
CHEMBL4179,MAPK9,nonzero_crop_entropy,719,-0.25251616489940765,719
CHEMBL4179,MAPK9,binder_lt_0.5,685,-0.3357502201802734,685
CHEMBL4179,MAPK9,binder_ge_0.5,34,0.23941940412528645,34
CHEMBL4179,MAPK9,binder_ge_0.8,4,,0
CHEMBL4179,MAPK9,binder_top50,50,0.38160864345738293,50
CHEMBL4245,ESRRG,all,719,0.5018862277768954,719
CHEMBL4245,ESRRG,nonzero_crop_entropy,718,0.5014953497450736,718
CHEMBL4245,ESRRG,binder_lt_0.5,633,0.38545389134480157,633
CHEMBL4245,ESRRG,binder_ge_0.5,86,0.5422048209821217,86
CHEMBL4245,ESRRG,binder_ge_0.8,32,0.5549853372434016,32
CHEMBL4245,ESRRG,binder_top50,50,0.5339255702280913,50
CHEMBL4393,MMP12,all,719,-0.26157289927333827,719
CHEMBL4393,MMP12,nonzero_crop_entropy,719,-0.26157289927333827,719
CHEMBL4393,MMP12,binder_lt_0.5,674,-0.3448812346016503,674
CHEMBL4393,MMP12,binder_ge_0.5,45,0.17009222661396572,45
CHEMBL4393,MMP12,binder_ge_0.8,7,,0
CHEMBL4393,MMP12,binder_top50,50,0.21507803121248498,50
CHEMBL4502,CDA,all,719,-0.3147182910340499,719
CHEMBL4502,CDA,nonzero_crop_entropy,710,-0.3256202608759865,710
CHEMBL4502,CDA,binder_lt_0.5,639,-0.36494032113264746,639
CHEMBL4502,CDA,binder_ge_0.5,80,0.12456633849038912,80
CHEMBL4502,CDA,binder_ge_0.8,13,0.04395604395604395,13
CHEMBL4502,CDA,binder_top50,50,0.049411764705882356,50
CHEMBL4588,MMP8,all,719,-0.3364036633981738,719
CHEMBL4588,MMP8,nonzero_crop_entropy,719,-0.3364036633981738,719
CHEMBL4588,MMP8,binder_lt_0.5,647,-0.38650372610517314,647
CHEMBL4588,MMP8,binder_ge_0.5,72,0.4152357064763008,72
CHEMBL4588,MMP8,binder_ge_0.8,8,,0
CHEMBL4588,MMP8,binder_top50,50,0.4528691476590636,50
CHEMBL4625,BCL2L1,all,719,-0.0566894983360517,719
CHEMBL4625,BCL2L1,nonzero_crop_entropy,709,-0.0472917685886301,709
CHEMBL4625,BCL2L1,binder_lt_0.5,647,-0.12680915348143468,647
CHEMBL4625,BCL2L1,binder_ge_0.5,72,0.41587883465174613,72
CHEMBL4625,BCL2L1,binder_ge_0.8,5,,0
CHEMBL4625,BCL2L1,binder_top50,50,0.3758463385354141,50
CHEMBL4685,IDO1,all,719,-0.21814607619423965,719
CHEMBL4685,IDO1,nonzero_crop_entropy,719,-0.21814607619423965,719
CHEMBL4685,IDO1,binder_lt_0.5,642,-0.2549227586463671,642
CHEMBL4685,IDO1,binder_ge_0.5,77,0.08678163941321836,77
CHEMBL4685,IDO1,binder_ge_0.8,5,,0
CHEMBL4685,IDO1,binder_top50,50,0.20240096038415364,50
CHEMBL4860,BCL2,all,719,-0.1453775554875427,719
CHEMBL4860,BCL2,nonzero_crop_entropy,711,-0.15373506863968622,711
CHEMBL4860,BCL2,binder_lt_0.5,653,-0.2179241915794299,653
CHEMBL4860,BCL2,binder_ge_0.5,66,0.1799603381692934,66
CHEMBL4860,BCL2,binder_ge_0.8,7,,0
CHEMBL4860,BCL2,binder_top50,50,0.10799519807923168,50
CHEMBL4956,GABRA2,all,719,0.21363478756087265,719
CHEMBL4956,GABRA2,nonzero_crop_entropy,713,0.20418137313390144,713
CHEMBL4956,GABRA2,binder_lt_0.5,592,0.1660228272545407,592
CHEMBL4956,GABRA2,binder_ge_0.5,127,0.2994762373453318,127
CHEMBL4956,GABRA2,binder_ge_0.8,14,0.35824175824175825,14
CHEMBL4956,GABRA2,binder_top50,50,0.10309723889555823,50
