scope,label_stratum,n,spearman
COMMON_378,all_labels,378,0.5454484960444381
COMMON_378,positive,103,0.6193384000351448
COMMON_378,negative,275,0.25039727647788584
AB_UNSEEN_141,all_labels,141,0.5164519029068024
AB_UNSEEN_141,positive,33,0.7098930481283423
AB_UNSEEN_141,negative,108,0.1792468109024741
