comparator,targets,full_spearman,nonzero_spearman,mean_nonzero_pairs
biomaster,50,0.009544399182047521,0.04947810812271466,495.0
drugclip,50,0.050196333215677305,0.058955324234004916,495.0
dtbind,50,0.03323181163741497,0.0687217081217814,495.0
dtiam,50,0.042349455845962794,0.059362246334779094,495.0
nesso,50,0.08589116407413773,0.08805948130245424,495.0
probematch,50,-0.07481353952365766,-0.001873294387692358,495.0
