scope,query,queries,catalog_n_per_query,labeled_pairs,mean_catalog_spearman,both_correct,only_retargetmap_correct,only_dtiam_correct,both_wrong
AB_UNSEEN_141,drug_id,7,384.0,98,0.22078651719410766,0.71234335839599,0.1641812865497076,0.020300751879699246,0.10317460317460317
AB_UNSEEN_141,target_id,12,720.0,36,0.1097992774504154,0.5277777777777778,0.2916666666666667,0.1388888888888889,0.041666666666666664
COMMON_378,drug_id,18,384.0,289,0.10145584669899292,0.8183984793633916,0.11989986540425138,0.02157819844223353,0.040123456790123455
COMMON_378,target_id,36,720.0,234,0.07046455414438725,0.7122154080487414,0.08702200577200576,0.15597442680776014,0.044788159371492706
