step,rule,retained,excluded_in_step
0,ChEMBL37_HUMAN_SINGLE_PROTEIN_WITH_ANY_DRUG_MOA,888,0
1,EXCLUDE_GPCR_FROM_PRIMARY_KEEP_SEPARATE_AUDIT,745,143
2,NO_OTHER_TARGET_EXCLUSIONS,745,0
