model,target_id,requested_drugs,reused_scored_drugs,missing_scores,next_action
ConPLex,CHEMBL1843,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1844,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1846,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1847,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1856,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1859,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1861,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1862,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1864,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1865,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1868,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1869,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1871,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1873,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1874,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1876,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1886,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1887,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1892,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1893,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1899,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1900,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1902,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1903,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1906,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1908,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1908389,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1909490,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1910,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1911,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1912,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1913,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1914,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1914276,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1918,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1919,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1927,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1929,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1930,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1935,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1936,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1937,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1938222,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1944,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1947,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1949,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1950,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1951,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1952,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1955,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1957,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1959,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1962,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1964,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1966,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1969,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1972,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1973,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1974,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1975,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1976,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1977,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1978,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1980,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1981,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1988,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1989,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1991,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1992,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1993,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1994,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1996,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL1997,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL1998,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2000,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2003,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2007,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2007625,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2008,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2009,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2010624,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2012,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2016,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
ConPLex,CHEMBL2019,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL202,720,720,0,SCORES_PRESENT_FROM_FROZEN_VERSION
ConPLex,CHEMBL2021748,720,0,720,QUALIFY_SEQUENCE_FEATURES_THEN_SCORE
